i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:11490,55,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_1;pos:-875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_2;pos:-875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_3;pos:875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_4;pos:-875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_5;pos:-875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_6;pos:-875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_7;pos:9625,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_8;pos:11375,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_9;pos:11375,0,875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_10;pos:13125,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_11;pos:14875,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_12;pos:9625,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_13;pos:11375,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_14;pos:13125,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_15;pos:14875,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_16;pos:7875,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_17;pos:9625,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_18;pos:13125,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_19;pos:14815.89,0,-4366.951;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_20;pos:7875,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_21;pos:9625,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_22;pos:11375,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_23;pos:13125,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_24;pos:4375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_25;pos:6125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_26;pos:7875,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_27;pos:9625,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_28;pos:11375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_29;pos:13125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_30;pos:875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_31;pos:2625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_32;pos:4375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_33;pos:6125,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_34;pos:7875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_35;pos:9625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_36;pos:11375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_37;pos:2625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_38;pos:4375,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_39;pos:7875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_40;pos:9625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_41;pos:875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_42;pos:2625,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_43;pos:4375,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_44;pos:6125,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_45;pos:7875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_46;pos:11374.48,0,-11374.62;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_47;pos:875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_48;pos:2625,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_49;pos:4375,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_50;pos:6125,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_51;pos:875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_210;pos:9135.014,170,-4074.22;rot:0,295.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_211;pos:8888.039,170,-4587.756;rot:0,300.28,0;m:cuboid;scl:2,27,7;;
i:cuboid_212;pos:8619.659,170,-5077.658;rot:0,304.44,0;m:cuboid;scl:2,27,7;;
i:cuboid_213;pos:8320.442,170,-5549.446;rot:0,307.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_214;pos:7999.324,170,-6007.668;rot:0,308.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_215;pos:7648.185,170,-6443.659;rot:0,312.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_216;pos:7277.427,170,-6865.128;rot:0,315.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_217;pos:6879.593,170,-7260.118;rot:0,317.92,0;m:cuboid;scl:2,27,7;;
i:cuboid_218;pos:6464.282,170,-7636.645;rot:0,321.76,0;m:cuboid;scl:2,27,7;;
i:cuboid_219;pos:6018.807,170,-7986.86;rot:0,324.16,0;m:cuboid;scl:2,27,7;;
i:cuboid_220;pos:5571.52,170,-8312.198;rot:0,325.76,0;m:cuboid;scl:2,27,7;;
i:cuboid_221;pos:5087.739,170,-8609.226;rot:0,330.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_222;pos:4608.971,170,-8881.839;rot:0,336.16,0;m:cuboid;scl:2,27,7;;
i:cuboid_223;pos:4103.157,170,-9120.728;rot:0,338.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_224;pos:3580.219,170,-9343.361;rot:0,341.24,0;m:cuboid;scl:2,27,7;;
i:cuboid_225;pos:3053.127,170,-9523.043;rot:0,343.16,0;m:cuboid;scl:2,27,7;;
i:cuboid_226;pos:2518.756,170,-9682.608;rot:0,347.72,0;m:cuboid;scl:2,27,7;;
i:cuboid_227;pos:1952.124,170,-9807.357;rot:0,349.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_228;pos:1411.217,170,-9906.653;rot:0,352.76,0;m:cuboid;scl:2,27,7;;
i:cuboid_229;pos:9937.289,170,-1118.158;rot:0,276.3199,0;m:cuboid;scl:2,27,7;;
i:cuboid_230;pos:9859.086,170,-1672.85;rot:0,279.8,0;m:cuboid;scl:2,27,7;;
i:cuboid_231;pos:9749.944,170,-2222.292;rot:0,282.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_232;pos:9610.208,170,-2764.761;rot:0,286.1599,0;m:cuboid;scl:2,27,7;;
i:cuboid_233;pos:9532.437,170,-3029.288;rot:0,289.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_234;pos:9346.216,170,-3566.619;rot:0,292.56,0;m:cuboid;scl:2,27,7;;
i:cuboid_235;pos:9012.283,170,-4333.445;rot:0,295.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_236;pos:8755.488,170,-4831.296;rot:0,298.4799,0;m:cuboid;scl:2,27,7;;
i:cuboid_237;pos:8471.219,170,-5313.986;rot:0,302.44,0;m:cuboid;scl:2,27,7;;
i:cuboid_238;pos:8160.367,170,-5780;rot:0,305.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_239;pos:7823.908,170,-6227.878;rot:0,308.88,0;m:cuboid;scl:2,27,7;;
i:cuboid_240;pos:7462.897,170,-6656.212;rot:0,311.44,0;m:cuboid;scl:2,27,7;;
i:cuboid_241;pos:7078.469,170,-7063.659;rot:0,315.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_242;pos:6671.828,170,-7448.94;rot:0,317.92,0;m:cuboid;scl:2,27,7;;
i:cuboid_243;pos:6244.25,170,-7810.847;rot:0,321.76,0;m:cuboid;scl:2,27,7;;
i:cuboid_244;pos:5797.079,170,-8148.244;rot:0,324.16,0;m:cuboid;scl:2,27,7;;
i:cuboid_245;pos:5331.716,170,-8460.071;rot:0,328.36,0;m:cuboid;scl:2,27,7;;
i:cuboid_246;pos:4849.623,170,-8745.351;rot:0,330.28,0;m:cuboid;scl:2,27,7;;
i:cuboid_247;pos:4352.311,170,-9003.188;rot:0,334.56,0;m:cuboid;scl:2,27,7;;
i:cuboid_248;pos:2788.963,170,-9603.922;rot:0,343.16,0;m:cuboid;scl:2,27,7;;
i:cuboid_249;pos:2242.708,170,-9745.269;rot:0,347.72,0;m:cuboid;scl:2,27,7;;
i:cuboid_250;pos:1693.495,170,-9855.561;rot:0,349.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_251;pos:1138.968,170,-9934.926;rot:0,353.96,0;m:cuboid;scl:2,27,7;;
i:cuboid_252;pos:911.9961,170,-9958.124;rot:0,353.96,0;m:cuboid;scl:2,27,7;;
i:cuboid_253;pos:10000,170,100;m:cuboid;scl:7,27,2;;
i:cuboid_254;pos:10000,170,300;m:cuboid;scl:7,27,2;;
i:cuboid_255;pos:10000,170,500;m:cuboid;scl:7,27,2;;
i:cuboid_256;pos:10000,170,700;m:cuboid;scl:7,27,2;;
i:cuboid_257;pos:10000,170,-100;m:cuboid;scl:7,27,2;;
i:cuboid_258;pos:10000,170,-300;m:cuboid;scl:7,27,2;;
i:cuboid_259;pos:10000,170,-500;m:cuboid;scl:7,27,2;;
i:cuboid_260;pos:10000,170,-700;m:cuboid;scl:7,27,2;;
i:cuboid_261;pos:10400,170,600;m:cuboid;scl:80,25,5;;
i:cuboid_262;pos:10400,84.5,600;m:cuboid;scl:80,8,5.5;;
i:cuboid_263;pos:10100,170,600;m:cuboid;scl:2,27,7;;
i:cuboid_264;pos:10300,170,600;m:cuboid;scl:2,27,7;;
i:cuboid_265;pos:10500,170,600;m:cuboid;scl:2,27,7;;
i:cuboid_266;pos:10700,170,600;m:cuboid;scl:2,27,7;;
i:cuboid_267;pos:10400,170,-600;m:cuboid;scl:80,25,5;;
i:cuboid_268;pos:10400,84.5,-600;m:cuboid;scl:80,8,5.5;;
i:cuboid_269;pos:10100,170,-600;m:cuboid;scl:2,27,7;;
i:cuboid_270;pos:10300,170,-600;m:cuboid;scl:2,27,7;;
i:cuboid_271;pos:10500,170,-600;m:cuboid;scl:2,27,7;;
i:cuboid_272;pos:10700,170,-600;m:cuboid;scl:2,27,7;;
i:cuboid_273;pos:10000,170,-379.75;m:cuboid;scl:5,25,64;;
i:cuboid_274;pos:10000,84.5,-379.75;m:cuboid;scl:5.5,8,64;;
i:cuboid_275;pos:10000,195,379.75;m:cuboid;scl:4.98,20,20;;
i:cuboid_276;pos:10000,170,212.5;m:cuboid;scl:5,25,30.5;;
i:cuboid_277;pos:10000,170,572.5;m:cuboid;scl:5,25,27.5;;
i:cuboid_278;pos:10000,103.22,379.75;m:cuboid;scl:5.498,4.25,20;;
i:cuboid_279;pos:10000,84.5,212.5;m:cuboid;scl:5.5,8,30.5;;
i:cuboid_280;pos:10000,84.5,572.5;m:cuboid;scl:5.5,8,27.5;;
i:arc180_281;pos:9998.79,70,401;rot:0,0,270;m:arc180;scl:4,12.5,4;clr:102,63,0,255;;
i:prism_282;pos:10001.1,71.5,434.5;rot:270,270,0;m:prism;scl:3,5.49,3;clr:255,255,255,255;;
i:prism_283;pos:10001.1,71.5,365.5;rot:270,270,0;m:prism;scl:3,5.49,3;clr:255,255,255,255;;
i:cuboid_284;pos:10000,195,0;m:cuboid;scl:5,20,12;t:brick1;til:2.4,4;clr:127,191,127,255;;
i:cuboid_285;pos:9998,231.35,0;m:cuboid;scl:5,12.5,5;t:brick1;til:1,2.5;clr:191,255,0,255;;
i:cuboid_286;pos:10000,168,0;m:cuboid;scl:6.75,0.15,12;t:brick4;til:2,0.025;clr:255,255,255,255;;
i:cuboid_287;pos:10000,168,0;m:cuboid;scl:6.73,0.17,12;t:brick4;til:2,1.125;clr:255,255,255,255;;
i:cuboid_288;pos:10000,107.75,44;m:cuboid;scl:6.5,12,3;t:brick1;til:0.6,2.4;clr:127,191,127,255;;
i:cuboid_289;pos:10000,107.75,-44;m:cuboid;scl:6.5,12,3;t:brick1;til:0.6,2.4;clr:127,191,127,255;;
i:cuboid_290;pos:10000,128,44;m:cuboid;scl:8.025,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_291;pos:10000,128,44;m:cuboid;scl:8,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_292;pos:10000,128,-44;m:cuboid;scl:8.025,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_293;pos:10000,128,-44;m:cuboid;scl:8,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_294;pos:10000,88,44;m:cuboid;scl:8,8,4;t:brick1;til:0.8,1.6;clr:127,191,127,255;;
i:cuboid_295;pos:10000,88,-44;m:cuboid;scl:8,8,4;t:brick1;til:0.8,1.6;clr:127,191,127,255;;
i:cuboid_296;pos:10000,90,44;m:cuboid;scl:9.525,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_297;pos:10000,90,44;m:cuboid;scl:9.5,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_298;pos:10000,90,-44;m:cuboid;scl:9.525,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_299;pos:10000,90,-44;m:cuboid;scl:9.5,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_300;pos:10000,70,44;m:cuboid;scl:9.5,4,4.01;t:brick1;til:0.8,0.8;clr:127,191,127,255;;
i:cuboid_301;pos:10000,70,-44;m:cuboid;scl:9.5,4,4.01;t:brick1;til:0.8,0.8;clr:127,191,127,255;;
i:capsule_302;pos:9952.45,62.75,44;m:capsule;scl:0.01,2,2;t:wood2;til:1,0.025;clr:51,38,0,255;;
i:cuboid_303;pos:9953.35,71.95,43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:cuboid_304;pos:9953.35,59.55,43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:cuboid_305;pos:9953.35,53.38,43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:capsule_306;pos:9952.45,62.75,-44;m:capsule;scl:0.01,2,2;t:wood2;til:1,0.025;clr:51,38,0,255;;
i:cuboid_307;pos:9953.35,71.95,-43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:cuboid_308;pos:9953.35,59.55,-43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:cuboid_309;pos:9953.35,53.38,-43.9;m:cuboid;scl:0.25,0.1,2;t:stone9;til:0.01,0.01;clr:140,127,127,255;;
i:capsule_310;pos:9952.4,82.8,30.55;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_311;pos:9959.95,114.8,31;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_312;pos:9959.95,114.8,44;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_313;pos:9959.95,114.8,57;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_314;pos:9967.35,141.6,37.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_315;pos:9967.35,141.6,50.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_316;pos:9967.35,157,37.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_317;pos:9967.35,157,50.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_318;pos:9952.4,82.8,-30.55;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_319;pos:9959.95,114.8,-31;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_320;pos:9959.95,114.8,-44;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_321;pos:9959.95,114.8,-57;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_322;pos:9967.35,141.6,-37.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_323;pos:9967.35,141.6,-50.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_324;pos:9967.35,157,-37.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:capsule_325;pos:9967.35,157,-50.5;m:capsule;scl:0.005,0.45,0.5;clr:0,0,0,255;;
i:cuboid_326;pos:9970.75,166.25,12;m:cuboid;scl:0.58,0.3,0.58;clr:20,12,12,255;;
i:cuboid_327;pos:9970.75,165,12;m:cuboid;scl:0.45,0.55,0.45;clr:20,12,12,255;;
i:cuboid_328;pos:9970.75,124.13,12;m:cuboid;scl:0.58,0.3,0.58;clr:20,12,12,255;;
i:cuboid_329;pos:9970.75,125.68,12;m:cuboid;scl:0.45,0.55,0.45;clr:20,12,12,255;;
i:cuboid_330;pos:9970.75,166.25,-12;m:cuboid;scl:0.58,0.3,0.58;clr:20,12,12,255;;
i:cuboid_331;pos:9970.75,165,-12;m:cuboid;scl:0.45,0.55,0.45;clr:20,12,12,255;;
i:cuboid_332;pos:9970.75,124.13,-12;m:cuboid;scl:0.58,0.3,0.58;clr:20,12,12,255;;
i:cuboid_333;pos:9970.75,125.68,-12;m:cuboid;scl:0.45,0.55,0.45;clr:20,12,12,255;;
i:cuboid_334;pos:9970.75,100.5,0;m:cuboid;scl:0.6,4.5,4.75;t:brick1;til:1,0.9;clr:127,191,127,255;;
i:cuboid_335;pos:9970.75,122.5,0;m:cuboid;scl:0.65,0.17,4.75;t:brick4;til:1.1625,0.02675;clr:255,255,255,255;;
i:plane_336;pos:9970.75,144.5,12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_337;pos:9970.75,144.5,12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_338;pos:9970.75,144.5,12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_339;pos:9970.75,144.5,12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_340;pos:9970.75,144.5,12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_341;pos:9970.75,144.5,12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_342;pos:9970.75,144.5,-12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_343;pos:9970.75,144.5,-12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_344;pos:9970.75,144.5,-12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_345;pos:9970.75,144.5,-12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_346;pos:9970.75,144.5,-12;rot:270,136.3972,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:plane_347;pos:9970.75,144.5,-12;rot:270,223.6028,0;m:plane;scl:0.5,4.75,4.75;mat:transparent;clr:12,12,12,200;;
i:cuboid_348;pos:10899.95,170,-597.7205;rot:0,79.38535,0;m:cuboid;scl:7,27,2;;
i:cuboid_349;pos:11087.24,170,-530.822;rot:0,57.62159,0;m:cuboid;scl:7,27,2;;
i:cuboid_350;pos:11241.96,170,-409.6414;rot:0,43.60282,0;m:cuboid;scl:7,27,2;;
i:cuboid_351;pos:11372.86,170,-245.4738;rot:0,31.28449,0;m:cuboid;scl:7,27,2;;
i:cuboid_352;pos:11417.73,170,-61.04803;rot:0,9.147842,0;m:cuboid;scl:7,27,2;;
i:cuboid_353;pos:10809.79,170,-599.8649;rot:0,88.84255,0;m:cuboid;scl:5,25,20;;
i:cuboid_354;pos:10993.66,170,-565.5419;rot:0,68.4314,0;m:cuboid;scl:5,25,20;;
i:cuboid_355;pos:11168,170,-467.9131;rot:0,51.28201,0;m:cuboid;scl:5,25,20;;
i:cuboid_356;pos:11310.9,170,-328.6406;rot:0,41.61359,0;m:cuboid;scl:5,25,20;;
i:cuboid_357;pos:11399.21,170,-151.4411;rot:0,11.42119,0;m:cuboid;scl:5,25,20;;
i:cuboid_358;pos:10809.79,84.5,-599.8649;rot:0,88.84255,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_359;pos:10993.66,84.5,-565.5419;rot:0,68.4314,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_360;pos:11168,84.5,-467.9131;rot:0,51.28201,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_361;pos:11310.9,84.5,-328.6406;rot:0,41.61359,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_362;pos:11399.21,84.5,-151.4411;rot:0,11.42119,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_363;pos:10899.95,170,597.7205;rot:0,280.6147,0;m:cuboid;scl:7,27,2;;
i:cuboid_364;pos:11087.24,170,530.822;rot:0,302.3784,0;m:cuboid;scl:7,27,2;;
i:cuboid_365;pos:11375.74,170.12,247.3695;rot:0,328.3972,0;m:cuboid;scl:7,27,2;;
i:cuboid_366;pos:11417.73,170,61.04803;rot:0,350.8522,0;m:cuboid;scl:7,27,2;;
i:cuboid_367;pos:10809.79,170,599.8649;rot:0,271.1574,0;m:cuboid;scl:5,25,20;;
i:cuboid_368;pos:10993.66,170,565.5419;rot:0,291.5686,0;m:cuboid;scl:5,25,20;;
i:cuboid_369;pos:11399.21,170,151.4411;rot:0,348.5788,0;m:cuboid;scl:5,25,20;;
i:cuboid_370;pos:10809.79,84.5,599.8649;rot:0,271.1574,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_371;pos:10993.66,84.5,565.5419;rot:0,291.5686,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_372;pos:11399.21,84.5,151.4411;rot:0,348.5788,0;m:cuboid;scl:5.5,8,20;;
i:cuboid_373;pos:11238.9,190.02,400.4291;rot:0,314.2752,0;m:cuboid;scl:5,21,16.9;;
i:cuboid_374;pos:11234.98,193.0818,403.8362;rot:0,314.4352,0;m:cuboid;scl:7,22,2;;
i:cuboid_375;pos:11239.42,104.42,400.7332;rot:0,314.4352,0;m:cuboid;scl:5.5,4,17.1;;
i:arc180_376;pos:11236,70,401;rot:0,0,270;m:arc180;scl:4,32.5,4;clr:102,63,0,255;;
i:cuboid_377;pos:11129.97,170,497.0691;rot:0,308.718,0;m:cuboid;scl:5,25,13;;
i:cuboid_378;pos:11339.76,169.96,295.1101;rot:0,318.7864,0;m:cuboid;scl:5,25,13;;
i:cuboid_379;pos:11129.53,84.5,497.4853;rot:0,308.718,0;m:cuboid;scl:5.5,8,13;;
i:cuboid_380;pos:11341.34,84.46,294.5548;rot:0,318.3864,0;m:cuboid;scl:5.5,8,13;;
i:cuboid_381;pos:11221.64,50.39771,456.4331;rot:0,44.41684,0;m:cuboid;scl:7,7,0.05;;
i:cuboid_382;pos:11251.45,80.64636,427.2715;rot:0,44.06425,0;m:cuboid;scl:1.5,1.5,0.05;;
i:cuboid_383;pos:11309.13,80.85474,370.4128;rot:0,44.77266,0;m:cuboid;scl:3,1,0.05;;
i:cuboid_384;pos:11314.08,68.92313,365.2895;rot:0,44.7535,0;m:cuboid;scl:1.25,1.5,0.05;;
i:cuboid_385;pos:11172.99,80.30818,427.7577;rot:0,224.2967,0;m:cuboid;scl:2.5,1,0.05;;
i:cuboid_386;pos:11167.58,69.63114,433.0389;rot:0,224.3233,0;m:cuboid;scl:1,1.25,0.05;;
i:cuboid_387;pos:11259.44,60.20108,342.8141;rot:0,224.4456,0;m:cuboid;scl:5,5,0.05;;
i:cuboid_388;pos:11232.61,81.96333,369.0918;rot:0,224.2983,0;m:cuboid;scl:2.5,1.5,0.05;;
i:cuboid_389;pos:11238.13,68.39194,363.8249;rot:0,224.4044,0;m:cuboid;scl:1,1.5,0.05;;
i:cuboid_390;pos:11420,194,0;m:cuboid;scl:5,20,12;t:brick1;til:2.4,4;clr:127,191,127,255;;
i:cuboid_391;pos:11422,231.35,0;m:cuboid;scl:5,12.5,5;t:brick1;til:1,2.5;clr:191,255,0,255;;
i:cuboid_392;pos:11420,168,0;m:cuboid;scl:6.75,0.15,12;t:brick4;til:2,0.025;clr:255,255,255,255;;
i:cuboid_393;pos:11420,168,0;m:cuboid;scl:6.73,0.17,12;t:brick4;til:2,1.125;clr:255,255,255,255;;
i:cuboid_394;pos:11420,107.75,44;m:cuboid;scl:6.5,12,3;t:brick1;til:0.6,2.4;clr:127,191,127,255;;
i:cuboid_395;pos:11420,107.75,-44;m:cuboid;scl:6.5,12,3;t:brick1;til:0.6,2.4;clr:127,191,127,255;;
i:cuboid_396;pos:11420,128,44;m:cuboid;scl:8.025,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_397;pos:11420,128,44;m:cuboid;scl:8,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_398;pos:11420,128,-44;m:cuboid;scl:8.025,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_399;pos:11420,128,-44;m:cuboid;scl:8,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_400;pos:11420,88,44;m:cuboid;scl:8,8,4;t:brick1;til:0.8,1.6;clr:127,191,127,255;;
i:cuboid_401;pos:11420,88,-44;m:cuboid;scl:8,8,4;t:brick1;til:0.8,1.6;clr:127,191,127,255;;
i:cuboid_402;pos:11420,90,44;m:cuboid;scl:9.525,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_403;pos:11420,90,44;m:cuboid;scl:9.5,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
i:cuboid_404;pos:11420,90,-44;m:cuboid;scl:9.525,0.15,4.025;t:brick4;til:0.67,0.025;clr:255,255,255,255;;
i:cuboid_405;pos:11420,90,-44;m:cuboid;scl:9.5,0.17,4;t:brick4;til:0.67,1.125;clr:255,255,255,255;;
