i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-8.5,7.7,489;m:cuboid;scl:4,3,1.4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_156;pos:47.91161,14.25805,-121.1807;rot:0,272.9555,0;m:cuboid;scl:0.03,0.03,5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_157;pos:48.80247,5.258045,-111.6137;rot:0,272.9555,0;m:cuboid;scl:0.03,0.03,5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:sphere_158;pos:42.35697,17.11277,470.8399;rot:0,175.988,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:sphere_159;pos:29.69964,-0.7023023,457.6499;rot:0,175.9879,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:sphere_160;pos:39.76696,9.635302,255.2592;rot:0,178.4872,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_161;pos:62.40889,8.311553,-79.83394;rot:0,177.737,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_162;pos:36.19773,8.311553,-80.06902;rot:0,177.737,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_163;pos:49.41126,20.51156,-80.14737;rot:0,177.737,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_164;pos:156.3025,15.09237,219.5896;rot:0,180.1549,0;m:cuboid;scl:0.5,6,86;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_165;pos:206.275,17.67291,160.4428;rot:0,1.19774,0;m:cuboid;scl:0.5,6,86;t:stone4;til:3,3;;
i:cuboid_166;pos:63.72571,17.3744,647.5281;rot:0,268.7885,0;m:cuboid;scl:0.5,6,120;t:stone4;til:3,3;;
i:cuboid_167;pos:363.4089,17.93743,594.038;rot:0,267.9194,0;m:cuboid;scl:0.5,6,30;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_168;pos:234.011,-1.103248,222.8361;rot:0,178.0599,0;m:cuboid;scl:200,0.3,200;t:stone4;til:3,3;;
i:cuboid_169;pos:578.2558,31.50868,-147.5671;rot:0,178.4425,0;m:cuboid;scl:10,3,50;t:stone4;til:3,3;;
i:cuboid_170;pos:619.0051,23.59915,61.1483;rot:0,178.3762,0;m:cuboid;scl:1,6,120;t:stone4;til:3,3;;
i:cuboid_171;pos:520.4016,16.98539,99.5056;rot:0,178.6047,0;m:cuboid;scl:1,6,100;t:stone4;til:3,3;;
i:cuboid_172;pos:554.9066,-1.427525,588.4184;rot:0,88.3493,0;m:cuboid;scl:3,1,9;;
i:cylinder_173;pos:557.3801,12.20453,590.9197;rot:0,179.5986,0;m:cylinder;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_174;pos:557.9692,-5.730123,553.0834;rot:0,89.09677,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_175;pos:557.4492,32.32747,529.3941;rot:0,89.59503,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_176;pos:561.794,2.877271,503.0972;rot:0,89.3424,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_177;pos:558.772,32.02674,473.2122;rot:0,88.34184,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_178;pos:560.2254,3.731889,446.1973;rot:0,89.09182,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_179;pos:561.6908,32.97797,422.8973;rot:0,88.33887,0;m:cuboid;scl:0.3,3,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_180;pos:566.0323,2.086595,395.1072;rot:0,87.83739,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_181;pos:566.9828,32.0065,362.8564;rot:0,87.83739,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_182;pos:568.3502,5.718983,334.3683;rot:0,89.08718,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_183;pos:568.9301,32.47819,300.1076;rot:0,88.83721,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_184;pos:569.0982,2.30047,268.6873;rot:0,88.33694,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_185;pos:569.73,32.21263,233.3239;rot:0,88.33694,0;m:cuboid;scl:0.3,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_186;pos:154.8592,21.32934,-261.4614;rot:0,87.83344,0;m:cuboid;scl:1,5,9;t:stone4;til:3,3;;
i:cuboid_187;pos:579.4717,31.22866,-147.9251;rot:0,178.4025,0;m:cuboid;scl:10,3,50;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_188;pos:448.0281,18.25855,31.42753;rot:0,179.051,0;m:cuboid;scl:1,6,100;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_189;pos:380.8408,20.13499,96.55946;rot:0,359.5348,0;m:cuboid;scl:1,6,100;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_190;pos:380.7884,19.97503,97.55807;rot:0,359.5348,0;m:cuboid;scl:1,6,100;t:stone4;til:3,3;;
i:cuboid_191;pos:-376.1947,18.90059,558.2211;rot:0,271.6563,0;m:cuboid;scl:1,6,50;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:sphere_192;pos:-153.243,41.37638,480.6675;rot:0,324.8932,0;m:sphere;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_193;pos:-146.011,20.74062,517.1425;rot:0,178.3979,0;m:cuboid;scl:1,6,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:tube_194;pos:-150.0703,11.64003,106.7304;rot:90,356.2339,0;m:tube;scl:6,100,6;;
i:cuboid_195;pos:-450.6481,15.37631,477.5113;rot:0,269.9097,0;m:cuboid;scl:1,6,50;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_196;pos:-107.9927,18.95073,-425.1642;rot:0,266.8513,0;m:cuboid;scl:1,6,100;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_197;pos:-10.73869,19.195,-494.4803;rot:0,266.7074,0;m:cuboid;scl:1,6,130;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_198;pos:-658.7121,19.9507,-386.1022;rot:0,358.4506,0;m:cuboid;scl:1,6,30;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_199;pos:-409.0832,17.72564,-241.4687;rot:0,87.87973,0;m:cuboid;scl:1,6,50;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_200;pos:-603.1248,18.49383,-407.2291;rot:0,358.6769,0;m:cuboid;scl:1,6,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_201;pos:-356.6679,16.37907,-314.9489;rot:0,80.63663,0;m:cuboid;scl:1,6,50;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_202;pos:-103.0683,16.08306,-254.6837;rot:0,7.157337,0;m:cuboid;scl:1,6,5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_203;pos:-131.7464,34.7341,-251.9588;rot:0,93.2504,0;m:cuboid;scl:5,2,5;;
i:cuboid_204;pos:-126.5966,8.087039,-204.6988;rot:0,84.89132,0;m:cuboid;scl:0.03,0.03,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_205;pos:-128.9408,16.68699,-205.3191;rot:0,84.89132,0;m:cuboid;scl:0.03,0.03,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_206;pos:-132.2531,26.52705,-206.0658;rot:0,84.89132,0;m:cuboid;scl:0.03,0.03,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_207;pos:-125.9044,11.07263,-193.0211;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_208;pos:-131.5321,22.4726,-194.6236;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_209;pos:-129.426,8.752604,-186.6713;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_210;pos:-132.9443,22.91263,-187.3723;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_211;pos:-137.3864,29.83265,-179.5557;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_212;pos:-129.3413,12.63263,-173.6526;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_213;pos:-129.2394,21.83263,-167.845;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_214;pos:-130.3399,27.63264,-159.5847;rot:0,85.13589,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_215;pos:-130.772,7.702584,-148.5931;rot:0,81.38588,0;m:cuboid;scl:0.05,0.05,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_216;pos:-149.9144,12.66511,-164.0721;rot:0,359.1245,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_217;pos:-116.4877,11.58511,-160.0375;rot:0,359.1245,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_218;pos:-133.1713,10.97377,-148.4918;rot:0,354.3733,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_219;pos:-151.5239,10.98965,-136.5125;rot:0,354.372,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_220;pos:-118.4594,7.135209,-133.4742;rot:0,357.6209,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_221;pos:-102.0323,26.63193,316.6978;rot:0,355.8649,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_222;pos:-80.97991,18.48988,316.6179;rot:0,357.3648,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_223;pos:-136.8956,14.45263,-117.7873;rot:0,354.6101,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_224;pos:-154.0849,12.3212,-102.6963;rot:0,352.3588,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_225;pos:-119.6473,10.5612,-99.59052;rot:0,352.3588,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_226;pos:-155.8866,13.09444,-72.60619;rot:0,353.8478,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_227;pos:-156.7924,12.58381,-41.04628;rot:0,354.3475,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_228;pos:-157.5949,12.4289,-9.827655;rot:0,356.3466,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_229;pos:-159.0013,7.353772,22.3649;rot:0,357.0929,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_230;pos:-120.9991,11.21714,-69.58987;rot:0,357.0894,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_231;pos:-125.4723,12.49933,-36.57701;rot:0,355.5884,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_232;pos:-127.8763,11.02803,-4.890918;rot:0,354.8373,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_233;pos:-131.1316,6.424053,28.6083;rot:0,355.8365,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_234;pos:-138.4907,14.24597,-85.52085;rot:0,357.5852,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_235;pos:-139.368,9.25037,-52.76775;rot:0,355.584,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_236;pos:-142.0132,8.365725,-21.88747;rot:0,355.0827,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_237;pos:-144.524,7.632754,10.45737;rot:0,353.5815,0;m:cuboid;scl:1,10,0.05;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_238;pos:-161.6078,30.71016,47.4603;rot:0,86.078,0;m:cuboid;scl:0.05,2,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_239;pos:-162.2921,7.81597,71.54019;rot:0,88.32615,0;m:cuboid;scl:0.05,2,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_240;pos:-159.5503,27.21937,92.38397;rot:0,87.57436,0;m:cuboid;scl:0.05,2,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_241;pos:385.8044,33.85148,-398.3769;rot:0,268.5461,0;m:cylinder;scl:1,6,1;;
i:cylinder_242;pos:391.2,33.61147,-472.2224;rot:0,268.5461,0;m:cylinder;scl:1,6,1;;
i:cylinder_243;pos:259.2704,39.13297,-404.8651;rot:0,268.2892,0;m:cylinder;scl:1,6,1;;
i:cylinder_244;pos:186.2856,43.20844,-482.3636;rot:0,357.284,0;m:cylinder;scl:1,6,1;;
i:cylinder_245;pos:48.07028,40.0467,-416.3837;rot:0,358.7802,0;m:cylinder;scl:1,6,1;;
i:cylinder_246;pos:-172.2283,40.51228,-503.9503;rot:0,359.2763,0;m:cylinder;scl:1,6,1;;
i:cylinder_247;pos:-235.0291,37.75226,-507.1934;rot:0,359.2763,0;m:cylinder;scl:1,6,1;;
i:cylinder_248;pos:-177.2171,38.30211,-428.7325;rot:0,357.7745,0;m:cylinder;scl:1,6,1;;
i:cylinder_249;pos:-233.6215,38.93669,-431.8907;rot:0,0.02438013,0;m:cylinder;scl:1,6,1;;
i:cylinder_250;pos:-655.1356,28.27678,-532.14;rot:0,358.0197,0;m:cylinder;scl:1,6,1;;
i:cylinder_251;pos:-601.8517,33.38607,-452.0085;rot:0,357.7686,0;m:cylinder;scl:1,6,1;;
i:cylinder_252;pos:-604.8915,33.71297,-354.8557;rot:0,83.26827,0;m:cylinder;scl:1,6,1;;
i:cylinder_253;pos:-662.1077,32.75338,-251.0566;rot:0,89.01775,0;m:cylinder;scl:1,6,1;;
i:cylinder_254;pos:-404.0258,42.69772,-322.5086;rot:0,175.5167,0;m:cylinder;scl:1,6,1;;
i:cylinder_255;pos:-411.3125,47.11106,-241.9784;rot:0,178.5156,0;m:cylinder;scl:1,6,1;;
i:cuboid_256;pos:427.8018,1.513673,-431.1163;rot:0,268.7604,0;m:cuboid;scl:3,1,3;;
i:cylinder_257;pos:427.8551,14.11741,-431.0082;rot:0,269.0095,0;m:cylinder;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_258;pos:346.3176,48.26539,-95.67368;rot:0,269.7478,0;m:cuboid;scl:200,1,200;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_259;pos:565.6504,48.21395,352.5964;rot:0,178.2004,0;m:cuboid;scl:10,0.5,50;;
i:sphere_260;pos:439.8948,27.1894,528.8497;rot:0,180.4805,0;m:sphere;;
i:cuboid_261;pos:257.0166,20.90256,-429.9553;rot:0,355.718,0;m:cuboid;scl:0.5,5,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_262;pos:-172.5214,20.20066,-491.3844;rot:0,177.9636,0;m:cuboid;scl:0.5,5,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_263;pos:-177.3884,18.72506,-440.0937;rot:0,178.4612,0;m:cuboid;scl:0.5,5,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_264;pos:-236.3478,20.09992,-492.4696;rot:0,180.9551,0;m:cuboid;scl:0.5,5,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_265;pos:-234.7142,20.28919,-445.5186;rot:0,356.4535,0;m:cuboid;scl:0.5,5,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_266;pos:-406.2323,25.3151,-307.58;rot:0,351.4496,0;m:cuboid;scl:0.5,5,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_267;pos:-132.7955,6.53792,-160.1367;rot:0,86.43703,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_268;pos:-135.6061,27.03543,-159.8575;rot:0,85.18229,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_269;pos:-136.9623,3.72385,-135.5143;rot:0,85.17963,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_270;pos:-142.8462,28.13915,-136.2205;rot:0,85.92963,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_271;pos:-149.1877,30.66696,-101.6205;rot:0,83.92653,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_272;pos:-142.8044,4.81016,-104.4323;rot:0,88.67639,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_273;pos:-144.4688,27.49359,-71.90167;rot:0,85.6761,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_274;pos:-144.2692,5.293536,-71.8866;rot:0,85.6761,0;m:cuboid;scl:0.03,1,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:sphere_275;pos:-198.0929,40.81979,476.5789;rot:0,178.6425,0;m:sphere;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_276;pos:-176.4273,-2.85964,514.8499;rot:0,173.8908,0;m:cuboid;scl:3,1,3;;
i:cylinder_277;pos:-174.9167,11.76068,514.8524;rot:0,265.3901,0;m:cylinder;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_278;pos:-215.3129,-0.4919578,533.3974;rot:0,268.388,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_279;pos:-235.1075,-1.020202,502.2754;rot:0,240.1364,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_280;pos:-243.1677,-0.7411099,514.3224;rot:0,287.8861,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_281;pos:-264.4996,-0.4503098,526.4327;rot:0,267.8852,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_282;pos:-277.8015,-0.7470897,496.3764;rot:0,257.6292,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_283;pos:-263.1041,-1.189822,507.2063;rot:0,100.1287,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_284;pos:-298.842,-0.7733426,518.9998;rot:0,91.37853,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_285;pos:-315.8208,-0.03810619,505.0197;rot:0,101.3784,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_286;pos:-343.3124,-0.626629,514.1843;rot:0,92.12816,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_287;pos:-348.5815,-0.3560008,500.2045;rot:0,88.3775,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_288;pos:-376.8391,0.6633041,510.3991;rot:0,93.62728,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_289;pos:-379.8174,-0.6558293,526.863;rot:0,95.37609,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_290;pos:-397.3875,-0.02285722,518.7556;rot:0,91.126,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_291;pos:-422.8449,-1.045437,509.4788;rot:0,112.6258,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_292;pos:-444.1596,-0.4597552,529.614;rot:0,82.8756,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_293;pos:-457.9111,-0.644024,502.679;rot:0,87.62553,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_294;pos:-461.5847,-1.150751,512.1908;rot:0,81.62545,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_295;pos:-485.2959,-0.3507496,499.8043;rot:0,81.6254,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_296;pos:-506.0868,-0.05054045,518.812;rot:0,89.12527,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_297;pos:-517.4608,-0.4505404,505.4366;rot:0,89.12527,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cuboid_298;pos:-476.8596,-0.9882507,524.2321;rot:0,94.12395,0;m:cuboid;scl:0.5,0.5,0.5;clr:63,217,255,255;;
i:cylinder_299;pos:-588.9523,85.67325,515.2339;rot:0,93.37215,0;m:cylinder;scl:1,7,1;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cylinder_300;pos:-588.8643,5.616632,515.2164;rot:0,89.37147,0;m:cylinder;;
i:cuboid_301;pos:316.8991,139.068,15.36445;rot:0,355.6145,0;m:cuboid;scl:2,10,100;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_302;pos:317.6181,139.348,-4.988327;rot:0,355.6145,0;m:cuboid;scl:2,10,100;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:sphere_303;pos:116.0074,130.4696,89.28432;rot:0,79.86142,0;m:sphere;;
i:sphere_304;pos:143.3195,144.406,-79.54138;rot:0,2.109523,0;m:sphere;;
