i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:-99999,-99999,-99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_232;pos:-140,70,-300;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_233;pos:-140,60,-310;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_234;pos:-140,50,-320;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_235;pos:-60,90,-320;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_236;pos:-20,90,-280;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_237;pos:-60,90,-240;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_238;pos:-20,90,-200;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_239;pos:-60,90,-160;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_240;pos:-20,90,-120;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_241;pos:-60,90,-80;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_242;pos:-20,90,-40;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_243;pos:-60,90,0;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_244;pos:-20,90,40;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_245;pos:-60,90,80;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_246;pos:-20,90,120;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_247;pos:-60,90,140;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_248;pos:-20,90,160;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_249;pos:-60,90,180;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_250;pos:-20,90,200;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_251;pos:-60,90,220;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_252;pos:-20,90,240;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_253;pos:-60,90,260;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_254;pos:-20,90,280;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_255;pos:-60,90,300;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_256;pos:-20,90,320;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_257;pos:-60,90,340;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_258;pos:-20,90,360;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_259;pos:-60,90,400;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cylinder_260;pos:60,90,380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_261;pos:55,90,370;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_262;pos:65,90,370;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_263;pos:50,90,360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_264;pos:70,90,360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_265;pos:55,90,350;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_266;pos:65,90,350;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_267;pos:60,90,340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_268;pos:35,90,330;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_269;pos:30,90,320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_270;pos:40,90,320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_271;pos:25,90,310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_272;pos:45,90,310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_273;pos:30,90,300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_274;pos:40,90,300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_275;pos:35,90,290;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_276;pos:85,90,330;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_277;pos:80,90,320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_278;pos:90,90,320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_279;pos:75,90,310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_280;pos:95,90,310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_281;pos:80,90,300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_282;pos:90,90,300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_283;pos:85,90,290;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_284;pos:60,90,280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_285;pos:55,90,270;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_286;pos:65,90,270;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_287;pos:50,90,260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_288;pos:70,90,260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_289;pos:55,90,250;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_290;pos:65,90,250;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_291;pos:60,90,240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_292;pos:35,90,230;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_293;pos:30,90,220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_294;pos:40,90,220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_295;pos:25,90,210;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_296;pos:45,90,210;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_297;pos:30,90,200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_298;pos:40,90,200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_299;pos:35,90,190;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_300;pos:85,90,230;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_301;pos:80,90,220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_302;pos:90,90,220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_303;pos:75,90,210;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_304;pos:95,90,210;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_305;pos:80,90,200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_306;pos:90,90,200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_307;pos:85,90,190;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_308;pos:60,90,180;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_309;pos:55,90,170;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_310;pos:65,90,170;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_311;pos:50,90,160;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_312;pos:70,90,160;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_313;pos:55,90,150;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_314;pos:65,90,150;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_315;pos:60,90,140;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_316;pos:35,90,130;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_317;pos:30,90,120;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_318;pos:40,90,120;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_319;pos:25,90,110;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_320;pos:45,90,110;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_321;pos:30,90,100;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_322;pos:40,90,100;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_323;pos:35,90,90;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_324;pos:85,90,130;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_325;pos:80,90,120;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_326;pos:90,90,120;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_327;pos:75,90,110;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_328;pos:95,90,110;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_329;pos:80,90,100;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_330;pos:90,90,100;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_331;pos:85,90,90;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_332;pos:60,90,80;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_333;pos:55,90,70;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_334;pos:65,90,70;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_335;pos:50,90,60;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_336;pos:70,90,60;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_337;pos:55,90,50;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_338;pos:65,90,50;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_339;pos:60,90,40;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_340;pos:35,90,30;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_341;pos:30,90,20;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_342;pos:40,90,20;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_343;pos:25,90,10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_344;pos:45,90,10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_345;pos:30,90,0;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_346;pos:40,90,0;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_347;pos:35,90,-10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_348;pos:85,90,30;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_349;pos:80,90,20;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_350;pos:90,90,20;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_351;pos:75,90,10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_352;pos:95,90,10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_353;pos:80,90,0;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_354;pos:90,90,0;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_355;pos:85,90,-10;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_356;pos:95,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_357;pos:88,90,-39;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_358;pos:81,90,-47;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_359;pos:74,90,-55;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_360;pos:67,90,-63;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_361;pos:60,90,-71;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_362;pos:53,90,-79;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_363;pos:46,90,-87;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_364;pos:39,90,-95;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_365;pos:32,90,-103;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_366;pos:39,90,-111;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_367;pos:46,90,-119;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_368;pos:53,90,-127;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_369;pos:60,90,-135;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_370;pos:67,90,-143;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_371;pos:74,90,-151;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_372;pos:81,90,-159;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_373;pos:88,90,-167;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_374;pos:95,90,-175;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_375;pos:23,90,-127;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_376;pos:30,90,-135;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_377;pos:37,90,-143;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_378;pos:44,90,-151;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_379;pos:51,90,-159;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_380;pos:58,90,-167;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_381;pos:65,90,-175;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_382;pos:72,90,-183;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_383;pos:65,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_384;pos:58,90,-39;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_385;pos:51,90,-47;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_386;pos:44,90,-55;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_387;pos:37,90,-63;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_388;pos:30,90,-71;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_389;pos:23,90,-79;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_390;pos:55,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_391;pos:45,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_392;pos:35,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_393;pos:25,90,-31;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_394;pos:95,90,-200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_395;pos:77.5,90,-200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_396;pos:60,90,-200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_397;pos:42.5,90,-200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_398;pos:25,90,-200;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_399;pos:86.25,90,-220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_400;pos:68.75,90,-220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_401;pos:51.25,90,-220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_402;pos:33.75,90,-220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_403;pos:16.25,90,-220;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_404;pos:95,90,-240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_405;pos:77.5,90,-240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_406;pos:60,90,-240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_407;pos:42.5,90,-240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_408;pos:25,90,-240;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_409;pos:86.25,90,-260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_410;pos:68.75,90,-260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_411;pos:51.25,90,-260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_412;pos:33.75,90,-260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_413;pos:16.25,90,-260;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_414;pos:95,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_415;pos:77.5,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_416;pos:60,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_417;pos:42.5,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_418;pos:25,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_419;pos:86.25,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_420;pos:68.75,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_421;pos:51.25,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_422;pos:33.75,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_423;pos:16.25,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_424;pos:95,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_425;pos:77.5,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_426;pos:60,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_427;pos:42.5,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_428;pos:25,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_429;pos:86.25,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_430;pos:68.75,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_431;pos:51.25,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_432;pos:33.75,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_433;pos:16.25,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_434;pos:95,90,-360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_435;pos:77.5,90,-360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_436;pos:60,90,-360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_437;pos:42.5,90,-360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_438;pos:25,90,-360;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_439;pos:86.25,90,-380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_440;pos:68.75,90,-380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_441;pos:51.25,90,-380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_442;pos:33.75,90,-380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_443;pos:16.25,90,-380;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cuboid_444;pos:160,50,-330;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_445;pos:195,90,-330;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_446;pos:125,90,-330;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_447;pos:160,135,-330;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_448;pos:160,60,-230;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_449;pos:185,90,-230;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_450;pos:135,90,-230;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_451;pos:160,125,-230;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_452;pos:160,70,-130;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_453;pos:175,90,-130;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_454;pos:145,90,-130;rot:0,180,0;m:cuboid;scl:1,10,10;t:rock3;til:5,5;;
i:cuboid_455;pos:160,115,-130;rot:0,180,0;m:cuboid;scl:8,1,10;t:rock3;til:5,5;;
i:cuboid_456;pos:160,80,0;rot:0,180,0;m:cuboid;scl:8,1,36;t:rock3;til:5,5;;
i:cuboid_457;pos:170,90,0;rot:0,180,0;m:cuboid;scl:1,10,36;t:rock3;til:5,5;;
i:cuboid_458;pos:150,90,0;rot:0,180,0;m:cuboid;scl:1,10,36;t:rock3;til:5,5;;
i:cuboid_459;pos:160,105,0;rot:0,180,0;m:cuboid;scl:8,1,36;t:rock3;til:5,5;;
i:cuboid_460;pos:160,80,255;rot:0,180,0;m:cuboid;scl:8,1,15;t:rock3;til:5,5;;
i:cuboid_461;pos:160,105,255;rot:0,180,0;m:cuboid;scl:8,1,15;t:rock3;til:5,5;;
i:cuboid_462;pos:135,90,175;rot:0,180,0;m:cuboid;scl:3.5,10,1;t:rock3;til:5,5;;
i:cuboid_463;pos:185,90,175;rot:0,180,0;m:cuboid;scl:3.5,10,1;t:rock3;til:5,5;;
i:cuboid_464;pos:135,90,325;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_465;pos:185,90,325;rot:0,180,0;m:cuboid;scl:4,10,1;t:rock3;til:5,5;;
i:cuboid_466;pos:160,60,325;rot:0,180,0;m:cuboid;scl:1,4,1;t:rock3;til:5,5;;
i:cuboid_467;pos:160,120,325;rot:0,180,0;m:cuboid;scl:1,4,1;t:rock3;til:5,5;;
i:cuboid_468;pos:260,90,350;rot:0,180,0;m:cuboid;scl:1.1,10,1.1;t:rock3;til:5,5;;
