i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-7.494504,49.88862,4.807927;rot:0,180,0;m:cuboid;scl:135,10,135;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_2;pos:-7.628267,139.7679,4.740594;rot:0,180,0;m:cuboid;scl:135,10,135;t:stone8;;
i:spawnhuman_3;pos:-10.00364,484.882,-9.938233;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:-10.00503,484.0516,-9.949316;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:house5_586;pos:-959.5982,315.9886,-1094.343;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_587;pos:-959.6774,315.9886,-1131.329;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_588;pos:-959.6354,315.9886,-1168.322;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_589;pos:-959.6738,315.9886,-1205.386;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_590;pos:-634.3166,315.9886,1208.169;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_591;pos:-634.3204,315.9886,1171.255;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_592;pos:-634.235,315.9886,1133.569;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_593;pos:-634.399,315.9886,1096.237;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_594;pos:-634.4371,315.9886,1058.182;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_595;pos:-634.4376,315.9886,1020.942;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_596;pos:-634.4777,315.9886,984.0056;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_597;pos:-632.8342,315.9886,873.2089;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_598;pos:-632.8794,315.9886,835.7754;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_599;pos:-632.9166,315.9886,798.9528;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_600;pos:-632.9551,315.9886,761.9368;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_601;pos:-632.9553,315.9886,725.3099;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_602;pos:-632.9935,315.9886,688.3658;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_603;pos:-632.9919,315.9886,652.0571;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_604;pos:-633.1888,315.9886,568.0773;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_605;pos:-633.2413,315.9886,531.4065;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_606;pos:-633.2384,315.9886,494.4666;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_607;pos:-633.2776,315.9886,457.4292;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_608;pos:-633.3536,315.9886,420.0348;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_609;pos:-633.3525,315.9886,382.4379;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_610;pos:-633.4299,315.9886,345.6566;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_611;pos:-633.4302,315.9886,261.4628;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_612;pos:-633.3821,315.9886,224.2278;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_613;pos:-633.463,315.9886,187.7698;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_614;pos:-633.4597,315.9886,150.7794;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_615;pos:-633.5418,315.9886,114.2104;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_616;pos:-633.5771,315.9886,77.15637;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_617;pos:-633.6552,315.9886,39.56575;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_618;pos:-633.848,315.9886,-43.14632;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_619;pos:-633.8845,315.9886,-80.13451;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_620;pos:-633.8041,315.9886,-117.4846;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_621;pos:-633.8403,315.9886,-154.814;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_622;pos:-633.8779,315.9886,-191.774;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_623;pos:-634.0347,315.9886,-228.698;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_624;pos:-634.0715,315.9886,-265.8065;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_625;pos:-634.1059,315.9886,-341.01;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_626;pos:-634.1856,315.9886,-377.9518;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_627;pos:-634.3022,315.9886,-414.8698;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_628;pos:-634.4188,315.9886,-452.6685;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_629;pos:-634.4936,315.9886,-489.7653;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_630;pos:-634.5727,315.9886,-527.11;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_631;pos:-634.6076,315.9886,-565.3195;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_632;pos:-634.6125,315.9886,-662.759;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_633;pos:-634.7657,315.9886,-700.0657;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_634;pos:-634.8008,315.9886,-737.8328;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_635;pos:-634.838,315.9886,-775.2738;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_636;pos:-634.8755,315.9886,-812.6023;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_637;pos:-634.9132,315.9886,-850.1656;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_638;pos:-634.9539,315.9886,-887.9921;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_639;pos:-634.746,315.9886,-985.8521;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_640;pos:-634.7869,315.9886,-1024.027;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_641;pos:-634.8227,315.9886,-1061.419;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_642;pos:-634.8575,315.9886,-1098.427;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_643;pos:-634.8943,315.9886,-1135.616;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_644;pos:-634.9734,315.9886,-1173.04;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_645;pos:-635.0505,315.9886,-1211.017;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_646;pos:-329.6649,315.9886,-667.7162;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_647;pos:-329.7432,315.9886,-704.7173;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_648;pos:-329.7415,315.9886,-741.6341;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_649;pos:-329.7402,315.9886,-778.7649;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_650;pos:-329.7379,315.9886,-815.7278;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_651;pos:-329.7753,315.9886,-852.9398;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_652;pos:-329.8136,315.9886,-889.9247;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_653;pos:-330.4875,315.9886,-991.0064;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_654;pos:-330.487,315.9886,-1028.796;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_655;pos:-330.4849,315.9886,-1066.373;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_656;pos:-330.5227,315.9886,-1103.829;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_657;pos:-330.5214,315.9886,-1141.446;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_658;pos:-330.5601,315.9886,-1179.085;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_659;pos:-330.5979,315.9886,-1216.589;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_660;pos:-27.92702,315.9886,-666.23;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_661;pos:-27.97843,315.9886,-703.8645;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_662;pos:-28.00478,315.9886,-740.5418;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_663;pos:-27.94934,315.9886,-776.8209;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_664;pos:-27.94741,315.9886,-813.4351;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_665;pos:-27.94556,315.9886,-850.1996;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_666;pos:-27.94366,315.9886,-886.8872;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_667;pos:-27.89863,315.9886,-985.6647;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_668;pos:-27.92536,315.9886,-1022.457;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_669;pos:-27.96344,315.9886,-1058.386;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_670;pos:-27.9616,315.9886,-1095.547;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_671;pos:-28.03967,315.9886,-1132.599;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_672;pos:-28.03773,315.9886,-1169.649;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_673;pos:-28.07577,315.9886,-1206.342;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_674;pos:277.1599,315.9886,-651.6442;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_675;pos:277.123,315.9886,-688.9093;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_676;pos:277.0453,315.9886,-725.8574;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_677;pos:277.0466,315.9886,-763.4086;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_678;pos:276.9289,315.9886,-800.0205;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_679;pos:276.8908,315.9886,-836.9317;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_680;pos:276.8134,315.9886,-873.981;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_681;pos:276.259,315.9886,-994.7855;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_682;pos:276.2211,315.9886,-1031.739;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_683;pos:276.1027,315.9886,-1068.816;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_684;pos:276.1042,315.9886,-1105.8;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_685;pos:276.0265,315.9886,-1142.523;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_686;pos:275.9881,315.9886,-1179.504;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_687;pos:275.9508,315.9886,-1216.811;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_688;pos:586.0135,315.9886,-669.0195;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_689;pos:585.9266,315.9886,-705.6288;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_690;pos:585.8882,315.9886,-742.6923;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_691;pos:585.8493,315.9886,-779.6293;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_692;pos:585.8127,315.9886,-816.4596;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_693;pos:585.8151,315.9886,-853.3237;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_694;pos:585.7368,315.9886,-890.5217;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_695;pos:585.9009,315.9886,-993.8769;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_696;pos:585.8997,315.9886,-1031.212;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_697;pos:585.7045,315.9886,-1067.943;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_698;pos:585.587,315.9886,-1105.32;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_699;pos:585.5077,315.9886,-1142.057;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_700;pos:585.5093,315.9886,-1179.34;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_701;pos:585.3911,315.9886,-1216.68;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_702;pos:-329.9918,315.9886,1200.782;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_703;pos:-330.0184,315.9886,1163.637;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_704;pos:-330.0562,315.9886,1126.291;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_705;pos:-330.1745,315.9886,1089.032;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_706;pos:-330.2117,315.9886,1051.688;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_707;pos:-330.3293,315.9886,1015.154;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_708;pos:-330.3666,315.9886,977.6461;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_709;pos:-328.2422,315.9886,879.4854;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_710;pos:-328.0783,315.9886,841.3596;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_711;pos:-328.1164,315.9886,804.1971;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_712;pos:-328.1541,315.9886,766.9017;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_713;pos:-328.1917,315.9886,729.8121;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_714;pos:-328.2296,315.9886,692.9392;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_715;pos:-328.3857,315.9886,655.9117;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_716;pos:-26.47536,315.9886,1198.205;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_717;pos:-26.51336,315.9886,1161.368;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_718;pos:-26.59148,315.9886,1124.568;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_719;pos:-26.66954,315.9886,1087.518;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_720;pos:-26.78759,315.9886,1050.634;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_721;pos:-26.78577,315.9886,1013.723;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_722;pos:-26.94383,315.9886,977.1241;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_723;pos:-25.33891,315.9886,881.2701;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_724;pos:-25.37697,315.9886,844.0778;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_725;pos:-25.41508,315.9886,807.0707;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_726;pos:-25.41317,315.9886,770.057;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_727;pos:-25.53115,315.9886,733.1691;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_728;pos:-25.56923,315.9886,696.3147;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_729;pos:-25.56733,315.9886,659.9886;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_730;pos:276.7997,315.9886,1203.847;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_731;pos:276.6829,315.9886,1166.935;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_732;pos:276.7245,315.9886,1129.818;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_733;pos:276.647,315.9886,1092.531;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_734;pos:276.6087,315.9886,1055.064;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_735;pos:276.492,315.9886,1018.095;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_736;pos:276.4147,315.9886,981.0336;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_737;pos:276.3792,315.9886,874.5083;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_738;pos:276.3831,315.9886,837.4518;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_739;pos:276.3847,315.9886,800.2524;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_740;pos:276.3076,315.9886,763.0093;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_741;pos:276.2298,315.9886,725.7316;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_742;pos:276.1913,315.9886,688.5213;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_743;pos:276.1935,315.9886,651.6435;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_744;pos:579.679,315.9886,1192.502;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_745;pos:579.564,315.9886,1155.812;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_746;pos:579.4857,315.9886,1118.832;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_747;pos:579.4833,315.9886,1081.505;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_748;pos:579.4462,315.9886,1043.944;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_749;pos:579.2836,315.9886,1006.44;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_750;pos:579.2081,315.9886,969.6682;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_751;pos:578.8057,315.9886,878.0297;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_752;pos:578.7672,315.9886,840.8465;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_753;pos:578.7689,315.9886,803.2228;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_754;pos:578.769,315.9886,765.5982;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_755;pos:578.7305,315.9886,728.3719;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_756;pos:578.7311,315.9886,691.432;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_757;pos:578.7307,315.9886,654.1689;rot:0,-0.002967944,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_758;pos:907.2354,316.0179,1198.119;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_759;pos:907.2362,316.0179,1161.419;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_760;pos:907.1937,316.0179,1124.488;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_761;pos:907.1534,316.0179,1087.644;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_762;pos:907.1136,316.0179,1050.648;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_763;pos:907.1117,316.0179,1013.586;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_764;pos:907.0333,316.0179,976.9054;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_765;pos:906.0313,316.0179,873.2608;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_766;pos:905.9568,316.0179,836.0546;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_767;pos:905.8751,316.0179,798.9283;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_768;pos:905.8752,316.0179,761.6742;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_769;pos:905.8734,316.0179,723.9227;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_770;pos:905.757,316.0179,687.1995;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_771;pos:905.5983,316.0179,650.2186;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_772;pos:907.6341,316.0179,566.6328;rot:0,-0.002175634,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
