i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:252.2763,1262.19,540.8406;rot:0,293,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_1;pos:223.7063,1258.191,470.0487;rot:0,293,0;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_2;pos:177.6811,1264.191,489.5853;rot:0,293,0;m:cuboid;scl:3,10,14;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_3;pos:223.7063,1258.191,470.0487;rot:0,293,0;m:cuboid;scl:2,10,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_4;pos:281.7175,1264.539,615.1783;rot:0,293,0;m:cuboid;scl:5,5,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:tube_167;pos:-157.424,1261.918,-428.9265;rot:311.1169,95.92887,282.9557;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_168;pos:775.0909,854.3017,1396.981;rot:329.8244,186.129,312.1566;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_169;pos:529.6768,1161.406,1319.092;rot:25.48942,133.637,314.7682;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_170;pos:603.0209,1037.806,1410.606;rot:3.14389,154.4622,320.0721;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_171;pos:513.951,1210.736,1250.514;rot:35.46524,120.5983,308.1086;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_172;pos:833.7808,810.5095,1352.021;rot:320.5287,200.5204,303.8821;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_173;pos:886.4007,780.977,1290.845;rot:313.4967,218.7103,291.4003;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_174;pos:560.0569,1102.423,1373.696;rot:14.54578,144.5802,318.5415;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_175;pos:959.7447,771.6326,1137.337;rot:311.0791,263.8198,257.2337;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_176;pos:655.6409,971.9591,1427.307;rot:351.6509,164.1276,319.63;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_177;pos:975.4706,792.4575,1055.468;rot:316.3273,284.245,242.3775;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_178;pos:929.3646,767.7169,1217.62;rot:310.0308,240.7131,274.8913;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_179;pos:714.3307,909.3691,1422.659;rot:340.406,174.3777,317.137;m:tube;scl:5,13.34709,5;mat:transparent;clr:255,178,178,200;;
i:tube_180;pos:184.6332,1261.191,377.9983;rot:309.8565,113.3574,269.6564;m:tube;scl:5,222.133,5;mat:transparent;clr:0,178,255,200;;
i:tube_181;pos:658.9368,704.9921,479.1284;rot:313.0554,139.5938,69.83442;m:tube;scl:5,133.6515,5;mat:transparent;clr:255,127,0,200;;
i:tube_182;pos:297.7752,697.5319,-355.4973;rot:320.1444,292.9097,56.59684;m:tube;scl:5,33.6,5;mat:transparent;clr:255,255,0,200;;
i:tube_183;pos:-168.8711,1441.148,-840.3722;rot:320.1444,292.9097,56.59684;m:tube;scl:5,100.8,5;mat:transparent;clr:0,255,127,200;;
i:tube_184;pos:319.6578,589.3796,-79.74402;rot:311.3978,94.16994,284.2779;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_185;pos:300.2296,640.7721,-235.9266;rot:38.71656,244.9161,55.2201;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_186;pos:302.3676,614.5896,-174.7193;rot:316.4504,75.43169,297.8455;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_187;pos:382.9417,587.8675,73.24126;rot:311.0791,129.6388,257.2342;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_188;pos:400.0722,593.7187,101.2275;rot:312.3017,136.3615,252.2111;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_189;pos:312.0547,595.8219,-111.5498;rot:312.7344,87.54459,289.1993;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_190;pos:352.8746,582.2841,14.07005;rot:309.8835,115.4598,268.0427;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_191;pos:300.3468,626.7924,-205.6698;rot:318.7474,69.97917,301.5246;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_192;pos:329.0382,584.9589,-48.06778;rot:310.46,101.0994,279.0397;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_193;pos:367.1748,584.0475,44.12537;rot:310.2644,122.6371,262.5475;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_194;pos:306.2787,604.2436,-143.2774;rot:314.4323,81.28838,293.7337;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_195;pos:340.1347,582.5886,-16.72814;rot:309.9495,108.2371,273.5853;m:tube;scl:5,5.137101,5;mat:transparent;clr:127,255,102,200;;
i:tube_196;pos:475.3814,1676.826,-1401.694;rot:31.38748,233.8267,228.8484;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_197;pos:491.8876,1740.715,-1499.935;rot:34.33538,238.1829,231.2323;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_198;pos:484.4753,1709.432,-1450.243;rot:32.88719,235.9616,229.9926;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_199;pos:497.6057,1770.623,-1550.686;rot:35.71028,240.5112,232.5816;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_200;pos:503.9243,1826.114,-1655.025;rot:37.74107,245.9096,235.878;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_201;pos:438.1767,1571.626,-1263.71;rot:26.65565,227.8525,225.9275;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_202;pos:501.6202,1799.105,-1602.412;rot:36.95329,242.9969,234.0736;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_203;pos:422.5369,1534.296,-1220.527;rot:25.0184,225.9817,225.1074;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_204;pos:386.5536,1456.614,-1138.818;rot:21.67265,222.3899,223.6749;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_205;pos:452.2126,1607.865,-1308.349;rot:28.26598,229.7794,226.8212;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_206;pos:405.3195,1495.938,-1178.873;rot:23.35613,224.1627,224.3579;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_207;pos:464.6211,1642.951,-1354.369;rot:29.84399,231.7695,227.7939;m:tube;scl:5,8.536294,5;mat:transparent;clr:255,255,255,200;;
i:tube_208;pos:183.6326,1021.987,-686.8449;rot:31.4615,233.6273,48.70357;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_209;pos:163.19,901.8823,-477.6502;rot:320.1201,67.13818,303.3724;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_210;pos:192.5964,1049.909,-725.5125;rot:29.61704,231.2413,47.4908;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_211;pos:166.4424,945.7911,-564.1172;rot:36.69707,241.3859,53.06021;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_212;pos:163.9904,923.1116,-521.2829;rot:38.32361,244.1988,54.77329;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_213;pos:244.0415,1172.464,-866.6033;rot:21.87073,222.4882,43.67423;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_214;pos:215.2554,1109.151,-798.9426;rot:25.80943,226.7217,45.38702;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_215;pos:170.5403,969.8679,-606.0535;rot:35.00709,238.6915,51.48158;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_216;pos:176.2748,995.2863,-646.9944;rot:33.25995,236.108,50.0317;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_217;pos:203.1455,1078.986,-762.9073;rot:27.73161,228.942,46.38729;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_218;pos:164.0432,882.1524,-433.3203;rot:318.641,70.2109,301.3715;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_219;pos:228.8979,1140.335,-833.5347;rot:23.85436,224.5727,44.48423;m:tube;scl:5,7.000016,5;mat:transparent;clr:229,102,153,200;;
i:tube_220;pos:317.7037,1319.473,-1006.963;rot:20.86905,221.468,223.3026;m:tube;scl:5,51.05136,5;mat:transparent;clr:0,255,0,200;;
i:tube_221;pos:-461.6207,2257.922,-1461.824;rot:310.3849,62.17344,306.6378;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_222;pos:-454.769,2227.426,-1373.273;rot:305.5661,74.82388,296.6414;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_223;pos:-458.5316,2238.201,-1409.094;rot:307.3303,69.43484,300.9783;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_224;pos:-460.9334,2250.883,-1444.405;rot:309.3192,64.49055,304.859;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_225;pos:-459.9033,2244.307,-1426.822;rot:308.2935,66.90286,302.9782;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_226;pos:-452.3818,2222.767,-1355.216;rot:304.7811,77.68817,294.3002;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_227;pos:-461.9645,2265.419,-1479.062;rot:311.4998,59.96523,308.3062;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_228;pos:-449.6605,2218.6,-1337.086;rot:304.0638,80.66003,291.8482;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_229;pos:-439.5219,2209.094,-1282.444;rot:302.379,90.18953,283.8702;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_230;pos:-443.2274,2211.76,-1300.682;rot:302.8586,86.91964,286.6242;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_231;pos:-446.6081,2214.93,-1318.902;rot:303.4217,83.73936,289.2874;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_232;pos:-456.8196,2232.572,-1391.238;rot:306.4146,72.07091,298.8687;m:tube;scl:5.25,2.8956,5.25;clr:0,0,0,255;;
i:tube_233;pos:-272.2588,2151.546,-761.2958;rot:312.8356,87.12041,109.5107;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_234;pos:-260.876,2129.994,-688.1445;rot:316.1414,76.251,117.2794;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_235;pos:-257.3037,2100.716,-616.9043;rot:39.64016,246.6673,236.3265;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_236;pos:-265.6021,2141.768,-724.5763;rot:314.3594,81.52549,113.5643;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_237;pos:-258.105,2116.286,-652.1911;rot:318.151,71.30103,120.6478;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_238;pos:-280.8109,2159.277,-798.1105;rot:311.5991,93.0126,105.1448;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_239;pos:-291.2139,2164.92,-834.8279;rot:310.6772,99.16106,100.5123;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_240;pos:-266.7085,2043.692,-516.8686;rot:32.07284,234.4523,229.1378;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_241;pos:-261.6167,2064.323,-549.0655;rot:34.72924,238.268,231.2396;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_242;pos:-258.4763,2083.365,-582.4691;rot:37.25884,242.3306,233.6283;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_243;pos:-273.7248,2021.578,-486.0469;rot:29.30897,230.8564,227.3015;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_244;pos:-282.629,1998.097,-456.762;rot:26.45354,227.453,225.7091;m:tube;scl:5.25,5.944831,5.25;clr:0,0,0,255;;
i:tube_245;pos:-455.2506,2292.184,-1549.361;rot:322.449,280.1841,244.1221;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_246;pos:329.3903,1734.819,-1809.264;rot:29.94265,115.7727,304.5939;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_247;pos:177.9602,1983.223,-2061.129;rot:0.2899334,151.371,314.4938;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_248;pos:-11.28014,2159.738,-2088.708;rot:339.7554,173.7137,310.5109;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_249;pos:302.6543,1807.389,-1915.306;rot:20.78099,128.9454,310.2748;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_250;pos:-428.5146,2326.77,-1673.115;rot:317.2926,261.7084,256.1023;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_251;pos:-376.8647,2338.117,-1793.238;rot:315.5068,241.0861,270.4065;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_252;pos:-214.3601,2289.639,-1990.653;rot:322.8143,202.2134,296.4453;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_253;pos:-114.5801,2233.117,-2054.49;rot:330.5294,186.7767,304.9821;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_254;pos:-303.8205,2325.453,-1901.544;rot:317.4966,220.534,284.6354;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_255;pos:88.49991,2074.504,-2090.972;rot:349.8343,162.1818,313.5566;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_256;pos:251.0044,1892.115,-2001.213;rot:10.73557,140.5402,313.4459;m:tube;scl:5.25,20.38661,5.25;clr:0,0,0,255;;
i:tube_257;pos:245.2395,1685.698,-1423.086;rot:308.722,215.1361,121.0385;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_258;pos:136.464,1787.926,-1291.353;rot:329.0429,185.1645,141.3172;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_259;pos:-73.67439,2109.819,-1303.651;rot:18.81658,150.2862,145.5117;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_260;pos:-31.68851,2027.928,-1263.502;rot:6.293234,158.765,147.369;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_261;pos:332.2817,1685.869,-1704.291;rot:308.7624,290.5315,58.87727;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_262;pos:19.73342,1943.165,-1247.636;rot:353.6404,166.8375,147.3643;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_263;pos:-118.7306,2243.234,-1444.387;rot:42.02231,127.8839,133.823;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_264;pos:316.9138,1663.874,-1607.539;rot:303.1823,266.6504,78.32337;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_265;pos:-103.3628,2183.256,-1365.347;rot:30.89597,140.4528,141.3471;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_266;pos:193.8176,1728.03,-1347.955;rot:317.9231,197.7522,133.772;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_267;pos:287.2253,1663.816,-1511.625;rot:303.1663,239.0498,101.5591;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_268;pos:77.08707,1861.304,-1257.136;rot:341.1186,175.3205,145.4965;m:tube;scl:5.25,15.59552,5.25;clr:0,0,0,255;;
i:tube_269;pos:381.9923,2053.41,-1923.563;rot:0.06899004,150.5482,133.5466;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_270;pos:311.9686,2122.816,-1947.974;rot:349.8025,161.5426,132.5882;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_271;pos:73.96979,2285.976,-1874.403;rot:323.3885,201.9544,115.5631;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_272;pos:3.390913,2312.96,-1806.529;rot:318.2505,220.1837,103.9953;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_273;pos:233.7014,2187.55,-1947.62;rot:339.9184,173.2502,129.526;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_274;pos:499.582,1864.118,-1726.032;rot:28.84,114.3085,123.6672;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_275;pos:152.5244,2243.201,-1922.526;rot:330.8965,186.4565,124.009;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_276;pos:439.0004,1984.062,-1876.052;rot:10.31942,139.5367,132.5188;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_277;pos:-117.0181,2286.828,-1535.427;rot:322.8899,279.3064,64.55954;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_278;pos:-95.47166,2313.401,-1631.062;rot:318.0852,260.8353,76.3035;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_279;pos:479.1081,1919.498,-1808.678;rot:20.13906,127.7657,129.3705;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_280;pos:-54.40241,2322.314,-1723.53;rot:316.3536,240.4823,90.17327;m:tube;scl:5.25,15.77671,5.25;clr:0,0,0,255;;
i:tube_281;pos:-363.0335,2186.002,-1053.976;rot:310.3415,102.3112,278.1169;m:tube;scl:5.25,62.29782,5.25;clr:0,0,0,255;;
i:tube_282;pos:-187.9621,794.2619,902.404;rot:352.835,165.6483,324.0528;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_283;pos:413.7397,372.6091,109.358;rot:311.9625,287.6486,240.5872;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_284;pos:326.9996,328.619,448.3722;rot:306.0847,239.9598,278.5353;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_285;pos:-367.7858,1079.286,798.4142;rot:17.07365,147.7665,322.4603;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_286;pos:-286.9568,938.8037,871.6782;rot:5.014974,156.875,324.2186;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_287;pos:-454.5259,1310.71,546.8017;rot:39.29122,124.5856,311.1853;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_288;pos:36.76162,532.0082,830.9073;rot:329.3604,185.595,317.3929;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_289;pos:246.1707,362.7962,603.0814;rot:310.713,216.8556,296.7514;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_290;pos:-424.9405,1206.137,687.6049;rot:28.67081,137.4118,318.4056;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_291;pos:147.1759,432.1685,733.5571;rot:318.9916,199.021,309.4787;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_292;pos:-77.54771,655.5115,888.4979;rot:340.8301,174.9049,321.9279;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_293;pos:384.1543,331.9659,279.9723;rot:306.5599,265.408,257.9131;m:tube;scl:5.25,26.12078,5.25;clr:0,0,0,255;;
i:tube_294;pos:-474.2268,1511.072,134.3066;rot:39.31895,246.0473,235.9323;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_295;pos:-461.4801,1578.729,19.37768;rot:30.9735,232.9813,228.3687;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_296;pos:-457.8631,1589.821,4.150561;rot:29.67811,231.318,227.5289;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_297;pos:-473.7693,1519.589,117.1246;rot:38.21803,244.0087,234.6556;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_298;pos:-472.8546,1528.507,100.1654;rot:37.08296,242.0321,233.4481;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_299;pos:-449.3168,1612.952,-25.23238;rot:27.0289,228.1169,226.0079;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_300;pos:-467.3813,1557.558,50.8166;rot:33.49562,236.4457,230.2174;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_301;pos:-453.8072,1601.232,-10.7251;rot:28.36312,229.6977,226.7426;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_302;pos:-444.3972,1624.965,-39.35481;rot:25.6782,226.5743,225.323;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_303;pos:-471.484,1537.814,83.4484;rot:35.91615,240.1146,232.3072;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_304;pos:-469.6588,1547.502,66.99254;rot:34.71967,238.2535,231.2312;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_305;pos:-464.654,1567.971,34.93896;rot:32.24626,234.6895,229.2643;m:tube;scl:5.25,2.793365,5.25;clr:0,0,0,255;;
i:tube_306;pos:94.95276,1615.576,-1805.3;rot:329.8244,186.129,132.1566;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_307;pos:-42.03801,1705.818,-1674.676;rot:313.4967,218.7103,111.4003;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_308;pos:241.9619,1470.773,-1842.622;rot:351.651,164.1275,139.6301;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_309;pos:396.9878,1237.617,-1709.44;rot:25.48937,133.6372,134.7684;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_310;pos:169.7314,1547.804,-1836.902;rot:340.406,174.3777,137.137;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_311;pos:359.5985,1310.209,-1776.642;rot:14.54569,144.5803,138.5415;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_312;pos:22.72215,1669.472,-1749.967;rot:320.5286,200.5204,123.8821;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_313;pos:-132.3037,1717.318,-1485.752;rot:311.0791,263.8198,77.23371;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_314;pos:-151.6579,1691.689,-1384.993;rot:316.3273,284.245,62.37749;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_315;pos:-94.91447,1722.137,-1584.557;rot:310.0307,240.7128,94.89155;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_316;pos:416.342,1176.906,-1625.041;rot:35.46524,120.5983,128.1086;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_317;pos:306.722,1389.734,-1822.068;rot:3.14389,154.4622,140.0721;m:tube;scl:5.25,15.97848,5.25;clr:0,0,0,255;;
i:tube_318;pos:-162.7918,1638.481,-1263.59;rot:5.821045,262.5683,244.3096;m:tube;scl:5.25,23.58423,5.25;clr:0,0,0,255;;
i:tube_319;pos:420.3531,863.0646,-978.194;rot:63.21214,198.9935,197.1563;m:tube;scl:5.25,194.1593,5.25;clr:0,0,0,255;;
i:tube_320;pos:799.1967,1374.761,-321.4918;rot:304.5068,101.2811,95.99352;m:tube;scl:5.25,14.35816,5.25;clr:0,0,0,255;;
i:tube_321;pos:322.4951,830.0171,-575.5101;rot:26.43205,218.3089,38.95105;m:tube;scl:5.25,14.35816,5.25;clr:0,0,0,255;;
i:tube_322;pos:190.5571,839.2682,-281.9798;rot:313.7957,103.2842,99.15625;m:tube;scl:5.25,14.35816,5.25;clr:0,0,0,255;;
i:tube_323;pos:791.6159,1271.307,-80.51702;rot:16.46551,229.1083,50.07043;m:tube;scl:5.25,14.35816,5.25;clr:0,0,0,255;;
i:tube_324;pos:765.5124,1369.014,-409.6136;rot:306.1278,129.4737,72.82718;m:tube;scl:5.25,15.04811,5.25;clr:0,0,0,255;;
i:tube_325;pos:356.1593,901.2313,-627.7441;rot:13.42699,207.8844,35.37112;m:tube;scl:5.25,15.04811,5.25;clr:0,0,0,255;;
i:tube_326;pos:231.8971,838.3491,-196.9898;rot:314.5168,126.7187,82.93248;m:tube;scl:5.25,15.04811,5.25;clr:0,0,0,255;;
i:tube_327;pos:748.0378,1209.349,-23.98975;rot:6.386228,216.0432,46.75797;m:tube;scl:5.25,15.04811,5.25;clr:0,0,0,255;;
i:tube_328;pos:594.4931,1229.011,-619.5257;rot:330.2102,175.5657,40.46196;m:tube;scl:5.25,16.78914,5.25;clr:0,0,0,255;;
i:tube_329;pos:527.1444,1152.05,-655.4135;rot:339.9115,184.0968,36.84416;m:tube;scl:5.25,16.78914,5.25;clr:0,0,0,255;;
i:tube_330;pos:445.6142,940.1136,-4.947556;rot:331.2405,174.4748,53.93803;m:tube;scl:5.25,16.78914,5.25;clr:0,0,0,255;;
i:tube_331;pos:530.5321,1001.152,23.51522;rot:338.9275,185.2107,49.6853;m:tube;scl:5.25,16.78914,5.25;clr:0,0,0,255;;
i:tube_332;pos:305.0753,773.5886,-506.5253;rot:39.43493,232.5092,46.73643;m:tube;scl:5.25,13.9443,5.25;clr:0,0,0,255;;
i:tube_333;pos:816.6392,1358.171,-233.93;rot:309.8943,73.33903,118.4485;m:tube;scl:5.25,13.9443,5.25;clr:0,0,0,255;;
i:tube_334;pos:169.827,858.5352,-368.2676;rot:314.0625,76.75243,116.6716;m:tube;scl:5.25,13.9443,5.25;clr:0,0,0,255;;
i:tube_335;pos:814.8425,1322.17,-152.0714;rot:22.44353,247.4976,58.00862;m:tube;scl:5.25,13.9443,5.25;clr:0,0,0,255;;
i:tube_336;pos:403.7737,982.3782,-659.6677;rot:1.3043,199.4153,34.28051;m:tube;scl:5.25,15.80739,5.25;clr:0,0,0,255;;
i:tube_337;pos:717.8813,1341.32,-492.2903;rot:312.5352,150.5472,56.4245;m:tube;scl:5.25,15.80739,5.25;clr:0,0,0,255;;
i:tube_338;pos:291.0294,855.8405,-119.0893;rot:318.4076,146.3862,69.76369;m:tube;scl:5.25,15.80739,5.25;clr:0,0,0,255;;
