i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:0,200,0;rot:0,135.0001,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_191;pos:-155.8846,200,-758.5281;rot:0,120,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_192;pos:-91.92388,300,-756.6042;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_193;pos:91.92388,300,-756.6042;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_194;pos:112.5833,300,-783.5281;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_195;pos:125.5704,300,-814.8817;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_196;pos:130,300,-848.5281;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_197;pos:125.5704,300,-882.1746;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_198;pos:112.5833,300,-913.5281;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_199;pos:91.92388,300,-940.452;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_200;pos:65,300,-961.1115;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_201;pos:33.64648,300,-974.0985;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_202;pos:0,300,-978.5281;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_203;pos:-33.64648,300,-974.0985;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_204;pos:-65,300,-961.1115;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_205;pos:-91.92388,300,-940.452;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_206;pos:-112.5833,300,-913.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_207;pos:-125.5704,300,-882.1746;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_208;pos:-130,300,-848.5281;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_209;pos:-125.5704,300,-814.8817;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_210;pos:-112.5833,300,-783.5281;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_211;pos:-91.92388,100,-756.6042;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_212;pos:91.92388,100,-756.6042;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_213;pos:112.5833,100,-783.5281;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_214;pos:125.5704,100,-814.8817;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_215;pos:130,100,-848.5281;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_216;pos:125.5704,100,-882.1746;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_217;pos:112.5833,100,-913.5281;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_218;pos:91.92388,100,-940.452;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_219;pos:65,100,-961.1115;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_220;pos:33.64648,100,-974.0985;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_221;pos:0,100,-978.5281;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_222;pos:-33.64648,100,-974.0985;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_223;pos:-65,100,-961.1115;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_224;pos:-91.92388,100,-940.452;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_225;pos:-112.5833,100,-913.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_226;pos:-125.5704,100,-882.1746;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_227;pos:-130,100,-848.5281;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_228;pos:-125.5704,100,-814.8817;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_229;pos:-112.5833,100,-783.5281;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_230;pos:-905.0967,200,56.56854;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_231;pos:-888.5281,200,69.28203;rot:0,150,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_232;pos:-869.2336,200,77.27406;rot:0,165,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_233;pos:-848.5281,200,80;rot:0,180,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_234;pos:-827.8226,200,77.27406;rot:0,195,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_235;pos:-808.5281,200,69.28203;rot:0,210,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_236;pos:-791.9596,200,56.56854;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_237;pos:-791.9596,200,-56.56854;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_238;pos:-808.5281,200,-69.28203;rot:0,330,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_239;pos:-827.8226,200,-77.27406;rot:0,345,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_240;pos:-848.5281,200,-80;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_241;pos:-869.2336,200,-77.27406;rot:0,14.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_242;pos:-888.5281,200,-69.28203;rot:0,29.99999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_243;pos:-905.0967,200,-56.56854;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_244;pos:-917.8102,200,-40;rot:0,60.00003,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_245;pos:-925.8022,200,-20.70552;rot:0,74.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_246;pos:-928.5281,200,0;rot:0,90,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_247;pos:-925.8022,200,20.70552;rot:0,105,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_248;pos:-917.8102,200,40;rot:0,120,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_249;pos:-975.8074,200,127.2792;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_250;pos:-938.5281,200,155.8846;rot:0,150,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_251;pos:-895.1155,200,173.8667;rot:0,165,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_252;pos:-848.5281,200,180;rot:0,180,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_253;pos:-801.9407,200,173.8667;rot:0,195,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_254;pos:-758.5281,200,155.8846;rot:0,210,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_255;pos:-721.2489,200,127.2792;rot:0,224.9999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_256;pos:-721.2489,200,-127.2792;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_257;pos:-758.5281,200,-155.8846;rot:0,330,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_258;pos:-801.9407,200,-173.8667;rot:0,345,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_259;pos:-848.5281,200,-180;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_260;pos:-895.1155,200,-173.8667;rot:0,14.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_261;pos:-938.5281,200,-155.8846;rot:0,29.99999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_262;pos:-975.8074,200,-127.2792;rot:0,44.99994,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_263;pos:-1004.413,200,-90;rot:0,60.00003,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_264;pos:-1022.395,200,-46.58743;rot:0,74.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_265;pos:-1028.528,200,0;rot:0,90,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_266;pos:-1022.395,200,46.58743;rot:0,105,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_267;pos:-1004.413,200,90;rot:0,120,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_268;pos:-940.452,300,91.92388;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_269;pos:-913.5281,300,112.5833;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_270;pos:-882.1746,300,125.5704;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_271;pos:-848.5281,300,130;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_272;pos:-814.8817,300,125.5704;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_273;pos:-783.5281,300,112.5833;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_274;pos:-756.6042,300,91.92388;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_275;pos:-756.6042,300,-91.92388;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_276;pos:-783.5281,300,-112.5833;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_277;pos:-814.8817,300,-125.5704;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_278;pos:-848.5281,300,-130;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_279;pos:-882.1746,300,-125.5704;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_280;pos:-913.5281,300,-112.5833;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_281;pos:-940.452,300,-91.92388;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_282;pos:-961.1115,300,-65;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_283;pos:-974.0985,300,-33.64648;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_284;pos:-978.5281,300,0;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_285;pos:-974.0985,300,33.64648;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_286;pos:-961.1115,300,65;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_287;pos:-940.452,100,91.92388;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_288;pos:-913.5281,100,112.5833;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_289;pos:-882.1746,100,125.5704;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_290;pos:-848.5281,100,130;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_291;pos:-814.8817,100,125.5704;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_292;pos:-783.5281,100,112.5833;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_293;pos:-756.6042,100,91.92388;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_294;pos:-756.6042,100,-91.92388;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_295;pos:-783.5281,100,-112.5833;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_296;pos:-814.8817,100,-125.5704;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_297;pos:-848.5281,100,-130;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_298;pos:-882.1746,100,-125.5704;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_299;pos:-913.5281,100,-112.5833;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_300;pos:-940.452,100,-91.92388;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_301;pos:-961.1115,100,-65;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_302;pos:-974.0985,100,-33.64648;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_303;pos:-978.5281,100,0;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_304;pos:-974.0985,100,33.64648;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_305;pos:-961.1115,100,65;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_306;pos:-183.8478,200,551.5433;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_307;pos:-113.1371,200,480.8326;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_308;pos:-551.5433,200,183.8478;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_309;pos:-480.8326,200,113.1371;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_310;pos:-332.3402,300,332.3402;rot:270,135,0;m:cuboid;scl:120,11,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_311;pos:-332.3402,100,332.3402;rot:270,135,0;m:cuboid;scl:120,11,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_312;pos:551.5433,200,-183.8478;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_313;pos:480.8326,200,-113.1371;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_314;pos:183.8478,200,-551.5433;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_315;pos:113.1371,200,-480.8326;rot:0,135.0001,0;m:cuboid;scl:32,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_316;pos:332.3402,300,-332.3402;rot:270,135,0;m:cuboid;scl:120,11,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_317;pos:332.3402,100,-332.3402;rot:270,135,0;m:cuboid;scl:120,11,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_318;pos:183.8478,200,551.5433;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_319;pos:113.1371,200,480.8326;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_320;pos:551.5433,200,183.8478;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_321;pos:480.8326,200,113.1371;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_322;pos:332.3402,300,332.3402;rot:0,135,90;m:cuboid;scl:1,11,120;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_323;pos:332.3402,100,332.3402;rot:0,135,90;m:cuboid;scl:1,11,120;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_324;pos:-551.5433,200,-183.8478;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_325;pos:-480.8326,200,-113.1371;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_326;pos:-183.8478,200,-551.5433;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_327;pos:-113.1371,200,-480.8326;rot:0,135.0001,0;m:cuboid;scl:1,21,32;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_328;pos:-332.3402,300,-332.3402;rot:0,135,90;m:cuboid;scl:1,11,120;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_329;pos:-332.3402,100,-332.3402;rot:0,135,90;m:cuboid;scl:1,11,120;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_330;pos:0,300,791.9596;rot:0,135.0001,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_331;pos:0,100,791.9596;rot:0,44.99994,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_332;pos:98.99495,200,692.9647;rot:0,135.0001,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_333;pos:-98.99495,200,692.9647;rot:0,44.99994,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_334;pos:791.9596,300,0;rot:0,135.0001,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_335;pos:791.9596,100,0;rot:0,44.99994,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_336;pos:692.9647,200,98.99495;rot:0,135.0001,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_337;pos:692.9647,200,-98.99495;rot:0,44.99994,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_338;pos:-791.9596,300,0;rot:0,135.0001,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_339;pos:-791.9596,100,0;rot:0,44.99994,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_340;pos:-692.9647,200,-98.99495;rot:0,135.0001,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_341;pos:-692.9647,200,98.99495;rot:0,44.99994,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_342;pos:0,300,-791.9596;rot:0,135.0001,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_343;pos:0,100,-791.9596;rot:0,44.99994,0;m:cuboid;scl:8,1,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_344;pos:-98.99495,200,-692.9647;rot:0,135.0001,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_345;pos:98.99495,200,-692.9647;rot:0,44.99994,0;m:cuboid;scl:8,21,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_346;pos:0,200,848.5281;rot:0,135.0001,0;m:cylinder;scl:16,11,16;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_347;pos:-848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:16,11,16;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_348;pos:848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:16,11,16;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_349;pos:0,200,-848.5281;rot:0,135.0001,0;m:cylinder;scl:16,11,16;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_350;pos:-130.8148,200,201.5254;rot:0,135.0001,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_351;pos:201.5254,200,-130.8148;rot:0,135.0001,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_352;pos:-201.5254,200,130.8148;rot:0,135.0001,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_353;pos:130.8148,200,-201.5254;rot:0,135.0001,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_354;pos:130.8148,200,201.5254;rot:0,44.99994,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_355;pos:-201.5254,200,-130.8148;rot:0,44.99994,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_356;pos:201.5254,200,130.8148;rot:0,44.99994,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_357;pos:-130.8148,200,-201.5254;rot:0,44.99994,0;m:cuboid;scl:1,21,22;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_358;pos:0,300,0;rot:0,135.0001,0;m:cuboid;scl:11,1,70;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_359;pos:0,100,0;rot:0,135.0001,0;m:cuboid;scl:11,1,70;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_360;pos:0,300,0;rot:0,44.99994,0;m:cuboid;scl:11,1,70;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_361;pos:0,100,0;rot:0,44.99994,0;m:cuboid;scl:11,1,70;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_362;pos:-1781.909,300,1781.909;rot:0,135.0001,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_363;pos:-1781.909,100,1781.909;rot:0,135.0001,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_364;pos:-1711.198,200,1852.62;rot:0,135.0001,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_365;pos:-1852.62,200,1711.198;rot:0,135.0001,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_366;pos:1781.909,300,-1781.909;rot:0,135.0001,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_367;pos:1781.909,100,-1781.909;rot:0,135.0001,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_368;pos:1852.62,200,-1711.198;rot:0,135.0001,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_369;pos:1711.198,200,-1852.62;rot:0,135.0001,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_370;pos:1781.909,300,1781.909;rot:0,44.99994,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
