i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cone_1;pos:-57.37149,-806.7556,-149.0134;rot:1.239974,206.4332,180;m:cone;scl:1,0.4,1;t:metal1;til:5,5;;
i:cuboid_2;pos:-2000,800,-6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_3;pos:-6000,1400,-8000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_4;pos:-8000,3000,400;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_5;pos:6000,2000,6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_6;pos:8000,-800,0;rot:0,180,337.3801;m:cuboid;scl:160,0,160;mat:transparent;clr:255,255,255,200;;
i:cuboid_7;pos:-1530.734,-800,-3695.518;rot:0,22.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_8;pos:-1530.734,-800,3695.518;rot:0,157.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_9;pos:-2828.427,-800,-2828.427;rot:0,45,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_10;pos:-2828.427,-800,2828.427;rot:0,135,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_11;pos:-3695.518,-800,-1530.734;rot:0,67.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_12;pos:-3695.518,-800,1530.734;rot:0,112.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_13;pos:-4000,-800,0;rot:0,90,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_14;pos:0,-800,-4000;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_15;pos:0,-800,4000;rot:0,180,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_16;pos:1530.734,-800,-3695.518;rot:0,337.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_17;pos:1530.734,-800,3695.518;rot:0,202.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_18;pos:2828.427,-800,-2828.427;rot:0,315,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_19;pos:2828.427,-800,2828.427;rot:0,225,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_20;pos:3695.518,-800,-1530.734;rot:0,292.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_21;pos:3695.518,-800,1530.734;rot:0,247.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_22;pos:4000,-800,0;rot:0,270,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_333;pos:31.81897,-778.7393,-92.38795;rot:12.27517,340.996,301.6877;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_334;pos:31.81897,-778.7393,92.38795;rot:12.27517,199.004,238.3123;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_335;pos:31.81897,-821.2607,-92.38795;rot:347.7248,340.996,58.3123;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_336;pos:31.81897,-821.2607,92.38795;rot:347.7248,199.004,121.6877;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_337;pos:37.53303,-792.5342,-92.38795;rot:4.281563,337.8903,280.4131;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_338;pos:37.53303,-792.5342,92.38795;rot:4.281563,202.1097,259.5869;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_339;pos:37.53303,-807.4658,-92.38795;rot:355.7184,337.8903,79.58694;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_340;pos:37.53303,-807.4658,92.38795;rot:355.7184,202.1097,100.4131;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_341;pos:7.465783,-762.467,-92.38795;rot:22.04473,355.38,347.8496;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_342;pos:7.465783,-762.467,92.38795;rot:22.04473,184.62,192.1504;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_343;pos:7.465783,-837.533,-92.38795;rot:337.9553,355.38,12.15039;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_344;pos:7.465783,-837.533,92.38795;rot:337.9553,184.62,167.8496;m:cuboid;scl:2.6791,4.31969,1;t:metal4;til:0.2679099,0.431969;clr:255,25,25,255;;
i:cuboid_345;pos:0,-800,-300;rot:0,0,11.24998;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_346;pos:0,-800,-300;rot:0,0,33.75005;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_347;pos:0,-800,-300;rot:0,0,56.25005;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_348;pos:0,-800,-300;rot:0,0,78.75001;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_349;pos:0,-800,-300;rot:0,0,348.75;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_350;pos:0,-800,-300;rot:0,0,326.2499;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_351;pos:0,-800,-300;rot:0,0,303.7499;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_352;pos:0,-800,-300;rot:0,0,281.25;m:cuboid;scl:2.782994,12.17367,1;t:metal4;til:0.2782994,1.217367;clr:255,178,178,255;;
i:cuboid_353;pos:0,-800,-400;rot:0,0,11.24998;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_354;pos:0,-800,-400;rot:0,0,33.75005;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_355;pos:0,-800,-400;rot:0,0,56.25005;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_356;pos:0,-800,-400;rot:0,0,78.75001;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_357;pos:0,-800,-400;rot:0,0,348.75;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_358;pos:0,-800,-400;rot:0,0,326.2499;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_359;pos:0,-800,-400;rot:0,0,303.7499;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_360;pos:0,-800,-400;rot:0,0,281.25;m:cuboid;scl:3.554057,16.10066,1;t:metal4;til:0.3554057,1.610066;clr:255,255,255,255;;
i:cuboid_361;pos:-13.79497,-730.648,-70.71068;rot:43.90941,11.03926,15.71156;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_362;pos:-13.79497,-730.648,70.71068;rot:43.90941,168.9607,164.2884;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_363;pos:-13.79497,-869.352,-70.71068;rot:316.0906,11.03926,344.2885;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_364;pos:-13.79497,-869.352,70.71068;rot:316.0906,168.9607,195.7116;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_365;pos:-39.28475,-741.2062,-70.71068;rot:36.01079,29.0552,43.3786;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_366;pos:-39.28475,-741.2062,70.71068;rot:36.01079,150.9448,136.6214;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_367;pos:-39.28475,-858.7938,-70.71068;rot:323.9892,29.0552,316.6214;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_368;pos:-39.28475,-858.7938,70.71068;rot:323.9892,150.9448,223.3786;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_369;pos:-58.79378,-760.7153,-70.71068;rot:23.1318,39.74254,64.71054;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_370;pos:-58.79378,-760.7153,70.71068;rot:23.1318,140.2575,115.2895;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_371;pos:-58.79378,-839.2847,-70.71068;rot:336.8682,39.74254,295.2895;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_372;pos:-58.79378,-839.2847,70.71068;rot:336.8682,140.2575,244.7105;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_373;pos:-69.35199,-786.205,-70.71068;rot:7.929193,44.44419,81.99368;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_374;pos:-69.35199,-786.205,70.71068;rot:7.929193,135.5558,98.00632;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_375;pos:-69.35199,-813.795,-70.71068;rot:352.0708,44.44419,278.0063;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_376;pos:-69.35199,-813.795,70.71068;rot:352.0708,135.5558,261.9937;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_377;pos:13.79497,-730.648,-70.71068;rot:43.90941,348.9607,344.2885;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_378;pos:13.79497,-730.648,70.71068;rot:43.90941,191.0393,195.7116;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_379;pos:13.79497,-869.352,-70.71068;rot:316.0906,348.9607,15.71156;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_380;pos:13.79497,-869.352,70.71068;rot:316.0906,191.0393,164.2884;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_381;pos:39.28475,-741.2062,-70.71068;rot:36.01079,330.9448,316.6214;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_382;pos:39.28475,-741.2062,70.71068;rot:36.01079,209.0552,223.3786;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_383;pos:39.28475,-858.7938,-70.71068;rot:323.9892,330.9448,43.3786;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_384;pos:39.28475,-858.7938,70.71068;rot:323.9892,209.0552,136.6214;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_385;pos:58.79378,-760.7153,-70.71068;rot:23.1318,320.2574,295.2895;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_386;pos:58.79378,-760.7153,70.71068;rot:23.1318,219.7425,244.7105;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_387;pos:58.79378,-839.2847,-70.71068;rot:336.8682,320.2574,64.71054;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_388;pos:58.79378,-839.2847,70.71068;rot:336.8682,219.7425,115.2895;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_389;pos:69.35199,-786.205,-70.71068;rot:7.929193,315.5558,278.0063;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_390;pos:69.35199,-786.205,70.71068;rot:7.929193,224.4442,261.9937;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_391;pos:69.35199,-813.795,-70.71068;rot:352.0708,315.5558,81.99368;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_392;pos:69.35199,-813.795,70.71068;rot:352.0708,224.4442,98.00632;m:cuboid;scl:3.769247,4.31969,1;t:metal4;til:0.3769247,0.431969;clr:255,25,25,255;;
i:cuboid_393;pos:-19.50903,-701.9214,0;rot:78.74999,90,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_394;pos:-19.50903,-898.0786,0;rot:281.25,90,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_395;pos:-55.55702,-716.853,0;rot:56.25004,90,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_396;pos:-55.55702,-883.147,0;rot:303.75,90,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_397;pos:-83.14696,-744.443,0;rot:33.75002,90,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_398;pos:-83.14696,-855.557,0;rot:326.25,90,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_399;pos:-98.07853,-780.491,0;rot:11.24998,90,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_400;pos:-98.07853,-819.509,0;rot:348.75,90,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_401;pos:19.50903,-701.9214,0;rot:78.74999,270,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_402;pos:19.50903,-898.0786,0;rot:281.25,270,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_403;pos:55.55702,-716.853,0;rot:56.25004,270,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_404;pos:55.55702,-883.147,0;rot:303.75,270,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_405;pos:83.14696,-744.443,0;rot:33.75002,270,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_406;pos:83.14696,-855.557,0;rot:326.25,270,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_407;pos:98.07853,-780.491,0;rot:11.24998,270,270;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_408;pos:98.07853,-819.509,0;rot:348.75,270,90;m:cuboid;scl:4.31969,4.31969,1;t:metal4;til:0.431969,0.431969;clr:255,25,25,255;;
i:cuboid_409;pos:-18.024,-709.3873,-38.26834;rot:64.97556,25.21983,27.46453;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_410;pos:-18.024,-709.3873,38.26834;rot:64.97559,154.7802,152.5355;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_411;pos:-18.024,-890.6127,-38.26834;rot:295.0244,25.21983,332.5355;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_412;pos:-18.024,-890.6127,38.26834;rot:295.0244,154.7802,207.4645;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_413;pos:-51.328,-723.1823,38.26834;rot:50.19053,126.7068,119.8008;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_414;pos:-51.328,-876.8177,-38.26834;rot:309.8095,53.29317,299.8008;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_415;pos:-51.328,-876.8177,38.26834;rot:309.8095,126.7068,240.1992;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_416;pos:-76.81778,-748.672,-38.26834;rot:30.88255,63.51883,75.65671;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_417;pos:-76.81778,-748.672,38.26834;rot:30.88255,116.4812,104.3433;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_418;pos:-76.81778,-851.328,-38.26834;rot:329.1175,63.51883,284.3433;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_419;pos:-76.81778,-851.328,38.26834;rot:329.1175,116.4812,255.6567;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_420;pos:-90.61275,-781.976,-38.26834;rot:10.38376,67.10428,85.64703;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_421;pos:-90.61275,-781.976,38.26834;rot:10.38376,112.8957,94.35297;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_422;pos:-90.61275,-818.024,-38.26834;rot:349.6162,67.10428,274.353;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_423;pos:-90.61275,-818.024,38.26834;rot:349.6162,112.8957,265.647;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_424;pos:18.024,-709.3873,-38.26834;rot:64.97556,334.7802,332.5355;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_425;pos:18.024,-709.3873,38.26834;rot:64.97559,205.2198,207.4645;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_426;pos:18.024,-890.6127,-38.26834;rot:295.0244,334.7802,27.46453;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_427;pos:18.024,-890.6127,38.26834;rot:295.0244,205.2198,152.5355;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_428;pos:51.328,-723.1823,-38.26834;rot:50.19053,306.7068,299.8008;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_429;pos:51.328,-723.1823,38.26834;rot:50.19053,233.2932,240.1992;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_430;pos:51.328,-876.8177,-38.26834;rot:309.8095,306.7068,60.19914;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_431;pos:51.328,-876.8177,38.26834;rot:309.8095,233.2932,119.8008;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_432;pos:76.81778,-748.672,-38.26834;rot:30.88255,296.4812,284.3433;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_433;pos:76.81778,-748.672,38.26834;rot:30.88255,243.5188,255.6567;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_434;pos:76.81778,-851.328,-38.26834;rot:329.1175,296.4812,75.65671;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_435;pos:90.61275,-781.976,-38.26834;rot:10.38376,292.8957,274.353;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_436;pos:90.61275,-781.976,38.26834;rot:10.38376,247.1043,265.647;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_437;pos:90.61275,-818.024,-38.26834;rot:349.6162,292.8957,85.64703;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_438;pos:90.61275,-818.024,38.26834;rot:349.6162,247.1043,94.35297;m:cuboid;scl:4.345346,4.31969,1;t:metal4;til:0.4345346,0.431969;clr:255,25,25,255;;
i:cuboid_439;pos:-14.93157,-875.066,-184.7759;rot:337.9553,4.619959,347.8496;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_440;pos:-14.93157,-875.066,184.7759;rot:337.9553,175.38,192.1504;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_441;pos:-42.5215,-863.6379,-184.7759;rot:341.4465,12.95959,324.1244;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_442;pos:-75.06606,-814.9316,-184.7759;rot:355.7184,22.10968,280.4131;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_443;pos:14.93157,-724.934,-184.7759;rot:22.04473,355.38,347.8496;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_444;pos:14.93157,-875.066,-184.7759;rot:337.9553,355.38,12.15039;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_445;pos:42.5215,-736.3621,-184.7759;rot:18.55349,347.0404,324.1244;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_446;pos:42.5215,-863.6379,-184.7759;rot:341.4465,347.0404,35.87565;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_447;pos:63.63793,-757.4785,-184.7759;rot:12.27517,340.996,301.6877;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_448;pos:63.63793,-842.5215,-184.7759;rot:347.7248,340.996,58.3123;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_449;pos:75.06606,-785.0684,-184.7759;rot:4.281563,337.8903,280.4131;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_450;pos:75.06606,-814.9316,-184.7759;rot:355.7184,337.8903,79.58694;m:cuboid;scl:4.894263,8.24668,1;t:metal4;til:0.4894263,0.824668;clr:255,102,102,255;;
i:cuboid_451;pos:-117.5876,-878.5695,-141.4214;rot:336.8682,39.74254,295.2895;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_452;pos:-117.5876,-878.5695,141.4214;rot:336.8682,140.2575,244.7105;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_453;pos:-138.704,-827.59,-141.4214;rot:352.0708,44.44419,278.0063;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_454;pos:-27.58994,-938.704,-141.4214;rot:316.0906,11.03926,344.2885;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_455;pos:-27.58994,-938.704,141.4214;rot:316.0906,168.9607,195.7116;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_456;pos:-78.5695,-917.5876,-141.4214;rot:323.9892,29.0552,316.6214;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_457;pos:-78.5695,-917.5876,141.4214;rot:323.9892,150.9448,223.3786;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
i:cuboid_458;pos:117.5876,-878.5695,-141.4214;rot:336.8682,320.2574,64.71054;m:cuboid;scl:7.091273,8.24668,1;t:metal4;til:0.7091272,0.824668;clr:255,102,102,255;;
