i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:tower2_1;pos:486.0919,-12.29923,245.3208;m:tower2;;
i:cuboid_3;pos:486.0919,44.70077,268.0708;m:cuboid;scl:1.53,9.4,1.53;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_4;pos:486.0919,92.80077,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_5;pos:486.0919,106.5658,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_6;pos:486.0919,119.9908,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_7;pos:480.4219,106.4008,262.3958;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_8;pos:491.7619,106.4008,262.3958;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_9;pos:480.4219,106.4008,273.7498;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_10;pos:491.7619,106.4008,273.7498;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_11;pos:486.0919,93.76077,268.0708;m:cuboid;scl:1.511,0.1,1.511;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_12;pos:486.0919,106.5208,268.0708;m:cuboid;scl:1.516,0.303,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_13;pos:486.0919,119.0408,268.0708;m:cuboid;scl:1.516,0.1,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:pyramid_14;pos:486.0919,133.2708,268.0708;m:pyramid;scl:0.37,0.272,0.37;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_15;pos:486.0919,141.2008,268.0708;m:cuboid;scl:0.0715,1.222,0.0715;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_589;pos:354.7928,88.17205,434.0202;rot:358.1117,180.9102,64.25969;m:prism;scl:0.1119986,0.003,1.750971;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_590;pos:354.5472,88.68188,434.8249;rot:1.888167,0.9101005,295.7404;m:prism;scl:0.1159527,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_591;pos:354.5561,88.66337,442.1524;rot:29.61616,164.1042,60.04707;m:prism;scl:0.1383926,0.003,0.1209064;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_592;pos:354.5573,90.19371,442.1394;rot:332.7067,162.9258,123.8154;m:prism;scl:0.1290654,0.003,0.1190553;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_593;pos:354.567,90.21065,434.802;rot:358.2702,0.9846943,240.3443;m:prism;scl:0.1098577,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_594;pos:354.8134,90.64381,434.0225;rot:1.729833,180.9847,119.6559;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_595;pos:354.5777,90.22955,426.9031;rot:331.0588,18.33992,235.5879;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_596;pos:370.1157,88.65913,426.5823;rot:31.42691,287.1222,300.5757;m:prism;scl:0.1306434,0.003,0.1237274;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_597;pos:363.011,88.17205,426.817;rot:358.1117,90.91017,64.25969;m:prism;scl:0.1119991,0.003,1.750971;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_598;pos:362.2063,88.68189,426.5713;rot:1.888104,270.9101,295.7403;m:prism;scl:0.1159537,0.003,1.813361;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_599;pos:354.8788,88.66338,426.5802;rot:29.61634,74.10421,60.04715;m:prism;scl:0.138394,0.003,0.1209072;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_600;pos:354.8918,90.19373,426.5815;rot:332.7065,72.92569,123.8154;m:prism;scl:0.1290664,0.003,0.119055;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_601;pos:362.2292,90.21065,426.5911;rot:358.2701,270.9847,240.3443;m:prism;scl:0.1098582,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_602;pos:363.0087,90.64382,426.8376;rot:1.729853,90.9847,119.6557;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_603;pos:370.1281,90.22955,426.6018;rot:331.0587,288.3398,235.5881;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_604;pos:354.8914,88.65912,442.473;rot:31.4267,107.1223,300.576;m:prism;scl:0.130642,0.003,0.1237265;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_605;pos:361.9961,88.17204,442.2383;rot:358.1118,270.9102,64.25943;m:prism;scl:0.111998,0.003,1.750972;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_606;pos:362.8008,88.68188,442.484;rot:1.887938,90.91005,295.7406;m:prism;scl:0.1159527,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_607;pos:370.1282,88.66339,442.4751;rot:29.61633,254.104,60.04681;m:prism;scl:0.1383926,0.003,0.1209064;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_608;pos:362.2285,90.19373,442.4738;rot:358.2703,269.0155,119.6553;m:prism;scl:0.1098577,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_609;pos:354.8797,90.21062,442.4642;rot:332.7065,107.0742,236.185;m:prism;scl:0.1290654,0.003,0.1190553;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_610;pos:370.116,90.21392,442.4623;rot:331.0585,251.6602,124.4117;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_611;pos:363.0094,90.66012,442.2084;rot:1.73001,89.01531,240.3445;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_612;pos:370.4489,88.65912,442.1398;rot:31.42677,197.1221,300.5757;m:prism;scl:0.130642,0.003,0.1237265;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_613;pos:370.2142,88.17204,435.0351;rot:358.1118,0.9101807,64.25964;m:prism;scl:0.111998,0.003,1.750971;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_614;pos:370.4599,88.68188,434.2304;rot:1.888127,180.9101,295.7401;m:prism;scl:0.1159537,0.003,1.813361;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_615;pos:370.4509,88.66338,426.9029;rot:29.61638,344.1043,60.04735;m:prism;scl:0.138394,0.003,0.1209072;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_616;pos:370.4497,90.19373,434.8027;rot:358.2703,359.0154,119.6556;m:prism;scl:0.1098571,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_617;pos:370.4401,90.21063,442.1515;rot:332.7065,197.0743,236.1847;m:prism;scl:0.1290649,0.003,0.1190541;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_618;pos:370.4382,90.21394,426.9151;rot:331.0588,341.6602,124.412;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_619;pos:370.1843,90.66012,434.0218;rot:1.729809,179.0154,240.3442;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_620;pos:370.1265,102.3725,426.6101;rot:36.02834,290.5129,302.4601;m:prism;scl:0.1099169,0.003,0.1302178;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_621;pos:368.2899,101.9133,426.8314;rot:353.2543,93.26708,64.08238;m:prism;scl:0.0999239,0.003,0.4342967;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_622;pos:370.4211,102.3725,442.1506;rot:36.0281,200.5127,302.46;m:prism;scl:0.1099159,0.003,0.130218;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_623;pos:370.1998,101.9133,440.3141;rot:353.2543,3.267071,64.08232;m:prism;scl:0.0999232,0.003,0.4342968;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tower2_625;pos:317.2189,-11.359,-290.6328;m:tower2;;
i:cuboid_627;pos:317.2189,45.641,-267.8828;m:cuboid;scl:1.53,9.4,1.53;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_628;pos:317.2189,93.741,-267.8828;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_629;pos:317.2189,107.506,-267.8828;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_630;pos:317.2189,120.931,-267.8828;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_631;pos:311.5489,107.341,-273.5578;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_632;pos:322.8889,107.341,-273.5578;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_633;pos:311.5489,107.341,-262.2038;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_634;pos:322.8889,107.341,-262.2038;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_635;pos:317.2189,94.701,-267.8828;m:cuboid;scl:1.511,0.1,1.511;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_636;pos:317.2189,107.461,-267.8828;m:cuboid;scl:1.516,0.303,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_637;pos:317.2189,119.981,-267.8828;m:cuboid;scl:1.516,0.1,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:pyramid_638;pos:317.2189,134.211,-267.8828;m:pyramid;scl:0.37,0.272,0.37;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_639;pos:317.2189,142.141,-267.8828;m:cuboid;scl:0.0715,1.222,0.0715;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_641;pos:310.6292,124.5021,-273.2863;rot:65.77731,269.9999,179.9999;m:prism;scl:0.4274937,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_642;pos:311.8064,127.1187,-272.1854;rot:4.471269E-05,1.526709E-05,245.7773;m:prism;scl:1.040509,0.003,0.2462379;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_643;pos:311.7301,126.9491,-268.6532;rot:-4.471269E-05,180,114.2227;m:prism;scl:1.040509,0.003,0.6292721;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_644;pos:310.6292,124.5021,-265.6448;rot:65.77731,269.9999,179.9999;m:prism;scl:1.090924,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_645;pos:313.5255,130.9398,-268.6877;rot:41.29479,203.2765,123.0986;m:prism;scl:0.4810883,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_646;pos:313.5498,130.9939,-266.9187;rot:39.00649,338.6293,238.1306;m:prism;scl:0.458882,0.003,0.2771809;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_647;pos:312.532,128.7316,-264.4365;rot:320.9935,158.6293,121.8694;m:prism;scl:0.458882,0.003,0.592406;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_648;pos:311.3792,126.1691,-263.2027;rot:41.29479,203.2765,123.0986;m:prism;scl:1.027071,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_649;pos:322.6288,124.5021,-274.4629;rot:65.77729,180.0001,180;m:prism;scl:0.4274945,0.003,0.6001648;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_650;pos:321.5279,127.1187,-273.2857;rot:-8.537737E-06,270,245.7773;m:prism;scl:1.040509,0.003,0.2462383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_651;pos:317.9957,126.9491,-273.3621;rot:8.537737E-06,90.00003,114.2227;m:prism;scl:1.040509,0.003,0.6292723;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_652;pos:314.9873,124.5021,-274.4629;rot:65.77729,180.0001,180;m:prism;scl:1.090925,0.003,0.6001648;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_653;pos:318.0302,130.9398,-271.5667;rot:41.29483,113.2765,123.0986;m:prism;scl:0.4810879,0.003,0.2643594;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_654;pos:316.2612,130.9939,-271.5423;rot:39.00645,248.6293,238.1306;m:prism;scl:0.458881,0.003,0.2771807;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_655;pos:313.779,128.7316,-272.5601;rot:320.9936,68.6293,121.8694;m:prism;scl:0.458881,0.003,0.5924063;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_656;pos:312.5452,126.1691,-273.713;rot:41.29483,113.2765,123.0986;m:prism;scl:1.027071,0.003,0.2643594;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_657;pos:311.8059,124.5021,-261.2867;rot:65.77739,-6.207314E-05,180;m:prism;scl:0.4274942,0.003,0.6001649;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_658;pos:312.9067,127.1187,-262.4639;rot:2.732076E-05,89.99999,245.7774;m:prism;scl:1.040509,0.003,0.2462381;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_659;pos:316.439,126.9491,-262.3876;rot:-2.732076E-05,270,114.2226;m:prism;scl:1.040509,0.003,0.629273;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_660;pos:319.4474,124.5021,-261.2867;rot:65.77739,-6.207314E-05,180;m:prism;scl:1.090926,0.003,0.6001649;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_661;pos:316.4044,130.9398,-264.183;rot:41.29486,293.2765,123.0985;m:prism;scl:0.481089,0.003,0.2643596;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_662;pos:318.1734,130.9939,-264.2073;rot:39.00648,68.62935,238.1307;m:prism;scl:0.4588813,0.003,0.2771813;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_663;pos:320.6557,128.7316,-263.1895;rot:320.9935,248.6293,121.8693;m:prism;scl:0.4588813,0.003,0.5924062;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_664;pos:321.8894,126.1691,-262.0367;rot:41.29486,293.2765,123.0985;m:prism;scl:1.027071,0.003,0.2643596;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_665;pos:323.8054,124.5021,-262.4634;rot:65.77733,90.00012,180.0001;m:prism;scl:0.4274937,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_666;pos:322.6282,127.1187,-263.5642;rot:-4.413481E-05,180,245.7773;m:prism;scl:1.040509,0.003,0.2462379;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_667;pos:322.7046,126.9491,-267.0965;rot:4.413481E-05,2.604543E-05,114.2227;m:prism;scl:1.040509,0.003,0.6292721;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_668;pos:323.8054,124.5021,-270.1049;rot:65.77733,90.00012,180.0001;m:prism;scl:1.090924,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_669;pos:320.9091,130.9398,-267.062;rot:41.29487,23.27661,123.0986;m:prism;scl:0.4810883,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_670;pos:320.8848,130.9939,-268.8309;rot:39.00641,158.6293,238.1306;m:prism;scl:0.458882,0.003,0.2771809;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_671;pos:321.9026,128.7316,-271.3132;rot:320.9936,338.6294,121.8694;m:prism;scl:0.458882,0.003,0.592406;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_672;pos:323.0555,126.1691,-272.5469;rot:41.29487,23.27661,123.0986;m:prism;scl:1.027071,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_674;pos:309.2999,106.6611,-273.6295;rot:8.630058,4.193569,296.042;m:prism;scl:0.0845643,0.003,0.5107852;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_675;pos:309.5377,106.1675,-266.3587;rot:358.1118,180.9102,64.25954;m:prism;scl:0.0842497,0.003,1.313228;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_676;pos:309.261,106.7419,-267.5776;rot:1.888596,0.9103411,295.7401;m:prism;scl:0.1159542,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_677;pos:309.2699,106.7233,-260.2501;rot:29.61617,164.1045,60.04755;m:prism;scl:0.1383948,0.003,0.1209069;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_678;pos:309.2711,108.2537,-260.2631;rot:332.7065,162.9258,123.8153;m:prism;scl:0.1290649,0.003,0.1190541;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_679;pos:309.2808,108.2706,-267.6005;rot:358.2702,0.9846441,240.3444;m:prism;scl:0.1098571,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_680;pos:309.2998,106.6614,-275.4978;rot:36.02826,20.513,302.4604;m:prism;scl:0.1099169,0.003,0.1302178;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_681;pos:309.521,106.2022,-273.6613;rot:353.2543,183.267,64.08209;m:prism;scl:0.0999239,0.003,0.4342967;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_682;pos:309.5273,108.7038,-268.38;rot:1.729882,180.9847,119.6557;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_683;pos:309.2915,108.2895,-275.4994;rot:331.0587,18.33985,235.5881;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_684;pos:325.1737,106.7419,-262.1235;rot:6.745991,183.2672,295.9178;m:prism;scl:0.1168688,0.003,0.5086787;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_685;pos:325.1647,106.7233,-269.6011;rot:2.487847,358.8005,64.24882;m:prism;scl:0.1160133,0.003,1.376483;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_686;pos:325.1635,108.2537,-267.5998;rot:358.2701,359.0154,119.6556;m:prism;scl:0.1098573,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_687;pos:325.1539,108.2706,-260.251;rot:332.7069,197.074,236.1849;m:prism;scl:0.1290645,0.003,0.1190556;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_688;pos:324.935,106.2465,-270.1454;rot:357.5118,178.8004,295.7512;m:prism;scl:0.1106712,0.003,1.312581;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_689;pos:325.1512,106.6953,-275.5011;rot:31.99957,342.4786,59.2145;m:prism;scl:0.128144,0.003,0.124589;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_690;pos:325.152,108.2739,-275.4874;rot:331.0587,341.6603,124.4117;m:prism;scl:0.1218263,0.003,0.1215501;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_691;pos:324.8981,108.7201,-268.3807;rot:1.72964,179.0155,240.3445;m:prism;scl:0.1058574,0.003,1.741992;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_692;pos:322.9687,106.7419,-275.8312;rot:6.745773,273.2669,295.9192;m:prism;scl:0.1168659,0.003,0.5086777;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_693;pos:315.491,106.7233,-275.8223;rot:2.487729,88.8001,64.24738;m:prism;scl:0.1160104,0.003,1.376483;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_694;pos:314.9471,106.246,-275.5925;rot:357.5165,268.8007,295.7269;m:prism;scl:0.110823,0.003,1.312497;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_695;pos:309.5917,106.6948,-275.8087;rot:32.00536,72.49097,59.24232;m:prism;scl:0.1283195,0.003,0.1247611;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_696;pos:309.6056,108.2537,-275.821;rot:332.7065,72.92591,123.8151;m:prism;scl:0.1290649,0.003,0.1190541;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_697;pos:316.943,108.2706,-275.8114;rot:358.2701,270.9847,240.3445;m:prism;scl:0.1098571,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_698;pos:317.7225,108.7038,-275.5649;rot:1.72986,90.9847,119.6557;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_699;pos:324.8419,108.2895,-275.8007;rot:331.0587,288.3398,235.5881;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_700;pos:309.6061,106.7419,-259.9185;rot:29.6164,105.8959,299.9529;m:prism;scl:0.1383948,0.003,0.1209069;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_701;pos:316.9208,106.7234,-259.9274;rot:1.888264,269.0898,64.25969;m:prism;scl:0.1159542,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_702;pos:317.7241,106.2499,-260.1555;rot:358.1118,89.08987,295.7403;m:prism;scl:0.1119991,0.003,1.750972;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_703;pos:324.8429,106.7021,-259.9377;rot:31.42684,252.8779,59.42428;m:prism;scl:0.1306434,0.003,0.1237274;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_704;pos:324.8298,108.2739,-259.9402;rot:331.0585,251.6603,124.4115;m:prism;scl:0.1218268,0.003,0.1215513;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_705;pos:317.7232,108.7201,-260.194;rot:1.729867,89.01533,240.3447;m:prism;scl:0.105858,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_706;pos:316.9423,108.2537,-259.9286;rot:358.2704,269.0155,119.6555;m:prism;scl:0.1098567,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_707;pos:309.5935,108.2706,-259.9383;rot:332.7065,107.0742,236.1849;m:prism;scl:0.129064,0.003,0.1190545;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_708;pos:309.5815,120.1957,-259.9236;rot:28.01432,106.7276,302.6136;m:prism;scl:0.1232368,0.003,0.1117346;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_709;pos:316.9197,120.1794,-259.9324;rot:1.659802,269.1018,61.57425;m:prism;scl:0.104404,0.003,1.811875;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_710;pos:317.7262,119.7638,-260.1572;rot:358.3402,89.1018,298.4252;m:prism;scl:0.1009402,0.003,1.751193;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_711;pos:324.8655,120.1623,-259.9417;rot:29.59882,252.1034,56.8235;m:prism;scl:0.1167959,0.003,0.1139986;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_712;pos:316.9223,121.6518,-259.9248;rot:358.419,269.0926,119.8591;m:prism;scl:0.1008354,0.003,1.811114;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_713;pos:309.5634,121.6673,-259.9337;rot:332.8264,107.1307,235.984;m:prism;scl:0.1183719,0.003,0.1094178;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_714;pos:324.8608,121.6688,-259.9346;rot:331.3204,251.7077,124.5596;m:prism;scl:0.1122831,0.003,0.111517;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_715;pos:317.727,122.078,-260.1694;rot:1.580746,89.09275,240.1415;m:prism;scl:0.0974732,0.003,1.750136;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_716;pos:309.276,120.1774,-275.5114;rot:29.59887,17.89688,303.1769;m:prism;scl:0.1167954,0.003,0.1139974;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
