i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:410,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_2;pos:400,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_3;pos:390,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:380,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_5;pos:370,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_6;pos:360,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_7;pos:350,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_8;pos:380,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_9;pos:370,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_10;pos:360,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:350,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_12;pos:390,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_13;pos:400,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_14;pos:410,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_15;pos:0,120,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_16;pos:0,120,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_17;pos:-3500,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_18;pos:5300,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_19;pos:0,200,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_20;pos:0,200,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_21;pos:-3500,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_22;pos:5300,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_23;pos:0,280,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_24;pos:0,280,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_25;pos:-3500,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_26;pos:5300,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_27;pos:0,360,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_28;pos:0,360,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_29;pos:-3500,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_30;pos:5300,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_31;pos:380,160,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_32;pos:380,400,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_33;pos:300,160,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_34;pos:300,240,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_35;pos:300,320,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_36;pos:300,400,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_157;pos:320,240,180;rot:0,180,0;m:cuboid;scl:4,40,60;t:metal4;til:1.5,1;clr:255,255,255,255;;
i:cuboid_158;pos:120,240,480;rot:0,180,0;m:cuboid;scl:40,40,4;t:metal4;clr:255,255,255,255;;
i:cuboid_159;pos:120,240,600;rot:0,180,0;m:cuboid;scl:40,40,4;t:metal4;clr:255,255,255,255;;
i:cuboid_160;pos:0,240,360;rot:0,180,0;m:cuboid;scl:16,40,4;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cuboid_161;pos:0,240,240;rot:0,180,0;m:cuboid;scl:16,40,4;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cuboid_162;pos:0,240,120;rot:0,180,0;m:cuboid;scl:16,40,4;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cuboid_163;pos:0,240,0;rot:0,180,0;m:cuboid;scl:16,40,4;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cuboid_164;pos:-120,240,-120;rot:0,180,0;m:cuboid;scl:40,40,4;t:metal4;clr:255,255,255,255;;
i:cuboid_165;pos:-120,240,-240;rot:0,180,0;m:cuboid;scl:40,40,4;t:metal4;clr:255,255,255,255;;
i:cuboid_166;pos:-740,240,-940;rot:0,180,0;m:cuboid;scl:4,40,80;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_167;pos:-620,240,-940;rot:0,180,0;m:cuboid;scl:4,40,80;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_168;pos:-160,240,-1400;rot:0,180,0;m:cuboid;scl:80,40,4;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_169;pos:-160,240,-1520;rot:0,180,0;m:cuboid;scl:80,40,4;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_170;pos:1000,240,-800;rot:0,180,0;m:cuboid;scl:64,40,4;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_171;pos:1000,240,-920;rot:0,180,0;m:cuboid;scl:64,40,4;t:metal4;til:2,1;clr:255,255,255,255;;
i:cuboid_172;pos:1320,240,-640;rot:0,180,0;m:cuboid;scl:4,40,32;t:metal4;til:0.8,1;clr:255,255,255,255;;
i:cuboid_173;pos:1440,240,-640;rot:0,180,0;m:cuboid;scl:4,40,32;t:metal4;til:0.8,1;clr:255,255,255,255;;
i:cuboid_174;pos:800,240,-460;rot:0,180,0;m:cuboid;scl:100,40,4;t:metal4;til:2.5,1;clr:255,255,255,255;;
i:cuboid_175;pos:860,240,-340;rot:0,180,0;m:cuboid;scl:88,40,4;t:metal4;til:2.1,1;clr:255,255,255,255;;
i:cuboid_176;pos:320,240,-400;rot:0,180,0;m:cuboid;scl:4,40,8;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cuboid_179;pos:380,120,80;rot:0,180,0;m:cuboid;scl:8,0.44,0.08;t:ice1;til:0.2,1;clr:255,255,255,255;;
i:cylinder_180;pos:340,160,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cylinder_181;pos:420,160,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cuboid_182;pos:380,188,80;rot:0,180,0;m:cuboid;scl:8,2.4,0.08;t:metal2;til:2,0.6;clr:255,255,255,255;;
i:cuboid_183;pos:380,190,80;rot:0,180,0;m:cuboid;scl:6.8,1.2,0.1;t:metal1;til:10,3;clr:255,255,255,255;;
i:cuboid_184;pos:380,190,80;rot:0,180,0;m:cuboid;scl:6.6,1,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_185;pos:380,190,80;rot:0,180,0;m:cuboid;scl:6.4,0.8,0.14;clr:0,0,0,255;;
i:cuboid_186;pos:356,190,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_187;pos:360,187.6,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_188;pos:368,190,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_189;pos:376,190,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_190;pos:372,190,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_191;pos:372,192.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_192;pos:380,190,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_193;pos:388,191.2,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:0,255,0,255;;
i:cuboid_194;pos:384,190,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_195;pos:384,192.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_196;pos:400,190,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:255,255,0,255;;
i:cuboid_197;pos:380,200,80;rot:0,180,0;m:cuboid;scl:8,0.44,0.08;t:ice1;til:0.2,1;clr:255,255,255,255;;
i:cylinder_198;pos:340,240,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cylinder_199;pos:420,240,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cuboid_200;pos:380,268,80;rot:0,180,0;m:cuboid;scl:8,2.4,0.08;t:metal2;til:2,0.6;clr:255,255,255,255;;
i:cuboid_201;pos:380,270,80;rot:0,180,0;m:cuboid;scl:6.8,1.2,0.1;t:metal1;til:10,3;clr:255,255,255,255;;
i:cuboid_202;pos:380,270,80;rot:0,180,0;m:cuboid;scl:6.6,1,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_203;pos:380,270,80;rot:0,180,0;m:cuboid;scl:6.4,0.8,0.14;clr:0,0,0,255;;
i:cuboid_204;pos:356,270,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_205;pos:360,267.6,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_206;pos:368,270,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_207;pos:376,270,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_208;pos:372,270,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_209;pos:372,272.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_210;pos:380,270,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_211;pos:388,271.2,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:0,255,0,255;;
i:cuboid_212;pos:384,270,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_213;pos:384,272.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_214;pos:400,270,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_215;pos:400,272.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_216;pos:400,267.6,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_217;pos:404,271.2,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:255,255,0,255;;
i:cuboid_218;pos:396,268.8,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:255,255,0,255;;
i:cuboid_219;pos:380,280,80;rot:0,180,0;m:cuboid;scl:8,0.44,0.08;t:ice1;til:0.2,1;clr:255,255,255,255;;
i:cylinder_220;pos:340,320,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cylinder_221;pos:420,320,80;rot:0,180,0;m:cylinder;scl:0.8,4,0.8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cuboid_222;pos:380,348,80;rot:0,180,0;m:cuboid;scl:8,2.4,0.08;t:metal2;til:2,0.6;clr:255,255,255,255;;
i:cuboid_223;pos:380,350,80;rot:0,180,0;m:cuboid;scl:6.8,1.2,0.1;t:metal1;til:10,3;clr:255,255,255,255;;
i:cuboid_224;pos:380,350,80;rot:0,180,0;m:cuboid;scl:6.6,1,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_225;pos:380,350,80;rot:0,180,0;m:cuboid;scl:6.4,0.8,0.14;clr:0,0,0,255;;
i:cuboid_226;pos:356,350,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_227;pos:360,347.6,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_228;pos:368,350,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_229;pos:376,350,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_230;pos:372,350,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_231;pos:372,352.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_232;pos:380,350,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.64,0.14;clr:0,255,0,255;;
i:cuboid_233;pos:388,351.2,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:0,255,0,255;;
i:cuboid_234;pos:384,350,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_235;pos:384,352.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:0,255,0,255;;
i:cuboid_236;pos:400,350,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_237;pos:400,352.4,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_238;pos:400,347.6,79.6;rot:0,180,0;m:cuboid;scl:0.8,0.16,0.14;clr:255,255,0,255;;
i:cuboid_239;pos:404,351.2,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:255,255,0,255;;
i:cuboid_240;pos:404,348.8,79.6;rot:0,180,0;m:cuboid;scl:0.2,0.4,0.14;clr:255,255,0,255;;
i:cuboid_241;pos:380,340,80;rot:0,180,0;m:cuboid;scl:6.72,0.72,0.1;t:metal4;til:2,0.6;clr:255,255,255,255;;
i:cuboid_242;pos:380,340,80;rot:0,180,0;m:cuboid;scl:6.6,0.6,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_243;pos:380,340,80;rot:0,180,0;m:cuboid;scl:6.4,0.4,0.14;clr:0,0,0,255;;
i:cuboid_244;pos:366,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_245;pos:367.2,341.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_246;pos:367.2,340,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_247;pos:369.2,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_248;pos:370.4,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_249;pos:372.8,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_250;pos:371.6,341.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_251;pos:374,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_252;pos:376.4,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_253;pos:375.2,341.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_254;pos:375.2,340,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_255;pos:377.6,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_256;pos:378.8,338.8,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_257;pos:383.2,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_258;pos:384.4,338.8,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_259;pos:386.8,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_260;pos:389.2,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_261;pos:388,341.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_262;pos:388,340,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_263;pos:390.4,340,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_264;pos:392.8,340.8,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.16,0.14;clr:255,127,0,255;;
i:cuboid_265;pos:391.6,341.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_266;pos:391.6,340,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cylinder_267;pos:408,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_268;pos:408,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_269;pos:404,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_270;pos:404,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_271;pos:400,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_272;pos:400,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cylinder_273;pos:352,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_274;pos:352,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_275;pos:356,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_276;pos:356,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_277;pos:360,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_278;pos:360,340,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cylinder_279;pos:408,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_280;pos:408,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_281;pos:404,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_282;pos:404,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_283;pos:400,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_284;pos:400,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cylinder_285;pos:352,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_286;pos:352,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_287;pos:356,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_288;pos:356,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_289;pos:360,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_290;pos:360,260,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cuboid_291;pos:380,260,80;rot:0,180,0;m:cuboid;scl:6.72,0.72,0.1;t:metal4;til:2,0.6;clr:255,255,255,255;;
i:cuboid_292;pos:380,260,80;rot:0,180,0;m:cuboid;scl:6.6,0.6,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_293;pos:380,260,80;rot:0,180,0;m:cuboid;scl:6.4,0.4,0.14;clr:0,0,0,255;;
i:cylinder_294;pos:408,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_295;pos:408,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_296;pos:404,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_297;pos:404,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_298;pos:400,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_299;pos:400,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cylinder_300;pos:352,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_301;pos:352,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,0,0,255;;
i:cylinder_302;pos:356,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_303;pos:356,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:255,255,0,255;;
i:cylinder_304;pos:360,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.24,0.07,0.24;;
i:cylinder_305;pos:360,180,79.6;rot:270.0198,180,0;m:cylinder;scl:0.2,0.076,0.2;clr:0,255,0,255;;
i:cuboid_306;pos:380,180,80;rot:0,180,0;m:cuboid;scl:6.72,0.72,0.1;t:metal4;til:2,0.6;clr:255,255,255,255;;
i:cuboid_307;pos:380,180,80;rot:0,180,0;m:cuboid;scl:6.6,0.6,0.12;t:ice1;til:2,0.6;clr:255,255,255,255;;
i:cuboid_308;pos:380,180,80;rot:0,180,0;m:cuboid;scl:6.4,0.4,0.14;clr:0,0,0,255;;
i:cuboid_309;pos:368,180.8,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.16,0.14;clr:255,127,0,255;;
i:cuboid_310;pos:370.4,179.2,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.16,0.14;clr:255,127,0,255;;
i:cuboid_311;pos:369.2,181.2,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_312;pos:369.2,180,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_313;pos:369.2,178.8,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_314;pos:372.8,180,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_315;pos:372.8,181.2,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_316;pos:375.2,180,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_317;pos:377.6,180,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_318;pos:376.4,181.2,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_319;pos:376.4,180,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_320;pos:378.8,180,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_321;pos:381.2,180.8,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.08,0.14;clr:255,127,0,255;;
i:cuboid_322;pos:381.2,179,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.12,0.14;clr:255,127,0,255;;
i:cuboid_323;pos:380,181.2,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_324;pos:380,180,79.6;rot:0,180,0;m:cuboid;scl:0.24,0.08,0.14;clr:255,127,0,255;;
i:cuboid_325;pos:383.6,180,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.32,0.14;clr:255,127,0,255;;
i:cuboid_326;pos:383.6,181.2,79.6;rot:0,180,0;m:cuboid;scl:0.32,0.08,0.14;clr:255,127,0,255;;
i:cuboid_327;pos:386,178.8,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.08,0.14;clr:255,127,0,255;;
i:cuboid_328;pos:386,180.8,79.6;rot:0,180,0;m:cuboid;scl:0.08,0.16,0.14;clr:255,127,0,255;;
