i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:250,0,159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_1;pos:277.637,0,156.737;rot:0,190.0013,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_2;pos:304.4342,0,149.5567;rot:0,199.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_3;pos:329.5775,0,137.8322;rot:0,209.9947,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_4;pos:352.3029,0,121.9197;rot:0,220.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_5;pos:371.9197,0,102.3028;rot:0,229.9993,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_6;pos:387.8322,0,79.5775;rot:0,240.0043,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_7;pos:399.5568,0,54.4342;rot:0,249.9994,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_8;pos:406.7371,0,27.63695;rot:0,260,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_9;pos:409.1549,0,0;rot:0,270,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_10;pos:250,0,-159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_11;pos:277.637,0,-156.737;rot:0,169.9987,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_12;pos:304.4342,0,-149.5567;rot:0,160.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_13;pos:329.5775,0,-137.8322;rot:0,150.0053,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_14;pos:352.3029,0,-121.9197;rot:0,139.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_15;pos:371.9197,0,-102.3028;rot:0,130.0007,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_16;pos:387.8322,0,-79.5775;rot:0,119.9957,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_17;pos:399.5568,0,-54.4342;rot:0,110.0006,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_18;pos:406.7371,0,-27.63695;rot:0,99.99998,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_19;pos:409.1549,0,0;rot:0,90,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_20;pos:-250,0,159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_21;pos:-277.637,0,156.737;rot:0,169.9987,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_22;pos:-304.4342,0,149.5567;rot:0,160.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_23;pos:-329.5775,0,137.8322;rot:0,150.0053,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_24;pos:-352.3029,0,121.9197;rot:0,139.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_25;pos:-371.9197,0,102.3028;rot:0,130.0007,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_26;pos:-387.8322,0,79.5775;rot:0,119.9957,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_27;pos:-399.5568,0,54.4342;rot:0,110.0006,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_28;pos:-406.7371,0,27.63695;rot:0,99.99998,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_29;pos:-409.1549,0,0;rot:0,90,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_30;pos:-250,0,-159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_31;pos:-277.637,0,-156.737;rot:0,190.0013,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_32;pos:-304.4342,0,-149.5567;rot:0,199.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_33;pos:-329.5775,0,-137.8322;rot:0,209.9947,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_34;pos:-352.3029,0,-121.9197;rot:0,220.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_35;pos:-371.9197,0,-102.3028;rot:0,229.9993,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_36;pos:-387.8322,0,-79.5775;rot:0,240.0043,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_37;pos:-399.5568,0,-54.4342;rot:0,249.9994,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_38;pos:-406.7371,0,-27.63695;rot:0,260,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_39;pos:-409.1549,0,0;rot:0,270,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_40;pos:0,0,159.155;rot:0,180,0;m:cuboid;scl:50,0.5,5;t:grass2;til:10,1;;
i:cuboid_41;pos:0,0,-159.155;rot:0,180,0;m:cuboid;scl:50,0.5,5;t:grass2;til:10,1;;
i:cuboid_594;pos:403.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.15,0.2,0.01;t:metal3;til:0.15,0.2;;
i:cuboid_595;pos:401.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.15,0.2,0.01;t:metal3;til:0.15,0.2;;
i:cuboid_596;pos:399.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.15,0.2,0.01;t:metal3;til:0.15,0.2;;
i:cuboid_597;pos:397.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.15,0.2,0.01;t:metal3;til:0.15,0.2;;
i:cuboid_598;pos:395.52,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.075,0.2,0.01;t:metal3;til:0.15,0.2;;
i:cuboid_599;pos:409.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_600;pos:411.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_601;pos:413.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_602;pos:415.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_603;pos:417.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_604;pos:419.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_605;pos:421.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_606;pos:423.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_607;pos:407.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_608;pos:405.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_609;pos:403.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_610;pos:401.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_611;pos:399.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_612;pos:397.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_613;pos:395.155,5.5,-2.5;rot:0,180,0;m:cuboid;scl:0.01,0.18,0.015;t:metal1;til:0.75,1;clr:0,0,0,255;;
i:cuboid_614;pos:409.155,5.5,7.5;rot:0,180,0;m:cuboid;scl:5,4,1;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_615;pos:409.155,5.5,-7.5;rot:0,180,0;m:cuboid;scl:5,4,1;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:plane_616;pos:0,3,102.5;rot:-0.001145927,0,180;m:plane;scl:100,1,20;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:plane_617;pos:0,3,-102.5;rot:-0.001145927,0,180;m:plane;scl:100,1,20;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_618;pos:0,27,102.5;rot:0,180,0;m:cuboid;scl:100,4,20;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_619;pos:0,27,-102.5;rot:0,180,0;m:cuboid;scl:100,4,20;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:spawnhuman_620;pos:396.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_621;pos:398.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_622;pos:400.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_623;pos:402.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_624;pos:404.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_625;pos:406.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_626;pos:408.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_627;pos:410.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_628;pos:412.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_629;pos:414.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_630;pos:416.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_631;pos:418.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_632;pos:420.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_633;pos:422.155,5,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_634;pos:250,2,184.1582;rot:0,180,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_635;pos:281.9787,2,181.3604;rot:0,190.0013,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_636;pos:312.9858,2,173.0521;rot:0,199.997,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_637;pos:342.0791,2,159.4857;rot:0,209.9947,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_638;pos:368.3746,2,141.0733;rot:0,220.003,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_639;pos:391.0733,2,118.3746;rot:0,229.9993,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_640;pos:409.4857,2,92.07912;rot:0,240.0043,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_641;pos:423.0521,2,62.98581;rot:0,249.9994,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_642;pos:431.3604,2,31.97871;rot:0,260,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_643;pos:434.1582,2,0;rot:0,270,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_644;pos:250,2,-184.1582;rot:0,180,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_645;pos:281.9787,2,-181.3604;rot:0,169.9987,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_646;pos:312.9858,2,-173.0521;rot:0,160.003,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_647;pos:342.0791,2,-159.4857;rot:0,150.0053,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_648;pos:368.3746,2,-141.0733;rot:0,139.997,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_649;pos:391.0733,2,-118.3746;rot:0,130.0007,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_650;pos:409.4857,2,-92.07912;rot:0,119.9957,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_651;pos:423.0521,2,-62.98581;rot:0,110.0006,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_652;pos:431.3604,2,-31.97871;rot:0,99.99998,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_653;pos:434.1582,2,0;rot:0,90,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_654;pos:-250,2,184.1582;rot:0,180,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_655;pos:-281.9787,2,181.3604;rot:0,169.9987,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_656;pos:-312.9858,2,173.0521;rot:0,160.003,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_657;pos:-342.0791,2,159.4857;rot:0,150.0053,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_658;pos:-368.3746,2,141.0733;rot:0,139.997,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_659;pos:-391.0733,2,118.3746;rot:0,130.0007,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_660;pos:-409.4857,2,92.07912;rot:0,119.9957,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_661;pos:-423.0521,2,62.98581;rot:0,110.0006,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_662;pos:-431.3604,2,31.97871;rot:0,99.99998,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_663;pos:-434.1582,2,0;rot:0,90,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_664;pos:-250,2,-184.1582;rot:0,180,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_665;pos:-281.9787,2,-181.3604;rot:0,190.0013,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_666;pos:-312.9858,2,-173.0521;rot:0,199.997,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_667;pos:-342.0791,2,-159.4857;rot:0,209.9947,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_668;pos:-368.3746,2,-141.0733;rot:0,220.003,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_669;pos:-391.0733,2,-118.3746;rot:0,229.9993,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_670;pos:-409.4857,2,-92.07912;rot:0,240.0043,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_671;pos:-423.0521,2,-62.98581;rot:0,249.9994,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_672;pos:-431.3604,2,-31.97871;rot:0,260,0;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_673;pos:0,0,0;rot:-0.0009901766,359.1402,359.868;m:cuboid;scl:3.2577,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_674;pos:0,2,-184.1582;rot:0,180,0;m:cuboid;scl:50,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_675;pos:0,2,184.1582;rot:0,180,0;m:cuboid;scl:50,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_676;pos:250,2,134.1517;rot:0,180,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_677;pos:273.2952,2,132.1137;rot:0,190.0013,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_678;pos:295.8826,2,126.0614;rot:0,199.997,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_679;pos:317.0759,2,116.1788;rot:0,209.9947,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_680;pos:336.2311,2,102.7662;rot:0,220.003,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_681;pos:352.7661,2,86.23107;rot:0,229.9993,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_682;pos:366.1788,2,67.07587;rot:0,240.0043,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_683;pos:376.0614,2,45.88259;rot:0,249.9994,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_684;pos:382.1136,2,23.29519;rot:0,260,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_685;pos:384.1517,2,0;rot:0,270,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_686;pos:250,2,-134.1517;rot:0,180,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_687;pos:273.2952,2,-132.1137;rot:0,169.9987,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_688;pos:295.8826,2,-126.0614;rot:0,160.003,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_689;pos:317.0759,2,-116.1788;rot:0,150.0053,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_690;pos:336.2311,2,-102.7662;rot:0,139.997,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_691;pos:352.7661,2,-86.23107;rot:0,130.0007,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_692;pos:366.1788,2,-67.07587;rot:0,119.9957,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_693;pos:376.0614,2,-45.88259;rot:0,110.0006,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_694;pos:382.1136,2,-23.29519;rot:0,99.99998,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_695;pos:384.1517,2,0;rot:0,90,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_696;pos:-250,2,134.1517;rot:0,180,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_697;pos:-273.2952,2,132.1137;rot:0,169.9987,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_698;pos:-295.8826,2,126.0614;rot:0,160.003,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_699;pos:-317.0759,2,116.1788;rot:0,150.0053,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_700;pos:-336.2311,2,102.7662;rot:0,139.997,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_701;pos:-352.7661,2,86.23107;rot:0,130.0007,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_702;pos:-366.1788,2,67.07587;rot:0,119.9957,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_703;pos:-376.0614,2,45.88259;rot:0,110.0006,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_704;pos:-382.1136,2,23.29519;rot:0,99.99998,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_705;pos:-384.1517,2,0;rot:0,90,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_706;pos:-250,2,-134.1517;rot:0,180,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_707;pos:-273.2952,2,-132.1137;rot:0,190.0013,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_708;pos:-295.8826,2,-126.0614;rot:0,199.997,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_709;pos:-317.0759,2,-116.1788;rot:0,209.9947,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_710;pos:-336.2311,2,-102.7662;rot:0,220.003,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_711;pos:-352.7661,2,-86.23107;rot:0,229.9993,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_712;pos:-366.1788,2,-67.07587;rot:0,240.0043,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_713;pos:-376.0614,2,-45.88259;rot:0,249.9994,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_714;pos:-382.1136,2,-23.29519;rot:0,260,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_715;pos:-384.1517,2,0;rot:0,270,0;m:cuboid;scl:2.3851,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_716;pos:0,2,134.1517;rot:0,180,0;m:cuboid;scl:50,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_717;pos:0,2,-134.1517;rot:0,180,0;m:cuboid;scl:50,4,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_718;pos:20,0,-159.155;rot:0,180,0;m:cuboid;scl:4,4,5;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_719;pos:0,0,-159.155;rot:0,180,0;m:cuboid;scl:0.04,0.501,5;;
i:cuboid_720;pos:-50,0,-159.155;rot:0,180,0;m:cuboid;scl:0.04,0.501,5;;
i:cuboid_721;pos:-100,0,-159.155;rot:0,180,0;m:cuboid;scl:0.04,0.501,5;;
i:cuboid_722;pos:-150,0,-159.155;rot:0,180,0;m:cuboid;scl:0.04,0.501,5;;
i:cuboid_723;pos:-200,0,-159.155;rot:0,180,0;m:cuboid;scl:0.04,0.501,5;;
i:cuboid_724;pos:-352.3029,0,-121.9197;rot:0,220.003,0;m:cuboid;scl:0.04,0.501,5;;
