i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_85;pos:0,-30,0;rot:0,180,0;m:cuboid;scl:900,3,900;mat:transparent;;
i:cuboid_288;pos:-1000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_289;pos:0,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_290;pos:1000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_291;pos:2000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_292;pos:3000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_293;pos:4000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_294;pos:-4000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_295;pos:-3000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_296;pos:-2000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_297;pos:-1000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_298;pos:0,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_299;pos:1000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_300;pos:2000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_301;pos:3000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_302;pos:4000,0,-2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_303;pos:-4000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_304;pos:-3000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_305;pos:-2000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_306;pos:-1000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_307;pos:0,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_308;pos:1000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_309;pos:2000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_310;pos:3000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_311;pos:4000,0,-1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_312;pos:-4000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_313;pos:-3000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_314;pos:-2000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_315;pos:-1000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_316;pos:0,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_317;pos:1000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_318;pos:2000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_319;pos:3000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_320;pos:4000,0,0;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_321;pos:-4000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_322;pos:-3000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_323;pos:-2000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_324;pos:-1000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_325;pos:0,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_326;pos:1000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_327;pos:2000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_328;pos:3000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_329;pos:4000,0,1000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_330;pos:-4000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_331;pos:-3000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_332;pos:-2000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_333;pos:-1000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_334;pos:0,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_335;pos:1000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_336;pos:2000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_337;pos:3000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_338;pos:4000,0,2000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_339;pos:-4000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_340;pos:-3000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_341;pos:-2000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_342;pos:-1000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_343;pos:0,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_344;pos:1000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_345;pos:2000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_346;pos:3000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_347;pos:4000,0,3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_348;pos:-4000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_349;pos:-3000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_350;pos:-2000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_351;pos:-1000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_352;pos:0,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_353;pos:1000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_354;pos:2000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_355;pos:3000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_356;pos:4000,0,4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_357;pos:0,50,-2650;rot:0,180,0;m:cuboid;scl:11,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_358;pos:300,50,-2750;rot:0,180,0;m:cuboid;scl:50,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_359;pos:300,50,-2650;rot:0,180,0;m:cuboid;scl:50,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_360;pos:0,14,-3600;rot:0,180,0;m:cuboid;scl:10.1,1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_361;pos:-50,14,-3500;rot:0,180,0;m:cuboid;scl:10.1,1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_362;pos:0,14,-3400;rot:0,180,0;m:cuboid;scl:10.1,1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_363;pos:50,14,-3300;rot:0,180,0;m:cuboid;scl:10.1,1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_364;pos:0,14,-3200;rot:0,180,0;m:cuboid;scl:10.1,1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_365;pos:0,50,-3155;rot:0,180,0;m:cuboid;scl:1.1,7.6,1.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_366;pos:25,50,-3075;rot:0,180,0;m:cylinder;scl:7,3.75,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_367;pos:-25,50,-3000;rot:0,180,0;m:cylinder;scl:7,3.75,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_368;pos:25,50,-2925;rot:0,180,0;m:cylinder;scl:7,3.75,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_369;pos:-25,50,-2850;rot:0,180,0;m:cylinder;scl:7,3.75,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_370;pos:25,50,-2775;rot:0,180,0;m:cylinder;scl:7,3.75,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_371;pos:0,50,-3500;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_372;pos:-100,50,-3500;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_373;pos:-50,50,-3600;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_374;pos:50,50,-3600;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_375;pos:-50,50,-3700;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_376;pos:50,50,-3700;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_377;pos:-50,50,-3400;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_378;pos:50,50,-3400;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_379;pos:0,50,-3300;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_380;pos:100,50,-3300;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_381;pos:-50,50,-3200;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_382;pos:50,50,-3200;rot:0,180,0;m:cuboid;scl:1,7.5,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_383;pos:25,50,-3550;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_384;pos:-75,50,-3550;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_385;pos:25,50,-3450;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_386;pos:-75,50,-3450;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_387;pos:75,50,-3350;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_388;pos:-25,50,-3350;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_389;pos:75,50,-3250;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_390;pos:-25,50,-3250;rot:0,180,0;m:cuboid;scl:6,7.5,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_391;pos:-50,50,-2900;rot:0,180,0;m:cuboid;scl:1,7.5,50;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_392;pos:50,50,-2950;rot:0,180,0;m:cuboid;scl:1,7.5,40;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_393;pos:1003,50,1450;rot:0,90,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_394;pos:1036.824,50,1492.404;rot:0,190,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_395;pos:1121.01,50,1469.846;rot:0,200,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_396;pos:1200,50,1433.013;rot:0,210,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_397;pos:1271.394,50,1383.022;rot:0,220,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_398;pos:1333.022,50,1321.394;rot:0,230,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_399;pos:1383.013,50,1250;rot:0,240,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_400;pos:1419.846,50,1171.01;rot:0,250,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_401;pos:1442.404,50,1086.824;rot:0,260,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_402;pos:1450,50,1000;rot:0,270,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_403;pos:1442.404,50,913.1759;rot:0,280,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_404;pos:1419.846,50,828.9899;rot:0,290,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_405;pos:1383.013,50,750;rot:0,300,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_406;pos:1333.022,50,678.6062;rot:0,310,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_407;pos:1271.394,50,616.9778;rot:0,320,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_408;pos:1200,50,566.9873;rot:0,330,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_409;pos:1121.01,50,530.1537;rot:0,340,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_410;pos:1036.824,50,507.5961;rot:0,350,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_411;pos:899,50,550;rot:0,90,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_412;pos:863.1759,50,507.5961;rot:0,10,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_413;pos:778.9899,50,530.1537;rot:0,20,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_414;pos:700,50,566.9873;rot:0,30,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_415;pos:628.6062,50,616.9778;rot:0,40,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_416;pos:566.9778,50,678.6062;rot:0,50,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_417;pos:516.9873,50,750;rot:0,60,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_418;pos:480.1537,50,828.9899;rot:0,70,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_419;pos:457.5961,50,913.1759;rot:0,80,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_420;pos:450,50,1000;rot:0,90,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_421;pos:457.5961,50,1086.824;rot:0,99.99999,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_422;pos:480.1537,50,1171.01;rot:0,110,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_423;pos:516.9873,50,1250;rot:0,120,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_424;pos:566.9778,50,1321.394;rot:0,130,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_425;pos:628.6062,50,1383.022;rot:0,140,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_426;pos:700,50,1433.013;rot:0,150,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_427;pos:778.9899,50,1469.846;rot:0,160,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_428;pos:863.1759,50,1492.404;rot:0,170,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_429;pos:950,50,1400;rot:0,180,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_430;pos:1019.459,50,1393.923;rot:0,190,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_431;pos:1086.808,50,1375.877;rot:0,200,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_432;pos:1150,50,1346.41;rot:0,210,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_433;pos:1207.115,50,1306.418;rot:0,220,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_434;pos:1256.418,50,1257.115;rot:0,230,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_435;pos:1296.41,50,1200;rot:0,240,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_436;pos:1325.877,50,1136.808;rot:0,250,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_437;pos:1343.923,50,1069.459;rot:0,260,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_438;pos:1400,50,1045;rot:0,180,0;m:cuboid;scl:9.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_439;pos:1343.923,50,930.5407;rot:0,280,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_440;pos:1325.877,50,863.192;rot:0,290,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_441;pos:1296.41,50,800;rot:0,300,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_442;pos:1256.418,50,742.8849;rot:0,310,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_443;pos:1207.115,50,693.5822;rot:0,320,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_444;pos:1150,50,653.5898;rot:0,330,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_445;pos:1086.808,50,624.1229;rot:0,340,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_446;pos:1019.459,50,606.0769;rot:0,350,0;m:cuboid;scl:7.3,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_447;pos:938,50,600;m:cuboid;scl:10.1,7.55,2.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
