i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,-24.29533,0;m:cuboid;scl:1100,5,1100;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_2;pos:0,-24.66419,0;m:cuboid;scl:1100,5,1100;t:earth2;til:600,600;clr:66,165,243,255;;
i:cuboid_1291;pos:-4.413541,45.64141,-1.887328;rot:0,270.1851,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1292;pos:-4.43496,45.64142,-4.748538;rot:0,270.265,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1293;pos:-11.02273,45.59665,2.757222;rot:0,269.8946,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1294;pos:-11.01549,45.59665,-0.2098719;rot:0,270.6946,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1295;pos:-11.01128,45.58641,-1.898599;rot:0,270.0143,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1296;pos:-11.03651,45.5864,-4.746831;rot:0,270.2943,0;m:cuboid;scl:0.05,0.02,0.3;t:wood3;til:0.05,0.25;clr:57,57,57,255;;
i:cuboid_1297;pos:3.921045,44.92179,-14.76017;rot:0,270.1421,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1298;pos:3.935691,45.00795,-16.39768;rot:0,269.0914,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1299;pos:3.805334,44.89787,-19.48333;rot:0,269.8913,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1300;pos:3.849578,44.89787,-21.09555;rot:0,269.8913,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1301;pos:-0.4753872,44.90984,-19.35188;rot:0,1.191061,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1302;pos:-0.549394,44.9064,-21.18979;rot:0,1.391061,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1303;pos:-2.399526,44.90475,-19.38737;rot:0,359.7407,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1304;pos:-2.384166,44.90475,-21.08137;rot:0,359.4207,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1305;pos:-6.839628,44.90476,-19.24809;rot:0,359.7407,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1306;pos:-6.822827,44.94476,-21.14208;rot:0,359.9406,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1307;pos:-8.537524,44.93994,-21.13433;rot:0,90.39046,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1308;pos:-8.534391,44.89994,-19.23399;rot:0,90.39046,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1309;pos:-12.92847,44.96212,-20.98054;rot:0,90.39046,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1310;pos:-12.91627,44.96212,-19.2632;rot:0,90.39046,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1311;pos:-0.6871563,44.89274,-16.44219;rot:0,180.6391,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1312;pos:-0.6718509,44.94391,-14.81995;rot:0,180.9391,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1313;pos:-2.391052,44.88544,-16.38267;rot:0,90.3891,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1314;pos:-2.395523,44.92545,-14.7304;rot:0,90.3891,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1315;pos:-6.783615,44.89211,-16.38098;rot:0,179.7887,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1316;pos:-6.792502,44.89211,-14.75689;rot:0,179.5887,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1317;pos:-8.533866,44.94016,-16.55333;rot:0,89.63858,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1318;pos:-8.574022,44.94017,-14.82732;rot:0,89.63858,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1319;pos:-13.00352,44.90682,-16.41906;rot:0,179.5384,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1320;pos:-13.04917,44.9068,-14.78775;rot:0,179.5384,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1321;pos:-13.12347,44.94734,-4.324019;rot:0,90.23713,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1322;pos:-13.17477,44.90736,-2.521274;rot:0,90.03712,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1323;pos:-8.66744,44.9306,0.5649613;rot:0,90.23718,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1324;pos:-8.714026,44.93061,2.14563;rot:0,90.43718,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1325;pos:-6.569908,44.92201,-4.205894;rot:0,90.53714,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1326;pos:-6.599168,44.92202,-2.633036;rot:0,89.93716,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1327;pos:-2.181772,44.94324,0.4601162;rot:0,89.38725,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1328;pos:-2.161176,44.94324,2.039214;rot:0,89.98722,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1329;pos:-0.547468,44.90122,-4.220742;rot:0,90.18721,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1330;pos:-0.5728779,44.90123,-2.590611;rot:0,88.82722,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1331;pos:4.026668,44.969,0.479439;rot:0,91.23714,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1332;pos:4.013822,44.92899,2.082749;rot:0,90.83714,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1333;pos:3.902853,44.92902,-2.507507;rot:0,0.8869799,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1334;pos:3.923306,44.92902,-4.189453;rot:0,0.8869799,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1335;pos:-2.289339,44.92901,-2.539615;rot:0,359.6367,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1336;pos:-2.277791,44.969,-4.220253;rot:0,0.4367259,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1337;pos:-8.867243,44.88901,-2.588623;rot:0,359.6367,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1338;pos:-8.840447,44.89795,-4.196318;rot:0,0.1367231,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1339;pos:-13.21886,44.93368,2.184322;rot:0,0.3861457,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1340;pos:-13.26107,44.96547,0.538297;rot:0,0.3858993,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1341;pos:-6.568821,44.96547,2.244539;rot:0,0.1858997,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1342;pos:-6.591705,45.00548,0.6028983;rot:0,0.5858994,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1343;pos:-0.4106839,44.96546,1.962454;rot:0,1.3859,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1344;pos:-0.4180561,44.96547,0.4250529;rot:0,0.1858993,0;m:cuboid;scl:0.1,0.04,0.1;t:wood3;til:0.095,0.085;clr:57,57,57,255;;
i:cuboid_1345;pos:2.913639,45.12476,-14.11537;rot:0,180.2325,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1346;pos:0.3786767,45.14348,-14.11127;rot:0,180.7322,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1347;pos:0.3613998,45.14691,-17.04153;rot:0,179.3822,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1348;pos:2.911371,45.14691,-17.05514;rot:0,179.3822,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1349;pos:-3.35969,45.14692,-17.1016;rot:0,179.3822,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1350;pos:-3.352323,45.18691,-14.07556;rot:0,179.3822,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1351;pos:-5.852671,45.1869,-14.07257;rot:0,180.1822,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1352;pos:-5.841442,45.14692,-16.98456;rot:0,178.3821,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1353;pos:-9.49235,45.24128,-14.11601;rot:0,179.6821,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1354;pos:-12.01288,45.24128,-14.10693;rot:0,180.4821,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1355;pos:-12.00506,45.24128,-16.97416;rot:0,179.832,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1356;pos:-9.485785,45.24129,-16.91401;rot:0,178.632,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1357;pos:-12.01148,45.20795,-21.65795;rot:0,359.6315,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1358;pos:-9.49153,45.24795,-21.64174;rot:0,359.6315,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1359;pos:-9.52043,45.24794,-18.72427;rot:0,1.031508,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1360;pos:-11.91551,45.20795,-18.62854;rot:0,359.6315,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1361;pos:-3.314285,45.12794,-21.60201;rot:0,0.6315077,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1362;pos:-5.813481,45.13812,-21.60866;rot:0,359.2315,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1363;pos:-3.33017,45.17812,-18.73404;rot:0,357.6314,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1364;pos:-5.813446,45.20795,-18.70618;rot:0,359.8314,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1365;pos:2.871678,45.16794,-21.68132;rot:0,0.9913557,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1366;pos:0.3473537,45.16794,-21.67733;rot:0,0.2313549,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1367;pos:0.3518015,45.16795,-18.7239;rot:0,0.4313549,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1368;pos:2.902811,45.16794,-18.75276;rot:0,359.2314,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1369;pos:2.878074,45.16374,-4.792818;rot:0,0.330652,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1370;pos:0.3769114,45.22417,-4.75562;rot:0,359.13,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1371;pos:2.93443,45.22416,-1.938612;rot:0,2.729981,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1372;pos:0.4937014,45.18416,-1.909;rot:0,359.13,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1373;pos:-3.185403,45.15217,-4.767427;rot:0,0.1299476,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1374;pos:-5.705392,45.19216,-4.761709;rot:0,0.1299476,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1375;pos:-3.13893,45.23216,-1.913616;rot:0,0.1299476,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1376;pos:-5.630497,45.19296,-1.909891;rot:0,358.9299,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1377;pos:-9.787906,45.07297,-4.755048;rot:0,359.33,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1378;pos:-9.770181,45.19298,-1.82824;rot:0,1.129947,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1379;pos:-12.26225,45.15296,-4.751276;rot:0,359.6899,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1380;pos:-12.27905,45.19297,-1.86865;rot:0,1.129947,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1381;pos:-12.30363,45.12223,-0.2188434;rot:0,91.5293,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1382;pos:-9.775294,45.16974,2.773639;rot:0,179.6292,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1383;pos:-12.29842,45.12973,2.770638;rot:0,180.6292,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1384;pos:-9.811199,45.16972,-0.2285043;rot:0,180.6292,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1385;pos:-5.625851,45.20974,2.746897;rot:0,180.6292,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1386;pos:-3.145727,45.20972,2.744427;rot:0,180.6292,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1387;pos:-5.58454,45.15681,-0.1784557;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1388;pos:-3.184593,45.19681,-0.1943372;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1389;pos:0.5086671,45.1968,2.744459;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1390;pos:0.4887292,45.23683,-0.2684473;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1391;pos:3.011239,45.15681,2.7528;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:cuboid_1392;pos:2.951463,45.19682,-0.2349423;rot:0,180.3792,0;m:cuboid;scl:0.05,0.1,0.05;t:wood3;til:0.05,0.085;clr:57,57,57,255;;
i:sphere_1393;pos:-4113.957,58.77601,-3522.676;rot:0,43.96812,0;m:sphere;scl:0.1,0.125,0.1;t:rock1;til:10,10;clr:255,182,0,255;;
i:cuboid_1394;pos:-17.29935,52.48668,-10.22543;rot:0,271.3008,0;m:cuboid;scl:4.5,1,0.075;t:brick2;til:0.006,0.006;clr:101,107,107,255;;
i:arc180_1395;pos:-9.781852,58.53096,15.11605;rot:0,88.13411,0;m:arc180;scl:1,0.5,1;t:rock2;til:0.7,3;clr:113,115,95,255;;
i:arc180_1396;pos:-9.678883,43.6775,15.20355;rot:0,88.03341,0;m:arc180;scl:1,0.5,1;t:rock2;til:0.7,3;clr:113,115,95,255;;
i:cylinder_1397;pos:8.803059,44.39496,-25.29174;rot:0,299.1189,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1398;pos:4.18677,44.40394,-29.61749;rot:0,333.3786,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1399;pos:6.25231,44.38401,-27.12945;rot:0,316.1292,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1400;pos:6.375294,58.81898,-27.57768;rot:0,316.3974,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1401;pos:9.005162,58.8307,-25.70334;rot:0,297.9061,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1402;pos:4.026459,58.82269,-30.05201;rot:0,337.2756,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1403;pos:-25.08176,44.41708,-27.34813;rot:0,43.55415,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1404;pos:-23.35884,44.42536,-29.51865;rot:0,28.97414,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1405;pos:-27.38506,44.41837,-25.61933;rot:0,58.43414,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1406;pos:-25.02508,58.83572,-26.63857;rot:0,45.52369,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1407;pos:-23.43663,58.83805,-29.42402;rot:0,28.0625,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1408;pos:-27.5073,58.82264,-25.45842;rot:0,61.07253,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1409;pos:-24.52922,58.82145,6.000511;rot:0,136.5906,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1410;pos:-27.49417,58.83214,4.041212;rot:0,116.1705,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1411;pos:-22.29656,58.86439,8.936557;rot:0,157.1702,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1412;pos:-25.02746,44.48087,5.846692;rot:0,134.669,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1413;pos:-27.62051,44.4854,4.265008;rot:0,117.709,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1414;pos:-22.61929,44.47372,9.018211;rot:0,155.6688,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1415;pos:5.564221,58.93036,6.900612;rot:0,220.4173,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1416;pos:3.409932,58.91577,9.51239;rot:0,201.8873,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1417;pos:8.385236,58.91601,5.191327;rot:0,239.917,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1418;pos:5.296812,44.49709,7.043955;rot:0,220.7761,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1419;pos:3.435963,44.46894,9.615693;rot:0,203.826,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cylinder_1420;pos:8.22226,44.47236,5.409991;rot:0,236.9659,0;m:cylinder;scl:1,0.1,0.35;t:earth2;til:1.8,0.8;clr:34,23,0,255;;
i:cuboid_1421;pos:5.154029,45.02374,-25.68564;rot:0,135.9419,0;m:cuboid;scl:2,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1422;pos:-23.98895,45.00187,-25.66219;rot:0,223.8604,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1423;pos:5.054286,59.38015,-26.08637;rot:0,316.196,0;m:cuboid;scl:2,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1424;pos:-23.76965,44.96063,4.881772;rot:0,136.6242,0;m:cuboid;scl:2,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1425;pos:-23.49743,59.35233,4.885475;rot:0,136.9025,0;m:cuboid;scl:2,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1426;pos:4.240506,45.20227,5.894849;rot:0,220.6513,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1427;pos:4.433485,59.3653,5.68505;rot:0,40.35108,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1428;pos:-23.51943,59.36829,-26.01521;rot:0,223.4,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1429;pos:-31.02,44.93954,-10.30499;rot:0,268.5068,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1430;pos:-30.86276,59.37476,-11.11884;rot:0,268.4949,0;m:cuboid;scl:1.75,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1431;pos:-9.607003,44.96964,-32.28928;rot:0,180.9218,0;m:cuboid;scl:1.5,0.15,0.1;t:stone1;til:1.5,0.2;;
i:cuboid_1432;pos:-9.459791,59.35678,-32.2623;rot:0,180.8508,0;m:cuboid;scl:1.5,0.15,0.1;t:stone1;til:1.5,0.2;;
i:field2_1433;pos:1.686732,45.36954,-31.37401;rot:0,317.9982,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1434;pos:3.186539,45.41593,-30.71405;rot:0,322.9978,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1435;pos:4.712741,45.36745,-30.21258;rot:0,304.4966,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1436;pos:6.216103,45.41975,-29.22588;rot:0,309.7464,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1437;pos:7.861064,45.4143,-27.94473;rot:0,53.99619,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1438;pos:9.171906,45.41368,-26.28702;rot:0,49.99619,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1439;pos:10.10682,45.37367,-24.45805;rot:0,49.99619,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1440;pos:10.58451,45.33371,-22.54281;rot:0,49.99619,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1441;pos:9.063268,45.43919,-24.05848;rot:0,228.7444,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1442;pos:7.940478,45.39919,-25.20299;rot:0,228.7444,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1443;pos:6.608388,45.38435,-26.72134;rot:0,232.9926,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1444;pos:5.110307,45.42819,-27.89485;rot:0,228.4926,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1445;pos:3.512487,45.30818,-29.09519;rot:0,228.4926,0;m:field2;scl:0.05,0.025,0.05;;
i:field2_1446;pos:7.70495,59.83196,-28.58667;rot:0,313.4887,0;m:field2;scl:0.05,0.025,0.05;;
