i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower1_0;pos:-17.7284,2808.497,-9.293605;rot:0,74.44827,0;m:tower1;scl:1,50,1;;
i:cuboid_1;pos:1288.475,6637.442,-419.4819;rot:0,83.42139,0;m:cuboid;scl:2500,10,2500;t:stone2;til:1500,1500;;
i:cuboid_198;pos:376.6641,6812.954,716.0696;rot:0,296.9474,0;m:cuboid;scl:1,6.7,21;t:stone2;til:2,2;;
i:cuboid_199;pos:478.0703,6811.074,765.5948;rot:0,297.5595,0;m:cuboid;scl:1,6.7,14;t:stone2;til:2,2;;
i:cuboid_200;pos:444.26,6811.246,865.7982;rot:0,204.9899,0;m:cuboid;scl:1,6.7,21;t:stone2;til:2,2;;
i:cuboid_201;pos:316.3099,6813.189,830.2065;rot:0,205.0103,0;m:cuboid;scl:1,6.7,15;t:stone2;til:2,2;;
i:cuboid_202;pos:252.641,6811.491,234.6912;rot:0,287.8541,0;m:cuboid;scl:1,6.7,1;t:stone2;til:2,2;;
i:cuboid_203;pos:262.7437,6812.716,273.8492;rot:0,287.9331,0;m:cuboid;scl:1,6.7,1;t:stone2;til:2,2;;
i:cuboid_204;pos:387.294,6812.736,258.9852;rot:0,319.7873,0;m:cuboid;scl:3,6.7,3;t:stone2;til:2,2;;
i:cuboid_205;pos:459.0331,6812.247,290.1595;rot:0,322.9773,0;m:cuboid;scl:3,6.7,3;t:stone2;til:2,2;;
i:cuboid_206;pos:496.0824,6812.345,381.2551;rot:0,20.64711,0;m:cuboid;scl:3,6.7,3;t:stone2;til:2,2;;
i:cuboid_207;pos:549.8926,6812.51,528.6124;rot:0,294.327,0;m:cuboid;scl:3,6.7,3;t:stone2;til:2,2;;
i:cuboid_208;pos:560.4146,6812.858,426.5468;rot:0,15.87706,0;m:cuboid;scl:2,6.7,2;t:stone2;til:2,2;;
i:cuboid_209;pos:522.3395,6813.018,629.6412;rot:0,64.45424,0;m:cuboid;scl:2,6.7,5;t:stone2;til:2,2;;
i:cuboid_210;pos:556.6771,6795.561,646.5333;rot:0,64.37425,0;m:cuboid;scl:2,4,5;t:stone2;til:2,2;;
i:cuboid_211;pos:420.0939,6826.389,719.3568;rot:0,22.61701,0;m:cuboid;scl:2,4,5;t:stone2;til:2,2;;
i:cuboid_212;pos:442.7228,6813.053,769.6238;rot:0,25.23138,0;m:cuboid;scl:2,6.7,7;t:stone2;til:2,2;;
i:cuboid_213;pos:363.1095,6811.426,809.5135;rot:0,115.5134,0;m:cuboid;scl:2,6.7,2;t:stone2;til:2,2;;
i:cuboid_214;pos:389.7584,6811.5,863.5444;rot:0,206.7934,0;m:cuboid;scl:2,6.7,2;t:stone2;til:2,2;;
i:cuboid_215;pos:353.6338,6814.265,953.5666;rot:0,29.33919,0;m:cuboid;scl:2,6.7,2;t:stone2;til:2,2;;
i:cuboid_216;pos:307.2556,6813.61,979.9145;rot:0,120.9392,0;m:cuboid;scl:2,6.7,2;t:stone2;til:2,2;;
i:cuboid_217;pos:118.743,6847.9,304.075;rot:0,285.2115,0;m:cuboid;scl:30,2,67;t:stone2;til:7,7;;
i:cuboid_218;pos:466.6232,6848.455,477.9332;rot:0,21.29216,0;m:cuboid;scl:30,2,67;t:stone2;til:7,7;;
i:cuboid_219;pos:353.8698,6848.951,872.792;rot:0,115.7804,0;m:cuboid;scl:30,2,30;t:stone2;til:7,7;;
i:cuboid_220;pos:258.6659,6752.273,1050.005;rot:0,118.1404,0;m:cuboid;scl:1,19,12;t:stone2;til:2,2;;
i:cuboid_221;pos:194.3475,6752.438,970.9978;rot:0,118.4898,0;m:cuboid;scl:1,19,12;t:stone2;til:2,2;;
i:cuboid_222;pos:226.5472,6688.623,1003.209;rot:0,204.9569,0;m:cuboid;scl:1,19,12;t:stone2;til:2,2;;
i:cuboid_223;pos:167.5396,6714.047,1097.203;rot:0,116.5045,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_224;pos:109.5619,6713.785,1016.811;rot:0,117.892,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_225;pos:1.778455,6713.838,1040.892;rot:0,86.32773,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_226;pos:-58.87464,6714.258,1093.275;rot:0,174.2077,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_227;pos:111.9803,6713.869,1179.201;rot:0,354.9156,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_228;pos:50.69131,6714.447,1233.129;rot:0,269.3718,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cylinder_229;pos:37.23716,6685.233,1117.902;rot:0,239.9637,0;m:cylinder;scl:7,1,7;t:stone2;til:2,2;;
i:cuboid_230;pos:39.83948,6701.577,1115.033;rot:0,42.2495,0;m:cuboid;scl:1,4,5;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cylinder_231;pos:18.40738,6683.801,1092.75;rot:0,306.703,0;m:cylinder;scl:2,4,2;t:stone2;til:2,2;;
i:cylinder_232;pos:61.18784,6683.856,1140.192;rot:0,316.9523,0;m:cylinder;scl:2,4,2;t:stone2;til:2,2;;
i:prism_233;pos:127.7303,6686.705,1065.64;rot:0,244.8659,0;m:prism;scl:2,0.2,2;clr:255,255,0,255;;
i:prism_234;pos:150.4402,6686.72,1050.616;rot:0,243.1859,0;m:prism;scl:2,0.2,2;clr:255,255,0,255;;
i:cuboid_235;pos:-356.5201,6714.346,1423.126;rot:0,118.6312,0;m:cuboid;scl:1,9,80;t:stone2;til:8,2;;
i:cuboid_236;pos:-412.8474,6714.466,1339.895;rot:0,118.6312,0;m:cuboid;scl:1,9,80;t:stone2;til:8,2;;
i:cuboid_237;pos:-142.9975,6714.902,1253.935;rot:0,208.4018,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_238;pos:-231.0903,6715.255,1298.047;rot:0,300.531,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_239;pos:-317.0809,6716.924,1346.777;rot:0,300.0075,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_240;pos:-395.2222,6715.121,1385.514;rot:0,297.9629,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_241;pos:-479.2478,6714.696,1433.469;rot:0,120.9515,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_242;pos:-559.8525,6715.517,1476.569;rot:0,210.5382,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_243;pos:-641.6658,6716.001,1519.319;rot:0,210.8471,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_244;pos:-60.29488,6714.534,1207.797;rot:0,213.12,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_245;pos:-712.1102,6714.575,1555.871;rot:0,118.4415,0;m:cuboid;scl:2,9,2;t:stone2;til:8,2;;
i:cuboid_246;pos:-76.58789,6714.607,1182.042;rot:0,31.99644,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_247;pos:-131.9418,6714.718,1272.71;rot:0,29.22823,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_248;pos:-244.0753,6714.678,1276.143;rot:0,29.7724,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_249;pos:-303.3904,6716.193,1364.786;rot:0,29.02148,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_250;pos:-406.3757,6715.048,1365.21;rot:0,29.51451,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_251;pos:-465.3149,6715.054,1452.216;rot:0,30.68007,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_252;pos:-570.6924,6715.284,1455.284;rot:0,29.30986,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_253;pos:-628.8314,6715.416,1544.36;rot:0,30.00263,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_254;pos:-720.8811,6714.25,1536.121;rot:0,24.91676,0;m:cuboid;scl:1,9,6;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_255;pos:-930.3906,6754.345,1666.382;rot:0,297.2047,0;m:cuboid;scl:12,1,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_256;pos:-902.7885,6714.938,1715.315;rot:0,297.3641,0;m:cuboid;scl:1,9,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_257;pos:-902.7885,6714.938,1715.315;rot:0,297.3641,0;m:cuboid;scl:1,9,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_258;pos:-960.2585,6714.538,1632.822;rot:0,297.3641,0;m:cuboid;scl:1,9,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_259;pos:-960.2585,6714.538,1632.822;rot:0,297.3641,0;m:cuboid;scl:1,9,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_260;pos:-930.3906,6683.071,1666.382;rot:0,297.2047,0;m:cuboid;scl:12,1,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_261;pos:-930.0402,6753.455,1667.466;rot:0,296.9624,0;m:cuboid;scl:12,1,45;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_262;pos:183.3152,6796.874,1033.183;rot:0,206.3314,0;m:cuboid;scl:1,10,12;t:stone2;til:2,2;;
i:cuboid_263;pos:234.815,6849.08,1006.959;rot:0,119.1208,0;m:cuboid;scl:12,2,12;t:stone2;til:2,2;;
i:prism_264;pos:185.8849,6792.614,1026.343;rot:272.6799,297.9671,-0.00127817;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:prism_265;pos:185.7361,6815.196,1026.335;rot:272.6799,297.9671,-0.00127817;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:cuboid_266;pos:-303.352,6758.604,1311.971;rot:0,117.7316,0;m:cuboid;scl:40,2,100;t:stone2;til:13,6;;
i:cuboid_267;pos:123.2221,6758.734,1059.792;rot:0,116.1641,0;m:cuboid;scl:13,2,13;t:stone2;til:13,6;;
i:cuboid_268;pos:-1114.643,6715.733,1875.136;rot:0,163.1879,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_269;pos:-1214.351,6715.691,1712.097;rot:0,71.03501,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_270;pos:-1324.142,6718.896,1718.097;rot:0,110.8005,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_271;pos:-1186.603,6714.863,1967.844;rot:0,120.9278,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_272;pos:-1114.643,6715.733,1875.136;rot:0,163.1879,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_273;pos:-1214.351,6715.691,1712.097;rot:0,71.03501,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_274;pos:-1324.142,6718.896,1718.097;rot:0,110.8005,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_275;pos:-1186.603,6714.863,1967.844;rot:0,120.9278,0;m:cuboid;scl:1,9,13;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_276;pos:-1266.008,6756.692,1844.397;rot:0,297.9108,0;m:cuboid;scl:33,1,33;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_277;pos:-1266.008,6756.692,1844.397;rot:0,297.9108,0;m:cuboid;scl:33,1,33;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_278;pos:-1297.942,6714.958,1998.048;rot:0,86.495,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_279;pos:-1402.822,6716.698,1795.612;rot:0,341.7416,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_280;pos:-1407.1,6714.907,2014.642;rot:0,290.2925,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_281;pos:-1462.755,6716.815,1889.267;rot:0,133.6986,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:statue2_282;pos:-1221.24,6685.637,1823.197;rot:0,119.4245,0;m:statue2;scl:2,2,2;t:stone2;til:2,2;;
i:statue2_283;pos:-1294.044,6684.359,1863.952;rot:0,302.5981,0;m:statue2;scl:2,2,2;t:stone2;til:2,2;;
i:cuboid_284;pos:-1499.066,6714.496,2075.041;rot:0,137.1956,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_285;pos:-1580.792,6714.438,2078.266;rot:0,229.8942,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_286;pos:-1812.222,6714.51,1826.89;rot:0,221.4913,0;m:cuboid;scl:1,9,60;t:stone2;til:7,2;;
i:cuboid_287;pos:-1698.842,6716.952,1704.476;rot:0,221.4913,0;m:cuboid;scl:1,9,60;t:stone2;til:7,2;;
i:cuboid_288;pos:-1533.051,6716.748,1955.646;rot:0,313.2284,0;m:cuboid;scl:1,9,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_289;pos:-1533.051,6716.748,1955.646;rot:0,313.2284,0;m:cuboid;scl:1,9,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_290;pos:-1533.051,6716.748,1955.646;rot:0,313.2284,0;m:cuboid;scl:1,9,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_291;pos:-1572.709,6717.113,1990.524;rot:0,133.6662,0;m:cylinder;scl:3,4.5,3;t:stone2;til:7,2;;
i:cylinder_292;pos:-1618.883,6714.701,2031.136;rot:0,81.91598,0;m:cylinder;scl:3,4.5,3;t:stone2;til:7,2;;
i:cylinder_293;pos:-1572.734,6717.188,1990.695;rot:0,66.85645,0;m:cylinder;scl:3.2,4.5,3.2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_294;pos:-1618.281,6714.865,2031.003;rot:0,230.4563,0;m:cylinder;scl:3.2,4.5,3.2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_295;pos:-1569.225,6716.439,1899.055;rot:0,177.052,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_296;pos:-1623.051,6716.387,1831.984;rot:0,255.3194,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_297;pos:-1623.667,6714.081,1985.948;rot:0,179.2489,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_298;pos:-1708.009,6713.67,1887.104;rot:0,258.6971,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_299;pos:-1774.741,6714.465,1813.395;rot:0,173.4782,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_300;pos:-1702.846,6717.735,1724.04;rot:0,179.3278,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_301;pos:-1847.413,6714.336,1728.204;rot:0,93.12222,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_302;pos:-1755.097,6717.052,1691.253;rot:0,90.90936,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_303;pos:-1848.611,6717.099,1605.467;rot:0,182.61,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_304;pos:-1914.405,6714.908,1646.842;rot:0,189.81,0;m:cuboid;scl:2,9,19;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_305;pos:-1760.556,6683.274,1759.148;rot:0,221.9087,0;m:cuboid;scl:23,1,60;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_306;pos:-1931.212,6715.288,1548.02;rot:0,19.92358,0;m:cylinder;scl:3,4.5,3;t:stone2;til:2,2;;
i:cuboid_307;pos:-2014.883,6714.162,1546.837;rot:0,184.0209,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_308;pos:-1851.203,6716.908,1449.025;rot:0,128.1125,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_309;pos:-1648.58,6760.17,1904.406;rot:0,216.5872,0;m:cuboid;scl:45,2,70;t:stone2;til:7,7;;
i:cuboid_310;pos:-1891.107,6714.173,1389.917;rot:0,127.9985,0;m:cuboid;scl:1,9,33;t:stone2;til:2,2;;
i:cuboid_311;pos:-1653.443,6717.332,1447.935;rot:0,77.50837,0;m:cuboid;scl:1,9,32;t:stone2;til:2,2;;
i:cuboid_312;pos:-1708.535,6714.088,1343.444;rot:0,79.54452,0;m:cuboid;scl:1,9,22;t:stone2;til:2,2;;
i:cuboid_313;pos:-1476.467,6717.178,1331.068;rot:0,351.5341,0;m:cuboid;scl:1,9,32;t:stone2;til:2,2;;
i:cuboid_314;pos:-1581.734,6714.542,1209.521;rot:0,172.2829,0;m:cuboid;scl:1,9,32;t:stone2;til:2,2;;
i:cuboid_315;pos:-1406.355,6715.141,1077.09;rot:0,81.73122,0;m:cuboid;scl:1,9,32;t:stone2;til:2,2;;
i:statue2_316;pos:-1556.373,6683.163,2086.472;rot:0,140.3654,0;m:statue2;scl:1,2,1;t:stone2;til:2,2;;
i:statue2_317;pos:-1594.669,6684.477,2058.378;rot:0,135.9254,0;m:statue2;scl:1,2,1;t:stone2;til:2,2;;
i:statue2_318;pos:-1887.891,6682.25,1464.285;rot:0,207.4578,0;m:statue2;scl:1,2,1;t:stone2;til:2,2;;
i:statue2_319;pos:-1918.494,6681.622,1423.125;rot:0,32.91733,0;m:statue2;scl:1,2,1;t:stone2;til:2,2;;
i:cuboid_320;pos:-1355.775,6715.551,1203.976;rot:0,352.766,0;m:cuboid;scl:1,9,24;t:stone2;til:2,2;;
i:cuboid_321;pos:-1256.623,6716.738,1340.517;rot:0,80.15601,0;m:cuboid;scl:1,9,24;t:stone2;til:2,2;;
i:cuboid_322;pos:-1273.859,6717.443,1426.406;rot:0,78.83191,0;m:cuboid;scl:1,9,43;t:stone2;til:2,2;;
i:cuboid_323;pos:-1738.313,6716.932,1383.07;rot:0,353.6801,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_324;pos:-1651.804,6717.597,1404.375;rot:0,353.6998,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_325;pos:-1525.415,6717.029,1371.55;rot:0,78.69883,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_326;pos:-1565.058,6714.685,1363.181;rot:0,78.79835,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_327;pos:-1550.806,6717.5,1312.862;rot:0,80.89753,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_328;pos:-1505.368,6714.99,1274.443;rot:0,171.1355,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_329;pos:-1533.53,6718.383,1219.997;rot:0,352.8453,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_330;pos:-1504.851,6714.838,1178.863;rot:0,351.5027,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_331;pos:-1601.973,6715.371,1359.561;rot:0,82.43968,0;m:cuboid;scl:1,9,9;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_332;pos:-1506.594,6717.144,1377.411;rot:0,259.7186,0;m:cuboid;scl:1,9,5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_333;pos:-1513.687,6717.328,1320.199;rot:0,260.6375,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_334;pos:-1548.372,6714.991,1269.597;rot:0,262.3953,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_335;pos:-1497.198,6717.549,1227.649;rot:0,82.78338,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_336;pos:-1540.175,6714.817,1174.436;rot:0,262.8257,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_337;pos:-1742.047,6717.516,1418.823;rot:0,172.3753,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_338;pos:-1647.896,6717.786,1370.954;rot:0,174.0252,0;m:cuboid;scl:1,9,8;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_339;pos:-1434.299,6717.305,1176.814;rot:0,82.52881,0;m:cuboid;scl:1,9,5;t:stone2;til:2,2;;
i:cuboid_340;pos:-1395.671,6715.495,1210.02;rot:0,261.6566,0;m:cuboid;scl:1,9,7;t:stone2;til:2,2;;
i:cuboid_341;pos:-1429.41,6717.498,1236.189;rot:0,262.7038,0;m:cuboid;scl:1,9,7;t:stone2;til:2,2;;
i:cuboid_342;pos:-1402.093,6715.734,1266.48;rot:0,263.111,0;m:cuboid;scl:1,9,7;t:stone2;til:2,2;;
i:cuboid_343;pos:-1432.857,6717.166,1286.024;rot:0,81.02968,0;m:cuboid;scl:1,9,7;t:stone2;til:2,2;;
i:cuboid_344;pos:-1396.081,6717.083,1316.459;rot:0,81.3398,0;m:cuboid;scl:1,9,7;t:stone2;til:2,2;;
i:prism_345;pos:-1372.941,6682.741,1196.14;rot:0,199.1429,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:prism_346;pos:-1391.89,6682.806,1190.23;rot:0,318.503,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:prism_347;pos:-1478.63,6682.8,1127.165;rot:0,28.93388,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:prism_348;pos:-1457.853,6682.917,1129.953;rot:0,28.17391,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:prism_349;pos:-1420.107,6682.894,1352.426;rot:0,22.92684,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:prism_350;pos:-1396.22,6682.866,1356.556;rot:0,23.48682,0;m:prism;scl:2,1,2;clr:255,255,0,255;;
i:cuboid_351;pos:-1350.166,6689.769,1371.74;rot:0,169.3555,0;m:cuboid;scl:2,1,12;t:stone2;til:2,2;;
i:cuboid_352;pos:-1349.688,6741.894,1368.799;rot:0,169.2155,0;m:cuboid;scl:2,4,12;t:stone2;til:2,2;;
i:cuboid_353;pos:-1353.593,6705.161,1388.826;rot:0,80.15549,0;m:cuboid;scl:2,4,2;t:stone2;til:2,2;;
i:cuboid_354;pos:-1347.141,6703.682,1355.519;rot:0,262.5054,0;m:cuboid;scl:2,4,2;t:stone2;til:2,2;;
i:cuboid_355;pos:-1243.18,6717.111,1388.716;rot:0,174.1914,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_356;pos:-1175.312,6717.084,1399.13;rot:0,350.9997,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_357;pos:-1246.172,6716.908,1418.378;rot:0,351.2957,0;m:cuboid;scl:1,9,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_358;pos:-1169.823,6717.02,1364.422;rot:0,170.7935,0;m:cuboid;scl:1,9,7;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_359;pos:-1048.958,6717.91,1363.604;rot:0,169.3639,0;m:cuboid;scl:1,9,22;t:stone2;til:2,2;;
i:cuboid_360;pos:-1133.122,6715.762,1305.436;rot:0,171.0426,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_361;pos:-986.9523,6718.227,1223.81;rot:0,130.5607,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_362;pos:-1152.148,6716.161,1200.766;rot:0,209.2105,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_363;pos:-945.0756,6717.862,1131.055;rot:0,0.2554491,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_364;pos:-1173.287,6716.433,1092.881;rot:0,174.7549,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_365;pos:-983.5536,6717.015,1033.09;rot:0,222.9539,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_366;pos:-1129.929,6716.785,1000.933;rot:0,136.3539,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cylinder_367;pos:-1068.505,6686.084,1134.985;rot:0,96.55377,0;m:cylinder;scl:12,1,12;t:stone2;til:2,2;;
i:cuboid_368;pos:-1066.922,6711.39,1153.426;rot:0,274.2535,0;m:cuboid;scl:1,4,5;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cylinder_369;pos:-1095.34,6691.798,1155.604;rot:0,87.10349,0;m:cylinder;scl:2,4,2;t:stone2;til:2,2;;
i:cylinder_370;pos:-1036.946,6691.554,1149.956;rot:0,183.1035,0;m:cylinder;scl:2,4,2;t:stone2;til:2,2;;
i:cuboid_371;pos:-1070.993,6693.956,1334.839;rot:0,259.8006,0;m:cuboid;scl:2,4,2;t:stone2;til:2,2;;
i:cuboid_372;pos:-1103.201,6708.569,1291.021;rot:0,80.55019,0;m:cuboid;scl:2,5,2;t:stone2;til:2,2;;
i:cuboid_373;pos:-1008.034,6717.152,861.3881;rot:0,174.2948,0;m:cuboid;scl:1,9,27;t:stone2;til:2,2;;
i:cuboid_374;pos:-1309.414,6717.489,942.967;rot:0,265.9976,0;m:cuboid;scl:1,9,45;t:stone2;til:2,2;;
i:cuboid_375;pos:-1264.449,6717.587,705.8076;rot:0,264.7411,0;m:cuboid;scl:1,9,55;t:stone2;til:2,2;;
i:cuboid_376;pos:-1089.794,6716.831,945.4469;rot:0,176.8999,0;m:cuboid;scl:1,9,3;t:stone2;til:2,2;;
i:cuboid_377;pos:-1084.317,6717.302,890.3737;rot:0,356.4893,0;m:cuboid;scl:1,9,3;t:stone2;til:2,2;;
i:cuboid_378;pos:-1071.181,6712.725,882.5551;rot:0,265.8687,0;m:cuboid;scl:1,10,3;t:stone2;til:2,2;;
i:cuboid_379;pos:-1023.304,6712.16,886.6714;rot:0,264.4687,0;m:cuboid;scl:1,10,3;t:stone2;til:2,2;;
i:cuboid_380;pos:-1261.958,6712.487,736.1027;rot:0,265.3077,0;m:cuboid;scl:1,10,45;t:stone2;til:2,2;;
i:cuboid_381;pos:-1173.865,6712.093,770.1905;rot:0,265.9076,0;m:cuboid;scl:1,10,34;t:stone2;til:2,2;;
