i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:tower1_218;pos:-52.09067,371.5062,5556.011;rot:0,246.2584,0;m:tower1;scl:0.4,-5,0.4;;
i:tower1_219;pos:37.06876,666.5644,5544.882;rot:0,47.59182,0;m:tower1;scl:4,1,1;;
i:tower1_220;pos:245.4012,666.4266,5507.537;rot:0,2.471736,0;m:tower1;scl:4,1,1;;
i:tower1_221;pos:55.72932,666.2842,5456.327;rot:0,70.07204,0;m:tower1;scl:4,1,1;;
i:tower1_222;pos:40.44011,665.9838,5435.053;rot:0,47.43196,0;m:tower1;scl:4,1,1;;
i:tower1_223;pos:58.09115,666.0665,5434.918;rot:0,317.2718,0;m:tower1;scl:4,1,1;;
i:tower1_224;pos:146.2272,666.4724,5537.119;rot:0,24.91195,0;m:tower1;scl:4,1,1;;
i:tower1_225;pos:21.99264,666.5332,5548.563;rot:0,137.5238,0;m:tower1;scl:4,1,1;;
i:tower1_226;pos:223.1754,666.4632,5492.08;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_227;pos:116.6869,666.1984,5412.258;rot:0,2.591924,0;m:tower1;scl:4,1,1;;
i:tower1_228;pos:180.698,666.1183,5451.576;rot:0,294.9518,0;m:tower1;scl:4,1,1;;
i:tower1_229;pos:24.22701,665.8206,5409.374;rot:0,136.952,0;m:tower1;scl:4,1,1;;
i:tower1_230;pos:55.86429,666.2112,5393.841;rot:0,227.4261,0;m:tower1;scl:4,1,1;;
i:tower1_231;pos:161.7243,666.149,5432.77;rot:0,137.4656,0;m:tower1;scl:4,1,1;;
i:tower1_232;pos:234.3049,666.1858,5450.345;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_233;pos:50.57069,666.2719,5576.097;rot:0,137.3377,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_234;pos:0.2128713,665.9942,5402.087;rot:0,92.472,0;m:tower1;scl:4,1,1;;
i:tower1_235;pos:71.14627,666.2437,5407.818;rot:0,227.505,0;m:tower1;scl:4,1,1;;
i:tower1_236;pos:58.17268,666.5001,5528.179;rot:0,227.6077,0;m:tower1;scl:4,1,1;;
i:tower1_237;pos:195.7621,666.4672,5493.227;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_238;pos:241.6848,666.1971,5441.337;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_239;pos:257.1851,666.3066,5499.253;rot:0,272.4744,0;m:tower1;scl:4,1,1;;
i:tower1_240;pos:236.4386,666.493,5500.116;rot:0,272.4243,0;m:tower1;scl:4,1,1;;
i:tower1_241;pos:276.6674,666.0159,5473.616;rot:0,272.5001,0;m:tower1;scl:4,1,1;;
i:tower1_242;pos:263.2546,666.0848,5461.177;rot:0,182.4787,0;m:tower1;scl:4,1,1;;
i:tower1_243;pos:264.579,665.9524,5490.279;rot:0,182.417,0;m:tower1;scl:4,1,1;;
i:tower1_244;pos:108.0804,666.5375,5548.006;rot:0,170.8854,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_245;pos:135.1199,666.453,5547.258;rot:0,192.8645,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_246;pos:159.6588,666.5219,5535.826;rot:0,216.6029,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_247;pos:178.195,666.6093,5515.87;rot:0,238.6939,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_248;pos:209.4687,666.6082,5493.718;rot:0,182.0813,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_249;pos:208.5652,666.1267,5464.675;rot:0,182.1213,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_250;pos:233.5518,666.475,5493.195;rot:0,181.9132,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_251;pos:228.9376,666.0809,5460.169;rot:0,92.30748,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_252;pos:276.8082,666.013,5458.838;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_253;pos:235.4522,666.0931,5439.953;rot:0,272.349,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_254;pos:255.2441,666.0562,5439.247;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_255;pos:256.8553,666.0105,5458.772;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_256;pos:238.3193,666.5374,5509.844;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_257;pos:258.3458,666.3741,5508.863;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_258;pos:258.1321,666.2928,5488.862;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_259;pos:278.0014,666.0585,5487.403;rot:0,272.069,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_260;pos:49.84556,666.0269,5397.121;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_261;pos:35.56289,665.8278,5412.805;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_262;pos:37.21934,665.623,5441.763;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_263;pos:22.38485,665.865,5427.972;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_264;pos:78.96732,666.0249,5396.106;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_265;pos:63.87056,666.1487,5382.506;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_266;pos:20.81679,665.8663,5398.954;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_267;pos:34.97859,666.0718,5383.184;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_268;pos:7.389427,665.8746,5412.273;rot:0,317.4331,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_269;pos:47.33414,666.1177,5368.882;rot:0,317.4731,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_270;pos:-51.59326,678.6288,5341.976;rot:0,283.2118,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_271;pos:-62.86067,678.7346,5317.111;rot:0,307.0945,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_272;pos:-82.58403,678.5963,5299.183;rot:0,328.7529,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_273;pos:-154.74,678.5369,5417.199;rot:0,149.2242,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_274;pos:-174.9408,678.8308,5398.148;rot:0,124.5333,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_275;pos:-185.7903,678.3992,5374.12;rot:0,103.4421,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_276;pos:-186.8133,678.5399,5346.737;rot:0,80.38194,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_277;pos:-177.8028,678.4857,5321.752;rot:0,58.53195,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_278;pos:-159.2104,678.4114,5301.865;rot:0,35.5487,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_279;pos:-135.0093,678.3944,5294.471;rot:0,236.5247,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_280;pos:-107.6231,678.7017,5293.207;rot:0,126.4032,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_281;pos:-93.31939,678.4957,5242.068;rot:0,92.58495,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_282;pos:-112.0877,678.6578,5243.975;rot:0,92.18495,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_283;pos:-111.2309,678.7719,5266.832;rot:0,92.42496,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_284;pos:-141.483,678.3785,5244.671;rot:0,92.22496,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_285;pos:-160.3353,678.4924,5245.422;rot:0,92.10497,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_286;pos:-140.1646,678.5314,5268.485;rot:0,92.42496,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_287;pos:222.2515,666.7714,5661.902;rot:0,1.088517,0;m:tower1;scl:2,1,0.5;;
i:tower1_288;pos:209.3463,666.7702,5664.648;rot:0,23.64862,0;m:tower1;scl:2,1,0.5;;
i:tower1_289;pos:198.463,666.879,5672.116;rot:0,46.19905,0;m:tower1;scl:2,1,0.5;;
i:tower1_290;pos:191.2907,666.9661,5683.184;rot:0,68.6246,0;m:tower1;scl:2,1,0.5;;
i:tower1_291;pos:188.8794,667.0651,5696.104;rot:0,91.12454,0;m:tower1;scl:2,1,0.5;;
i:tower1_292;pos:191.6398,667.0489,5709.035;rot:0,113.6339,0;m:tower1;scl:2,1,0.5;;
i:tower1_293;pos:199.147,667.1708,5719.902;rot:0,136.1029,0;m:tower1;scl:2,1,0.5;;
i:tower1_294;pos:210.2059,667.2234,5727.093;rot:0,158.6627,0;m:tower1;scl:2,1,0.5;;
i:tower1_295;pos:223.14,667.1821,5729.481;rot:0,181.0511,0;m:tower1;scl:2,1,0.5;;
i:tower1_296;pos:236.0592,667.1911,5726.728;rot:0,203.6504,0;m:tower1;scl:2,1,0.5;;
i:tower1_297;pos:82.24871,653.0386,5872.106;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:pyramid_298;pos:142.3207,740.9033,5827.515;rot:0,225.707,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:cone_299;pos:219.619,735.2212,5692.742;rot:0,124.864,0;m:cone;scl:1.7,1,1.7;t:wood3;;
i:tower1_300;pos:5.338053,576.8444,5898.184;rot:1.366038E-05,315.8216,142.84;m:tower1;scl:2,1,0.5;;
i:tower1_301;pos:138.012,681.8021,5841.735;rot:0,135.7764,0;m:tower1;scl:2,1,0.5;;
i:tower1_302;pos:144.9149,681.7297,5814.896;rot:0,135.7364,0;m:tower1;scl:2,1,0.5;;
i:tower1_303;pos:128.1471,681.9297,5832.223;rot:0,135.7767,0;m:tower1;scl:2,1,0.5;;
i:tower1_304;pos:154.6825,682.0091,5824.445;rot:0,135.8167,0;m:tower1;scl:2,1,0.5;;
i:tower1_305;pos:156.4652,681.8754,5832.191;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_306;pos:147.0114,681.8304,5841.895;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_307;pos:139.1005,681.8384,5815.287;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_308;pos:129.5452,681.875,5825.111;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_309;pos:155.7036,656.9543,5814.853;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_310;pos:106.2442,654.996,5857.031;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_311;pos:118.2479,655.7993,5849.533;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_312;pos:130.2543,656.5868,5842.002;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_313;pos:94.24649,654.033,5864.629;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_314;pos:162.7613,656.0336,5802.687;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_315;pos:169.7419,655.1906,5790.535;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_316;pos:176.7876,654.074,5778.482;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_317;pos:183.8844,652.9967,5766.36;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_318;pos:191.0509,651.6726,5754.143;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_319;pos:198.2237,650.1979,5741.951;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_320;pos:205.3544,649.1155,5729.774;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_321;pos:70.25288,652.12,5879.66;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_322;pos:35.97341,673.3919,5922.558;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_323;pos:35.75883,673.3992,5894.369;rot:0,315.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_324;pos:58.36024,650.7947,5887.156;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_325;pos:46.35131,649.6725,5894.603;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_326;pos:45.54475,673.3901,5903.918;rot:0,315.6432,0;m:tower1;scl:2,1,0.5;;
i:tower1_327;pos:18.9857,673.4291,5911.55;rot:0,315.8432,0;m:tower1;scl:2,1,0.5;;
i:tower1_328;pos:28.85285,673.3887,5921.122;rot:0,315.7631,0;m:tower1;scl:2,1,0.5;;
i:tower1_329;pos:18.6266,673.3527,5905.706;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_330;pos:28.09175,673.3611,5895.971;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_331;pos:19.93745,574.196,5888.154;rot:37.16005,45.80336,180;m:tower1;scl:2,1,0.5;;
i:tower1_332;pos:10.49101,574.2386,5897.819;rot:37.2,45.8033,180;m:tower1;scl:2,1,0.5;;
i:tower1_333;pos:-94.65324,687.2697,5833.557;rot:0,316.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_334;pos:-68.09286,687.1564,5834.666;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_335;pos:-77.60387,687.1503,5844.465;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_336;pos:-95.12489,687.1512,5827.759;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_337;pos:-85.60577,687.2288,5817.951;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_338;pos:-192.4416,697.0301,5766.262;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_339;pos:-182.9128,697.0699,5756.419;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_340;pos:-238.006,696.989,5723.491;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_341;pos:-241.5286,697.1147,5733.218;rot:0,272.4832,0;m:tower1;scl:2,1,0.5;;
i:tower1_342;pos:-322.9113,750.717,5418.446;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_343;pos:-313.4411,750.6754,5408.629;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_344;pos:45.42019,673.3519,5912.807;rot:0,225.8032,0;m:tower1;scl:2,1,0.5;;
i:tower1_345;pos:4.412142,650.2333,5887.896;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_346;pos:-7.630336,651.1544,5880.94;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_347;pos:-19.63339,652.1522,5873.804;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_348;pos:-31.8343,653.5132,5866.646;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_349;pos:-43.94069,654.8367,5859.457;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_350;pos:-56.0649,656.3159,5852.353;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_351;pos:-68.31616,657.796,5845.312;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_352;pos:-86.53006,687.2385,5844.292;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_353;pos:-69.8267,687.1549,5826.992;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_354;pos:-79.66989,687.1914,5817.455;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_355;pos:-98.17692,661.844,5816.796;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_356;pos:-110.3237,663.0762,5809.627;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_357;pos:-122.419,664.5124,5802.52;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_358;pos:-134.6117,665.9171,5795.391;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_359;pos:-146.7188,667.2315,5788.325;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_360;pos:-158.8165,668.9542,5781.147;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_361;pos:-183.1036,671.8721,5767.021;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_362;pos:16.43142,649.0377,5894.939;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_363;pos:-170.9281,670.3956,5773.972;rot:0,135.8471,0;m:tower1;scl:2,1,0.5;;
i:tower1_364;pos:-203.6282,697.0402,5771.165;rot:0,182.5449,0;m:tower1;scl:2,1,0.5;;
i:tower1_365;pos:-217.1829,697.0059,5771.815;rot:0,182.4249,0;m:tower1;scl:2,1,0.5;;
i:tower1_366;pos:-337.4577,715.7821,5635.329;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_367;pos:-228.4324,696.9059,5713.722;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_368;pos:-338.8835,692.348,5617.151;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_369;pos:-309.0534,715.8237,5635.129;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_370;pos:-346.3758,694.144,5605.223;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_371;pos:-318.6348,715.7036,5644.928;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_372;pos:-310.8178,715.8208,5627.371;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_373;pos:-326.4899,715.7859,5618.358;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_374;pos:-238.229,696.9825,5757.787;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_375;pos:-336.0205,715.8244,5628.181;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_376;pos:-195.3412,696.9072,5712.148;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_377;pos:-400.8077,734.2645,5532.832;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_378;pos:-250.5224,676.0653,5702.828;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_379;pos:-391.3823,734.3837,5523.093;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_380;pos:-270.1013,679.5403,5683.781;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_381;pos:-408.5775,734.2214,5506.256;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_382;pos:-289.6887,683.3407,5664.802;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_383;pos:-418.1222,734.2241,5516.045;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_384;pos:-228.4109,696.9432,5767.345;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_385;pos:-390.4734,710.7422,5504.765;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_386;pos:-185.5366,696.9445,5721.666;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_387;pos:-383.3689,712.8614,5492.709;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_388;pos:-240.7242,674.467,5712.336;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_389;pos:-369.3813,716.8268,5468.645;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_390;pos:-260.2954,677.861,5693.331;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_391;pos:-341.1909,724.9014,5419.904;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_392;pos:-279.8977,681.3832,5674.232;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_393;pos:-362.2561,719.2205,5456.455;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_394;pos:-299.515,685.4616,5655.328;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_395;pos:-340.1709,750.7844,5401.612;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_396;pos:-327.593,715.7039,5644.859;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_397;pos:-348.2061,723.0643,5432.081;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_398;pos:-309.313,687.7015,5645.772;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_399;pos:-376.3651,715.0236,5480.637;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_400;pos:-320.5496,715.8617,5617.859;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_401;pos:-355.2202,721.2214,5444.242;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_402;pos:-368.8586,700.3427,5569.382;rot:0,135.8177,0;m:tower1;scl:2,1,0.5;;
i:tower1_403;pos:-330.7472,750.6188,5391.957;rot:0,225.7557,0;m:tower1;scl:2,1,0.5;;
i:tower1_404;pos:-243.1196,697.0929,5746.544;rot:0,92.46759,0;m:tower1;scl:2,1,0.5;;
i:tower1_405;pos:-204.7583,696.7358,5706.448;rot:0,2.526888,0;m:tower1;scl:2,1,0.5;;
i:tower1_406;pos:-218.4282,696.7556,5707.051;rot:0,2.452365,0;m:tower1;scl:2,1,0.5;;
i:tower1_407;pos:-178.3695,697.0405,5745.135;rot:0,272.2849,0;m:tower1;scl:2,1,0.5;;
i:tower1_408;pos:-178.8701,697.1296,5731.679;rot:0,272.4049,0;m:tower1;scl:2,1,0.5;;
i:tower1_409;pos:-263.1451,739.0415,5294.743;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_410;pos:-341.6236,750.718,5408.728;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_411;pos:-324.8453,750.6804,5391.473;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_412;pos:-353.8564,696.3631,5593.258;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_413;pos:-376.3649,702.3622,5557.493;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_414;pos:-131.6214,716.2732,5160.119;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_415;pos:-315.0292,750.6448,5400.96;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_416;pos:-227.3509,739.1974,5258.033;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_417;pos:-108.8386,698.079,5194.577;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_418;pos:-121.8288,716.2422,5169.698;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_419;pos:-120.5928,698.4044,5187.877;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_420;pos:-97.04179,697.8035,5201.347;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_421;pos:-391.4086,706.5609,5533.546;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_422;pos:-383.8642,704.4409,5545.554;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_423;pos:-402.7493,734.2388,5505.872;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_424;pos:-419.5207,734.2387,5523.161;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_425;pos:-237.2295,739.162,5248.464;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_426;pos:-361.4682,698.4007,5581.373;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_427;pos:-409.6571,734.1564,5532.682;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_428;pos:-217.6312,739.0376,5267.481;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_429;pos:-393.046,734.2387,5515.292;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_430;pos:-331.803,750.7996,5418.253;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_431;pos:-138.5687,716.3624,5186.954;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_432;pos:-253.3549,739.0845,5304.253;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_433;pos:-207.7829,738.9995,5277.046;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_434;pos:-272.9335,739.1197,5285.191;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_435;pos:-148.4452,716.3212,5177.35;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:tower1_436;pos:-243.5517,738.9232,5313.813;rot:0,135.7477,0;m:tower1;scl:2,1,0.5;;
i:boulder1_437;pos:-306.8477,613.1401,5488.289;rot:4.268194,235.5247,177.8018;m:boulder1;scl:10,10,10;;
i:boulder1_438;pos:-288.3014,490.4124,5494.177;rot:79.95992,87.54939,-2.938343E-05;m:boulder1;scl:10,10,10;;
i:pyramid_439;pos:31.31138,732.494,5908.267;rot:0,225.8403,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:pyramid_440;pos:-82.29188,746.3252,5830.197;rot:0,225.6086,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:pyramid_441;pos:-323.6879,774.8588,5630.944;rot:0,136.0208,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:pyramid_442;pos:-405.4057,793.2444,5518.313;rot:0,135.9443,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:pyramid_443;pos:-327.3515,809.6749,5404.122;rot:0,45.83471,0;m:pyramid;scl:1.4,0.5,1.4;t:wood3;;
i:tower1_444;pos:106.3453,722.1838,5332.168;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_445;pos:-187.2643,707.2599,5225.828;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_446;pos:130.8457,696.302,5299.028;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_447;pos:-177.8186,705.4991,5216.028;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_448;pos:-130.8741,716.3829,5185.289;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_449;pos:190.4604,691.1382,5261.584;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_450;pos:-121.4758,716.3035,5175.59;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_451;pos:-158.8202,702.2655,5196.54;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
i:tower1_452;pos:154.6101,694.5433,5284.037;rot:0,45.77314,0;m:tower1;scl:2,1,0.5;;
