i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:-5,-4.719997,0;m:cuboid;scl:135,1,140;t:bark3;til:5,5;clr:255,178,255,255;;
i:cuboid_154;pos:-32.75439,9.324813,303.2242;rot:0,90.80875,0;m:cuboid;scl:2,0.2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:spike1_155;pos:-10.58242,9.769011,293.7729;rot:0,180.8072,0;m:spike1;scl:0.5,0.5,0.5;t:bark3;clr:255,159,255,255;;
i:cuboid_156;pos:-41.04103,17.3706,303.3498;rot:0,90.76175,0;m:cuboid;scl:2,1.5,0.3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_157;pos:13.90548,12.67276,296.709;rot:19.44,90.45907,9.959283E-06;m:cuboid;scl:0.3,2,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_158;pos:-41.17319,11.1546,312.4309;rot:0,90.51675,0;m:cuboid;scl:0.2,2,0.2;t:bark3;clr:255,170,255,255;;
i:cuboid_159;pos:-41.18209,10.92161,294.6421;rot:0,92.79735,0;m:cuboid;scl:0.2,2,0.2;t:bark3;clr:255,170,255,255;;
i:cuboid_160;pos:12.5237,19.83488,303.8736;rot:340,270.355,3.634268E-06;m:cuboid;scl:1.2,0.3,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_161;pos:-34.44144,9.286465,294.5829;rot:0,0.7762716,0;m:cuboid;scl:1.5,0.2,0.2;t:bark3;clr:255,170,255,255;;
i:cuboid_162;pos:-34.34067,3.312171,280.5104;rot:24.64001,180.6604,5.870634E-08;m:cuboid;scl:1.5,0.2,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_163;pos:-33.30312,17.16059,281.802;rot:24.43697,182.3141,0.1731;m:cuboid;scl:1.5,0.2,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_164;pos:-47.00644,6.086199,286.2709;rot:23.63999,182.3545,-2.329957E-07;m:cuboid;scl:1,0.2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_165;pos:-25.67332,8.743347,281.9654;rot:335.2433,0.6911314,0.3143933;m:cuboid;scl:0.4,1.5,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_166;pos:-40.83569,14.77834,291.7797;rot:335.0537,0.155158,0.7037693;m:cuboid;scl:0.2,1.2,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_167;pos:-39.2669,7.025089,274.357;rot:0.04755776,89.50255,334.6401;m:cuboid;scl:0.4,1.2,2.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_168;pos:-45.96268,17.21253,282.3002;rot:25.25443,181.2897,0.2594086;m:cuboid;scl:1,0.2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_169;pos:-51.29833,11.34013,284.3828;rot:24.63631,181.965,6.871373E-05;m:cuboid;scl:0.2,1.3,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_170;pos:-62.38247,1.900346,321.9183;rot:322.1223,181.2024,359.5343;m:cuboid;scl:1,0.2,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_171;pos:-55.25152,9.384125,304.4207;rot:0,91.53368,0;m:cuboid;scl:1.7,0.2,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_172;pos:-58.96799,16.45114,295.6375;rot:0,91.70084,0;m:cuboid;scl:0.2,1.2,1.8;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_173;pos:-49.94826,15.997,313.5489;rot:0,91.1965,0;m:cuboid;scl:0.2,1.2,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_174;pos:-51.4131,15.10646,293.7698;rot:0.3260673,268.8637,10.11414;m:cuboid;scl:0.4,1.3,0.2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_175;pos:-68.27913,15.74478,304.7998;rot:0,181.9474,0;m:cuboid;scl:0.2,1.3,1.6;t:bark3;clr:255,170,255,255;;
i:cuboid_176;pos:-67.78107,11.08083,316.9011;rot:322.6414,181.4413,0.1981508;m:cuboid;scl:0.2,1.3,2;t:bark3;clr:255,170,255,255;;
i:cuboid_177;pos:-58.33871,4.577356,325.2657;rot:0.01430583,270.2269,322.491;m:cuboid;scl:0.2,1.3,2;t:bark3;clr:255,170,255,255;;
i:cuboid_178;pos:-58.88683,4.477924,304.2307;rot:0,0.4066052,0;m:cuboid;scl:0.3,0.8,1.5;t:bark3;clr:255,170,255,255;;
i:cuboid_179;pos:-50.24651,4.486914,296.48;rot:0,271.3849,0;m:cuboid;scl:0.2,0.8,1.5;t:bark3;clr:255,170,255,255;;
i:cuboid_180;pos:-48.93235,4.444022,309.532;rot:0,0.7220832,0;m:cuboid;scl:0.2,0.8,1.2;t:bark3;clr:255,170,255,255;;
i:cuboid_181;pos:-57.972,16.14993,322.6526;rot:321.9932,179.9675,359.6707;m:cuboid;scl:2,0.2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_182;pos:-48.93412,9.037909,319.7182;rot:321.2459,179.7379,0.4602621;m:cuboid;scl:0.2,1.3,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_183;pos:-55.61778,22.23639,304.1948;rot:0,0.7091154,0;m:cuboid;scl:3,0.3,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_184;pos:-49.33089,16.98038,317.7263;rot:0,270.617,0;m:cuboid;scl:1,1.3,0.2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_185;pos:-41.79681,3.410872,300.412;rot:0,181.8836,0;m:cuboid;scl:0.2,1,1;t:bark3;clr:255,170,255,255;;
i:cuboid_186;pos:-42.06868,3.544836,312.264;rot:0,273.4879,0;m:cuboid;scl:0.2,1,1.2;t:bark3;clr:255,170,255,255;;
i:cuboid_187;pos:-35.75568,3.604534,305.8173;rot:0,6.261189,0;m:cuboid;scl:0.2,1,1.2;t:bark3;clr:255,170,255,255;;
i:cuboid_188;pos:-33.24376,3.472161,294.3297;rot:0,92.05074,0;m:cuboid;scl:0.2,1,1.4;t:bark3;clr:255,170,255,255;;
i:cuboid_189;pos:-30.20686,9.624684,317.7519;rot:0,89.68352,0;m:cuboid;scl:1,0.3,1.4;t:bark3;clr:255,170,255,255;;
i:cuboid_190;pos:-35.31023,21.61158,333.4258;rot:0,179.8455,0;m:cuboid;scl:0.4,1.1,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_191;pos:7.802759,14.63521,358.1382;rot:0,271.242,0;m:cuboid;scl:2,0.4,8.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_192;pos:-13.30989,27.01318,335.6899;rot:0,91.42579,0;m:cuboid;scl:2,0.4,4.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_193;pos:-48.12013,3.509708,325.6758;rot:0,180.4659,0;m:cuboid;scl:0.3,1,2.5;t:bark3;clr:255,156,255,255;;
i:cuboid_194;pos:-42.65372,7.48278,323.7413;rot:0,180.2631,0;m:cuboid;scl:1.2,0.2,2.5;t:bark3;clr:255,156,255,255;;
i:cuboid_195;pos:-47.74222,19.86268,353.214;rot:0,0.07045012,0;m:cuboid;scl:0.3,5.2,3;t:bark3;clr:255,156,255,255;;
i:cuboid_196;pos:-41.74534,25.58611,337.0607;rot:0,88.86757,0;m:cuboid;scl:0.3,3.8,1;t:bark3;clr:255,156,255,255;;
i:cuboid_197;pos:42.24435,16.69546,322.2292;rot:0,180.2184,0;m:cuboid;scl:1.4,0.3,5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_198;pos:41.99234,28.61151,325.1797;rot:0,179.9136,0;m:cuboid;scl:1.4,0.3,5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tower4_199;pos:49.88392,-6.613642,342.0426;rot:0,269.9524,0;m:tower4;scl:0.6,0.6,0.1;clr:255,156,255,255;;
i:tower4_200;pos:49.95471,-6.44601,329.8373;rot:0,269.9469,0;m:tower4;scl:0.6,0.6,0.1;clr:255,156,255,255;;
i:tower4_201;pos:50.00295,-6.762952,317.5801;rot:0,270.0846,0;m:tower4;scl:0.6,0.6,0.1;clr:255,156,255,255;;
i:tower4_202;pos:49.95784,-6.861586,305.2644;rot:0,270.2742,0;m:tower4;scl:0.6,0.6,0.1;clr:255,156,255,255;;
i:cuboid_203;pos:35.31559,22.89389,312.1064;rot:0,0.5152921,0;m:cuboid;scl:0.2,1,2.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_204;pos:34.08453,11.56179,284.6702;rot:8.537737E-07,54.10487,4.68;m:cuboid;scl:0.3,5,4.2;t:bark3;clr:255,156,255,255;;
i:cuboid_205;pos:-0.08933957,24.3974,267.8427;rot:0,178.1433,0;m:cuboid;scl:1,3,1;t:bark3;clr:255,156,255,255;;
i:house7_206;pos:-12.4341,18.68454,261.7642;rot:0,90.57933,0;m:house7;scl:0.5,0.5,0.5;t:bark3;clr:255,156,255,255;;
i:cuboid_207;pos:-25.30536,24.46313,267.8262;rot:0,180.0525,0;m:cuboid;scl:1,3,1;t:bark3;clr:255,156,255,255;;
i:cuboid_208;pos:-13.48138,31.99099,269.9146;rot:277.6001,179.8009,180;m:cuboid;scl:2,0.3,0.4;t:bark3;clr:255,156,255,255;;
i:pyramid_209;pos:-29.28392,48.24234,271.9973;rot:0,0.04868684,0;m:pyramid;t:bark3;clr:255,156,255,255;;
i:pyramid_210;pos:3.781305,48.16233,272.2478;rot:0,358.0887,0;m:pyramid;t:bark3;clr:255,156,255,255;;
i:cuboid_211;pos:-12.96909,28.15354,261.5139;rot:0,1.274334,0;m:cuboid;scl:0.4,0.4,0.4;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_212;pos:-12.54958,5.594408,234.3311;rot:0,270.2787,0;m:cuboid;scl:0.4,1,1.5;t:bark3;clr:255,156,255,255;;
i:cuboid_213;pos:-12.48152,43.13174,318.3043;rot:353.4846,0.4196284,359.7239;m:cuboid;scl:1.5,0.1,10;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_214;pos:-19.68344,53.20177,314.3892;rot:359.881,90.3664,353.6422;m:cuboid;scl:10,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_215;pos:-4.471189,53.30824,316.0488;rot:359.7646,270.1722,6.693664;m:cuboid;scl:10,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:sphere_216;pos:-9.964405,66.24228,-35.26817;rot:0,181.4958,0;m:sphere;;
i:cuboid_217;pos:-12.62782,63.2298,317.0374;rot:359.5284,90.24965,352.9006;m:cuboid;scl:10,0.1,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_218;pos:-12.43067,51.87383,367.4714;rot:2.639986,0.4053497,-7.511843E-09;m:cuboid;scl:1.5,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_219;pos:-12.73962,57.82714,310.5593;rot:0,359.9693,0;m:cuboid;scl:1.5,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_220;pos:-15.96414,18.77064,464.1192;rot:359.56,268.2073,340.96;m:cuboid;scl:20,0.1,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_221;pos:-8.671974,30.27886,456.6762;rot:359.2026,268.0933,341.2563;m:cuboid;scl:20,1.5,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_222;pos:-22.74371,29.94051,455.8356;rot:0.6637957,88.08396,19.1493;m:cuboid;scl:20,1.5,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_223;pos:-15.11928,41.74952,446.7643;rot:358.9661,268.2469,340.8783;m:cuboid;scl:17,0.1,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:arc180_224;pos:-22.73819,8.60221,516.7593;rot:271.8659,203.4639,216.2855;m:arc180;t:bark3;clr:255,118,255,255;;
i:arc180_225;pos:-13.51162,8.817998,516.896;rot:272.0397,192.1649,286.0881;m:arc180;t:bark3;clr:255,118,255,255;;
i:arc180_226;pos:-18.47759,8.684598,521.9521;rot:273.212,349.6603,97.16586;m:arc180;t:bark3;clr:255,118,255,255;;
i:sphere_227;pos:-18.7101,1.125552,513.9037;rot:0,356.8515,0;m:sphere;scl:1.5,1.5,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:house7_228;pos:-19.39253,8.370963,532.3049;rot:-0.005444541,267.5125,359.8001;m:house7;scl:0.5,0.5,0.5;t:bark3;clr:255,118,255,255;;
i:cuboid_229;pos:-18.84312,17.97815,532.4258;rot:0,176.9493,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_230;pos:-3.391971,36.64042,256.8049;rot:0,269.7881,0;m:cuboid;scl:2,4,0.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_231;pos:-22.57513,36.93861,256.141;rot:0,90.78735,0;m:cuboid;scl:2,4,0.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_232;pos:-13.31048,57.12317,257.1265;rot:0,268.7592,0;m:cuboid;scl:2,0.1,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
