i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-404.2726,-21.78892,-246.7231;rot:0,359.1885,0;m:cuboid;scl:600,5,600;t:grass4;til:600,600;;
i:cuboid_3;pos:1131.827,1000.506,635.6779;rot:0,89.06938,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_4;pos:-568.772,1000.605,-2662.688;rot:0,177.6911,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_5;pos:-108.6261,1000.962,2060.75;rot:0,178.467,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_6;pos:-2590.693,1000.243,-662.8665;rot:0,269.5496,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-521.3881,3000.58,-2464.846;rot:0,177.2914,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_8;pos:-501.8618,-27.36913,-2513.453;rot:0,179.2483,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:spawntitan_9;pos:-119.6767,4.394102,-146.7209;rot:0,179.7493,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_10;pos:122.121,6.340169,-486.4828;rot:0,170.499,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_11;pos:-245.3835,6.223709,-837.5488;rot:0,200.7489,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_12;pos:-291.5408,5.367226,-1350.694;rot:0,197.4989,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_13;pos:-727.5988,4.528649,-1414.535;rot:0,246.2481,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_14;pos:-1097.347,12.8982,-1855.955;rot:0,236.9976,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_15;pos:-1329.777,8.801264,-1380.985;rot:0,303.9958,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_16;pos:-1683.192,141.214,-1109.746;rot:0,343.744,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_17;pos:-1448.999,13.70236,-622.3224;rot:0,6.243357,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_18;pos:-1705.352,9.024416,-53.68551;rot:0,359.7424,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_19;pos:-1119.149,6.91658,299.7501;rot:0,17.49227,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_20;pos:-1160.721,13.74289,877.2776;rot:0,17.49225,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_21;pos:-720.6461,5.323304,740.2811;rot:0,36.99212,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_22;pos:-530.038,4.142523,870.5223;rot:0,29.74208,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_23;pos:-562.2639,7.925853,1270.408;rot:0,33.74209,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_24;pos:-179.4771,6.824833,1055.588;rot:0,94.2419,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_25;pos:55.6458,9.576801,1305.886;rot:0,92.2417,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_26;pos:-93.85144,15.24634,906.3185;rot:0,121.9911,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_27;pos:-45.78211,11.32205,395.7147;rot:0,163.4906,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_28;pos:154.3756,20.73162,-63.01961;rot:0,188.7401,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:tree2_239;pos:-413.7557,70.52808,-922.1772;rot:0,19.18097,0;m:tree2;;
i:tree2_240;pos:-916.8464,69.54094,-1161.505;rot:0,13.65773,0;m:tree2;;
i:tree2_241;pos:-777.0076,69.14846,-449.0836;rot:0,9.404743,0;m:tree2;;
i:tree2_242;pos:-878.8139,70.70026,-988.9865;rot:0,12.90477,0;m:tree2;;
i:tree2_243;pos:-856.5388,69.63922,-822.7698;rot:0,4.149785,0;m:tree2;;
i:tree2_244;pos:-811.9735,70.76793,-626.3115;rot:0,9.399869,0;m:tree2;;
i:tree2_245;pos:-181.6377,71.0303,687.093;rot:0,41.74987,0;m:tree2;;
i:tree2_246;pos:-322.9028,70.24345,567.8278;rot:0,38.14656,0;m:tree2;;
i:tree2_247;pos:-443.907,70.10502,441.078;rot:0,30.64381,0;m:tree2;;
i:tree2_248;pos:-542.7361,70.19511,285.6992;rot:0,21.64039,0;m:tree2;;
i:tree2_249;pos:-734.4608,70.50108,-258.234;rot:0,14.13671,0;m:tree2;;
i:tree2_250;pos:-682.812,69.89603,-86.83841;rot:0,15.38668,0;m:tree2;;
i:tree2_251;pos:-605.9727,70.26497,138.1928;rot:0,19.6367,0;m:tree2;;
i:tree2_252;pos:-646.1251,70.71373,30.14305;rot:0,16.63676,0;m:tree2;;
i:tree2_253;pos:-679.6495,70.35583,-1049.192;rot:0,16.63454,0;m:tree2;;
i:tree2_254;pos:-586.929,70.10948,-775.5801;rot:0,16.38455,0;m:tree2;;
i:tree2_255;pos:-520.9078,69.43917,-544.0062;rot:0,15.68456,0;m:tree2;;
i:tree2_256;pos:-487.6372,69.76623,-329.3524;rot:0,11.88452,0;m:tree2;;
i:tree2_257;pos:-430.5053,69.49221,-100.5484;rot:0,15.63453,0;m:tree2;;
i:tree2_258;pos:-389.9319,69.20136,116.199;rot:0,15.63456,0;m:tree2;;
i:tree2_259;pos:-257.3589,69.39172,390.6125;rot:0,42.2846,0;m:tree2;;
i:tree2_260;pos:-134.7167,69.79781,556.5622;rot:0,40.78458,0;m:tree2;;
i:tree2_261;pos:-1051.157,69.87014,-1230.693;rot:0,358.8822,0;m:tree2;;
i:tree2_262;pos:-1064.385,69.73122,-1071.697;rot:0,6.080957,0;m:tree2;;
i:tree2_263;pos:-1049.573,69.08657,-855.4747;rot:0,4.18085,0;m:tree2;;
i:tree2_264;pos:-1026.934,69.59023,-637.8978;rot:0,9.130742,0;m:tree2;;
i:tree2_265;pos:-990.2449,69.46948,-460.5995;rot:0,11.13076,0;m:tree2;;
i:tree2_266;pos:-952.2146,69.16407,-255.5033;rot:0,14.13078,0;m:tree2;;
i:tree2_267;pos:-893.3325,69.70423,-28.28733;rot:0,18.13085,0;m:tree2;;
i:tree2_268;pos:-829.8015,69.39218,176.2017;rot:0,25.13087,0;m:tree2;;
i:tree2_269;pos:-728.5507,69.6629,343.0017;rot:0,35.63086,0;m:tree2;;
i:tree2_270;pos:-608.3681,69.54905,504.0255;rot:0,46.13091,0;m:tree2;;
i:tree2_271;pos:-328.5649,69.41843,718.134;rot:0,61.73092,0;m:tree2;;
i:tree2_272;pos:-474.4737,69.31467,615.8032;rot:0,52.6309,0;m:tree2;;
